Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,28.67,71.33,37.63,7.94,0.0,0.0
2000-01-11,24.62,75.38,38.87,8.04,0.0,0.0
2000-01-18,20.15,79.85,40.69,8.04,0.0,0.0
2000-01-25,12.87,87.13,40.89,8.04,0.0,0.0
2000-02-01,12.93,87.07,52.15,7.9,0.0,0.0
2000-02-08,12.93,87.07,52.18,8.84,0.0,0.0
2000-02-15,13.28,86.72,52.18,8.18,0.0,0.0
2000-02-22,19.18,80.82,49.05,8.18,0.0,0.0
2000-02-29,22.76,77.24,52.68,15.44,0.0,0.0
2000-03-07,22.09,77.91,53.74,15.44,0.0,0.0
2000-03-14,25.93,74.07,47.52,16.92,0.0,0.0
2000-03-21,25.88,74.12,46.92,16.93,0.0,0.0
2000-03-28,24.96,75.04,46.46,16.93,0.0,0.0
2000-04-04,17.0,83.0,52.31,25.27,0.0,0.0
2000-04-11,22.13,77.87,59.5,24.52,0.0,0.0
2000-04-18,20.73,79.27,62.4,26.77,0.0,0.0
2000-04-25,19.23,80.77,51.8,22.49,0.0,0.0
2000-05-02,16.34,83.66,54.33,27.72,0.0,0.0
2000-05-09,15.72,84.28,52.54,24.46,0.0,0.0
2000-05-16,8.71,91.29,60.33,28.71,0.0,0.0
2000-05-23,42.73,57.27,34.88,20.61,0.74,0.0
2000-05-30,51.82,48.18,25.56,13.21,0.37,0.0
2000-06-06,58.03,41.97,23.09,13.05,2.31,0.0
2000-06-13,49.43,50.57,26.99,13.75,3.37,0.0
2000-06-20,65.34,34.66,19.63,11.7,2.02,0.0
2000-06-27,74.34,25.66,11.96,5.09,0.0,0.0
2000-07-04,87.72,12.28,6.49,1.64,0.0,0.0
2000-07-11,89.82,10.18,5.96,0.0,0.0,0.0
2000-07-18,86.26,13.74,3.69,0.0,0.0,0.0
2000-07-25,86.26,13.74,3.72,0.0,0.0,0.0
2000-08-01,91.05,8.95,2.52,0.0,0.0,0.0
2000-08-08,92.59,7.41,2.05,0.0,0.0,0.0
2000-08-15,92.31,7.69,1.83,0.0,0.0,0.0
2000-08-22,92.47,7.53,2.87,0.0,0.0,0.0
2000-08-29,91.0,9.0,3.03,0.0,0.0,0.0
2000-09-05,81.97,18.03,4.37,0.11,0.0,0.0
2000-09-12,80.83,19.17,6.98,0.34,0.0,0.0
2000-09-19,69.45,30.55,14.87,4.7,0.0,0.0
2000-09-26,74.83,25.17,7.01,2.85,0.03,0.0
2000-10-03,70.11,29.89,9.94,2.85,0.03,0.0
2000-10-10,73.12,26.88,10.99,2.8,0.0,0.0
