Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Maui County,14.42,85.58,85.58,0.0,0.0,0.0
2000-01-04,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Hawaii County,32.74,67.26,67.26,0.0,0.0,0.0
2000-01-04,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Hawaii County,32.74,67.26,67.26,0.0,0.0,0.0
2000-01-11,Maui County,14.42,85.58,85.58,0.0,0.0,0.0
2000-01-18,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-18,Hawaii County,32.74,67.26,67.26,0.0,0.0,0.0
2000-01-18,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Maui County,14.42,85.58,85.58,0.0,0.0,0.0
2000-01-18,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Maui County,14.42,85.58,85.58,0.0,0.0,0.0
2000-01-25,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-25,Hawaii County,32.74,67.26,67.26,0.0,0.0,0.0
2000-01-25,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-02-01,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Maui County,21.87,78.13,78.13,0.0,0.0,0.0
2000-02-01,Hawaii County,40.5,59.5,59.5,0.0,0.0,0.0
2000-02-08,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-02-08,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Maui County,21.87,78.13,78.13,0.0,0.0,0.0
2000-02-08,Hawaii County,40.5,59.5,59.5,0.0,0.0,0.0
2000-02-08,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Hawaii County,52.46,47.54,47.54,0.0,0.0,0.0
2000-02-15,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-02-15,Maui County,22.09,77.91,77.91,0.0,0.0,0.0
2000-02-22,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Hawaii County,52.46,47.54,47.54,0.0,0.0,0.0
2000-02-22,Maui County,22.09,77.91,77.91,0.0,0.0,0.0
2000-02-22,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-02-29,Hawaii County,52.45,47.55,47.54,0.0,0.0,0.0
2000-02-29,Maui County,12.72,87.28,87.27,0.0,0.0,0.0
2000-02-29,Kauai County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Kalawao County,0.0,100.0,100.0,0.0,0.0,0.0
2000-02-29,Honolulu County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Hawaii County,44.26,55.74,55.74,0.0,0.0,0.0
