Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Hampden County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Suffolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Plymouth County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Norfolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Nantucket County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Middlesex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Hampshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Essex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Dukes County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Berkshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Barnstable County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Norfolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Essex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Middlesex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Berkshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Dukes County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Plymouth County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Hampden County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Hampshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Nantucket County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Barnstable County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Suffolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Nantucket County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Plymouth County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Norfolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Essex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Barnstable County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Middlesex County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Dukes County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Hampden County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Suffolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Berkshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Hampshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Norfolk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Hampshire County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Hampden County,100.0,0.0,0.0,0.0,0.0,0.0
