Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Garrett County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Baltimore City,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Baltimore County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Calvert County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Caroline County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Carroll County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Cecil County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Charles County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Dorchester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Frederick County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Anne Arundel County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Harford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Montgomery County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Prince George's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Queen Anne's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Saint Mary's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Talbot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wicomico County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Howard County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Allegany County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Howard County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Allegany County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Baltimore City,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Garrett County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Carroll County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Anne Arundel County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Caroline County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Charles County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Prince George's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Frederick County,92.24,7.76,0.0,0.0,0.0,0.0
2000-01-11,Dorchester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Queen Anne's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Harford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Cecil County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Baltimore County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Saint Mary's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washington County,1.07,98.93,0.0,0.0,0.0,0.0
2000-01-11,Talbot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Calvert County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Montgomery County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Wicomico County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Frederick County,87.28,12.72,0.0,0.0,0.0,0.0
2000-01-18,Garrett County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-18,Saint Mary's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Baltimore City,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Howard County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Caroline County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Charles County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Baltimore County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Queen Anne's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Talbot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Dorchester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Allegany County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-18,Worcester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Harford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Wicomico County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Prince George's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Montgomery County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Anne Arundel County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Calvert County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Carroll County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Cecil County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Washington County,1.63,98.37,0.0,0.0,0.0,0.0
2000-01-25,Queen Anne's County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Talbot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Dorchester County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Allegany County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-25,Wicomico County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Baltimore County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Washington County,93.22,6.78,0.0,0.0,0.0,0.0
