Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Waldo County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sagadahoc County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Piscataquis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Penobscot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Oxford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Knox County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Kennebec County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Hancock County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Cumberland County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Aroostook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Androscoggin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,York County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,York County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Sagadahoc County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Oxford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Knox County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Kennebec County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Hancock County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Androscoggin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Aroostook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Penobscot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Waldo County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Piscataquis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Cumberland County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Androscoggin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Sagadahoc County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Oxford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Waldo County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Knox County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Kennebec County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Aroostook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Penobscot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,York County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Cumberland County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Piscataquis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Hancock County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Hancock County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Knox County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Cumberland County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Oxford County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Penobscot County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Aroostook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Somerset County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Androscoggin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Piscataquis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Sagadahoc County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,York County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Franklin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Kennebec County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Waldo County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,York County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Androscoggin County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Cumberland County,100.0,0.0,0.0,0.0,0.0,0.0
