Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,White Pine County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Carson City,62.02,37.98,0.0,0.0,0.0,0.0
2000-01-04,Storey County,0.16,99.84,0.0,0.0,0.0,0.0
2000-01-04,Churchill County,13.86,86.14,0.0,0.0,0.0,0.0
2000-01-04,Pershing County,4.92,95.08,0.0,0.0,0.0,0.0
2000-01-04,Clark County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Nye County,99.94,0.06,0.0,0.0,0.0,0.0
2000-01-04,Douglas County,26.92,73.08,0.0,0.0,0.0,0.0
2000-01-04,Elko County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Lyon County,0.04,99.96,0.0,0.0,0.0,0.0
2000-01-04,Mineral County,44.78,55.22,0.0,0.0,0.0,0.0
2000-01-04,Washoe County,11.7,88.3,0.0,0.0,0.0,0.0
2000-01-04,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Humboldt County,41.47,58.53,0.0,0.0,0.0,0.0
2000-01-04,Lander County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Eureka County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Esmeralda County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Lander County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Washoe County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Churchill County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Humboldt County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Storey County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Clark County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Esmeralda County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Douglas County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Eureka County,3.94,96.06,0.0,0.0,0.0,0.0
2000-01-11,Nye County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Carson City,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Elko County,77.65,22.35,0.0,0.0,0.0,0.0
2000-01-11,Mineral County,0.0,100.0,0.0,0.0,0.0,0.0
