Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Klamath County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Jefferson County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Jackson County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Hood River County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Harney County,94.92,5.08,0.0,0.0,0.0,0.0
2000-01-04,Grant County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Gilliam County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Josephine County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Douglas County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Curry County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Crook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Coos County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Columbia County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Clatsop County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Clackamas County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Deschutes County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Benton County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Lake County,86.98,13.02,0.0,0.0,0.0,0.0
2000-01-04,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wheeler County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wasco County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wallowa County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Union County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Umatilla County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Lane County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Tillamook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Polk County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Multnomah County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Morrow County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Marion County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Malheur County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Linn County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sherman County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Baker County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Yamhill County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Yamhill County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Baker County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Lake County,83.64,16.36,0.0,0.0,0.0,0.0
