Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,Kent County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,Newport County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,Bristol County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,Providence County,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
