Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Greenville County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Florence County,59.73,40.27,0.0,0.0,0.0,0.0
2000-01-04,Fairfield County,0.0,100.0,11.59,0.0,0.0,0.0
2000-01-04,Edgefield County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Dorchester County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Dillon County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Darlington County,0.69,99.31,0.0,0.0,0.0,0.0
2000-01-04,Colleton County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Clarendon County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Chesterfield County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Chester County,0.0,100.0,16.62,0.0,0.0,0.0
2000-01-04,Cherokee County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Charleston County,54.38,45.62,0.0,0.0,0.0,0.0
2000-01-04,Calhoun County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Berkeley County,53.31,46.69,0.0,0.0,0.0,0.0
2000-01-04,Beaufort County,0.0,100.0,20.32,0.0,0.0,0.0
2000-01-04,Barnwell County,0.0,100.0,77.35,0.0,0.0,0.0
2000-01-04,Bamberg County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Anderson County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Allendale County,0.0,100.0,90.66,0.0,0.0,0.0
2000-01-04,Georgetown County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Aiken County,0.0,100.0,97.15,0.0,0.0,0.0
2000-01-04,Greenwood County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Horry County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Williamsburg County,73.53,26.47,0.0,0.0,0.0,0.0
2000-01-04,Union County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Sumter County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Spartanburg County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Saluda County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Richland County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Pickens County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Orangeburg County,0.0,100.0,0.88,0.0,0.0,0.0
2000-01-04,Oconee County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Newberry County,0.0,100.0,98.39,0.0,0.0,0.0
2000-01-04,McCormick County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Marlboro County,40.29,59.71,0.0,0.0,0.0,0.0
2000-01-04,Marion County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Lexington County,0.0,100.0,25.34,0.0,0.0,0.0
2000-01-04,Lee County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Laurens County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,Lancaster County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Kershaw County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-04,Jasper County,0.0,100.0,87.53,0.0,0.0,0.0
2000-01-04,Hampton County,0.0,100.0,65.51,0.0,0.0,0.0
2000-01-04,Abbeville County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-04,York County,0.0,100.0,19.17,0.0,0.0,0.0
2000-01-11,Union County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Pickens County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Greenville County,0.0,100.0,98.67,0.0,0.0,0.0
2000-01-11,York County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Allendale County,0.0,100.0,96.1,0.0,0.0,0.0
2000-01-11,Lexington County,0.0,100.0,5.07,0.0,0.0,0.0
2000-01-11,McCormick County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Greenwood County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Georgetown County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Charleston County,73.79,26.21,0.0,0.0,0.0,0.0
2000-01-11,Richland County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Edgefield County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Horry County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Orangeburg County,0.0,100.0,2.58,0.0,0.0,0.0
2000-01-11,Marlboro County,71.24,28.76,0.0,0.0,0.0,0.0
2000-01-11,Newberry County,0.0,100.0,7.0,0.0,0.0,0.0
2000-01-11,Colleton County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Chester County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Florence County,90.01,9.99,0.0,0.0,0.0,0.0
2000-01-11,Anderson County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Berkeley County,75.34,24.66,0.0,0.0,0.0,0.0
2000-01-11,Beaufort County,0.0,100.0,17.49,0.0,0.0,0.0
2000-01-11,Aiken County,0.0,100.0,96.78,0.0,0.0,0.0
2000-01-11,Jasper County,0.0,100.0,81.1,0.0,0.0,0.0
2000-01-11,Saluda County,0.0,100.0,76.59,0.0,0.0,0.0
2000-01-11,Barnwell County,0.0,100.0,96.83,0.0,0.0,0.0
2000-01-11,Lancaster County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Clarendon County,4.5,95.5,0.0,0.0,0.0,0.0
2000-01-11,Lee County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Bamberg County,0.0,100.0,1.3,0.0,0.0,0.0
2000-01-11,Marion County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Spartanburg County,0.0,100.0,2.24,0.0,0.0,0.0
2000-01-11,Cherokee County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Calhoun County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Kershaw County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Darlington County,17.5,82.5,0.0,0.0,0.0,0.0
2000-01-11,Dorchester County,4.85,95.15,0.0,0.0,0.0,0.0
2000-01-11,Fairfield County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Chesterfield County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Abbeville County,0.0,100.0,100.0,0.0,0.0,0.0
2000-01-11,Williamsburg County,98.64,1.36,0.0,0.0,0.0,0.0
