Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Weber County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sanpete County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Emery County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Duchesne County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Summit County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Davis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Tooele County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Daggett County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Uintah County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Carbon County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Utah County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Cache County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wasatch County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Box Elder County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Washington County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Beaver County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Garfield County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,San Juan County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sevier County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Wayne County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Grand County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Juab County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Kane County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Rich County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Morgan County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Iron County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Piute County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Millard County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Salt Lake County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washington County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Box Elder County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Utah County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Piute County,0.04,99.96,0.0,0.0,0.0,0.0
2000-01-11,Wasatch County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Carbon County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Kane County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Wayne County,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-11,Morgan County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Millard County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Cache County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Grand County,41.11,58.89,0.0,0.0,0.0,0.0
2000-01-11,Rich County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Davis County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Juab County,100.0,0.0,0.0,0.0,0.0,0.0
