Week,Area,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,Weston County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Albany County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Uinta County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Big Horn County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Teton County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Campbell County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sweetwater County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Carbon County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sublette County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Converse County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Sheridan County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Platte County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Fremont County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Park County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Crook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Washakie County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Niobrara County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Laramie County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Hot Springs County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Natrona County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Goshen County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,Johnson County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Washakie County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Big Horn County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Laramie County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Uinta County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Campbell County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Natrona County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Teton County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Goshen County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Johnson County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Converse County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Niobrara County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Sublette County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Crook County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Albany County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Sheridan County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Hot Springs County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Fremont County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Platte County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Park County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Carbon County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Sweetwater County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,Weston County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Lincoln County,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,Fremont County,100.0,0.0,0.0,0.0,0.0,0.0
