Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,13.52,86.48,43.17,4.51,0.0,0.0
2000-01-11,9.05,90.95,46.45,4.5,0.0,0.0
2000-01-18,9.01,90.99,47.6,4.5,0.0,0.0
2000-01-25,8.76,91.24,51.43,4.5,0.0,0.0
2000-02-01,8.76,91.24,67.8,4.08,0.0,0.0
2000-02-08,8.76,91.24,67.8,3.75,0.0,0.0
2000-02-15,8.76,91.24,67.8,3.54,0.0,0.0
2000-02-22,8.93,91.07,65.42,3.54,0.0,0.0
2000-02-29,5.2,94.8,73.75,18.36,0.0,0.0
2000-03-07,5.2,94.8,75.3,18.36,0.0,0.0
2000-03-14,12.34,87.66,64.49,21.13,0.0,0.0
2000-03-21,12.51,87.49,64.48,21.13,0.0,0.0
2000-03-28,12.16,87.84,64.48,21.13,0.0,0.0
2000-04-04,9.04,90.96,70.54,36.84,0.0,0.0
2000-04-11,4.91,95.09,74.67,35.44,0.0,0.0
2000-04-18,2.13,97.87,77.67,35.96,0.0,0.0
2000-04-25,3.72,96.28,64.58,29.9,0.0,0.0
2000-05-02,3.71,96.29,63.2,30.3,0.0,0.0
2000-05-09,3.6,96.4,60.99,24.12,0.0,0.0
2000-05-16,0.14,99.86,74.97,33.7,0.0,0.0
2000-05-23,38.54,61.46,39.69,20.7,0.0,0.0
2000-05-30,50.93,49.07,27.64,14.4,0.0,0.0
2000-06-06,64.97,35.03,21.16,11.83,0.0,0.0
2000-06-13,61.15,38.85,25.41,12.37,0.54,0.0
2000-06-20,69.77,30.23,20.82,11.28,0.0,0.0
2000-06-27,76.03,23.97,9.56,2.54,0.0,0.0
2000-07-04,90.58,9.42,4.24,0.97,0.0,0.0
2000-07-11,92.72,7.28,4.07,0.0,0.0,0.0
2000-07-18,94.11,5.89,1.53,0.0,0.0,0.0
2000-07-25,92.7,7.3,1.53,0.0,0.0,0.0
2000-08-01,95.53,4.47,0.59,0.0,0.0,0.0
2000-08-08,97.72,2.28,0.38,0.0,0.0,0.0
2000-08-15,97.71,2.29,0.13,0.0,0.0,0.0
2000-08-22,98.01,1.99,0.39,0.0,0.0,0.0
2000-08-29,98.03,1.97,0.29,0.0,0.0,0.0
2000-09-05,88.31,11.69,0.29,0.0,0.0,0.0
2000-09-12,87.36,12.64,0.32,0.0,0.0,0.0
2000-09-19,66.49,33.51,8.23,0.7,0.0,0.0
2000-09-26,75.45,24.55,3.19,0.7,0.0,0.0
2000-10-03,67.46,32.54,7.32,0.7,0.0,0.0
2000-10-10,68.06,31.94,9.9,0.7,0.0,0.0
2000-10-17,61.21,38.79,16.0,3.26,0.0,0.0
2000-10-24,47.73,52.27,20.58,3.52,0.69,0.0
2000-10-31,36.31,63.69,17.88,1.63,0.28,0.0
2000-11-07,68.44,31.56,5.26,0.45,0.0,0.0
2000-11-14,87.55,12.45,3.68,0.08,0.0,0.0
2000-11-21,90.42,9.58,3.06,0.05,0.0,0.0
2000-11-28,86.62,13.38,3.06,0.05,0.0,0.0
2000-12-05,86.65,13.35,3.88,0.13,0.0,0.0
2000-12-12,86.93,13.07,3.88,0.16,0.0,0.0
2000-12-19,86.95,13.05,3.4,0.06,0.0,0.0
2000-12-26,89.48,10.52,2.1,0.01,0.0,0.0
2001-01-02,89.48,10.52,2.46,0.01,0.0,0.0
2001-01-09,87.17,12.83,2.46,0.01,0.0,0.0
2001-01-16,87.17,12.83,2.46,0.4,0.0,0.0
2001-01-23,68.86,31.14,3.63,0.82,0.0,0.0
2001-01-30,92.07,7.93,0.83,0.0,0.0,0.0
2001-02-06,92.07,7.93,0.83,0.0,0.0,0.0
2001-02-13,98.01,1.99,0.42,0.0,0.0,0.0
2001-02-20,98.57,1.43,0.42,0.0,0.0,0.0
2001-02-27,99.19,0.81,0.19,0.0,0.0,0.0
2001-03-06,99.04,0.96,0.19,0.0,0.0,0.0
2001-03-13,99.04,0.96,0.0,0.0,0.0,0.0
2001-03-20,98.4,1.6,0.0,0.0,0.0,0.0
2001-03-27,94.26,5.74,0.0,0.0,0.0,0.0
2001-04-03,97.75,2.25,0.0,0.0,0.0,0.0
2001-04-10,99.17,0.83,0.0,0.0,0.0,0.0
2001-04-17,99.13,0.87,0.0,0.0,0.0,0.0
2001-04-24,96.41,3.59,0.49,0.0,0.0,0.0
2001-05-01,90.86,9.14,3.48,0.0,0.0,0.0
2001-05-08,87.74,12.26,5.62,4.1,0.0,0.0
2001-05-15,77.96,22.04,9.28,4.25,0.0,0.0
2001-05-22,90.6,9.4,4.86,1.17,0.0,0.0
2001-05-29,92.47,7.53,4.86,0.62,0.0,0.0
2001-06-05,95.8,4.2,1.57,0.62,0.0,0.0
2001-06-12,96.88,3.12,1.57,0.73,0.0,0.0
2001-06-19,95.36,4.64,2.53,0.45,0.0,0.0
2001-06-26,95.36,4.64,2.53,0.45,0.0,0.0
2001-07-03,94.61,5.39,2.53,0.45,0.0,0.0
2001-07-10,97.02,2.98,1.04,0.15,0.0,0.0
2001-07-17,45.66,54.34,1.04,0.15,0.0,0.0
2001-07-24,46.24,53.76,0.38,0.0,0.0,0.0
2001-07-31,36.48,63.52,0.0,0.0,0.0,0.0
2001-08-07,63.74,36.26,0.0,0.0,0.0,0.0
2001-08-14,53.88,46.12,4.99,0.0,0.0,0.0
2001-08-21,75.88,24.12,4.64,0.0,0.0,0.0
2001-08-28,83.39,16.61,0.0,0.0,0.0,0.0
2001-09-04,57.62,42.38,0.0,0.0,0.0,0.0
2001-09-11,88.01,11.99,0.0,0.0,0.0,0.0
2001-09-18,88.43,11.57,0.0,0.0,0.0,0.0
