Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,57.29,42.71,19.61,7.9,0.0,0.0
2000-01-11,38.2,61.8,24.93,9.9,0.0,0.0
2000-01-18,43.26,56.74,21.75,8.67,0.0,0.0
2000-01-25,30.74,69.26,25.48,10.11,0.0,0.0
2000-02-01,34.99,65.01,28.97,10.22,0.0,0.0
2000-02-08,36.07,63.93,29.39,11.03,0.0,0.0
2000-02-15,47.17,52.83,26.77,9.13,0.0,0.0
2000-02-22,43.35,56.65,30.72,10.95,0.0,0.0
2000-02-29,45.46,54.54,32.56,14.07,0.0,0.0
2000-03-07,45.92,54.08,32.17,15.08,0.0,0.0
2000-03-14,51.59,48.41,30.55,16.07,0.0,0.0
2000-03-21,52.02,47.98,29.82,15.63,0.0,0.0
2000-03-28,54.69,45.31,26.54,12.47,0.0,0.0
2000-04-04,51.49,48.51,25.61,14.46,0.0,0.0
2000-04-11,62.16,37.84,22.19,11.43,0.0,0.0
2000-04-18,53.06,46.94,26.6,14.6,0.0,0.0
2000-04-25,63.2,36.8,20.42,10.91,1.24,0.0
2000-05-02,55.43,44.57,25.69,13.22,1.66,0.0
2000-05-09,62.87,37.13,20.76,10.73,1.39,0.0
2000-05-16,60.21,39.79,23.81,13.02,2.5,0.0
2000-05-23,64.63,35.37,19.99,11.84,3.0,0.0
2000-05-30,62.06,37.94,24.17,13.69,5.09,0.26
2000-06-06,68.61,31.39,17.97,10.7,4.52,0.25
2000-06-13,63.01,36.99,19.72,11.9,6.13,1.28
2000-06-20,64.25,35.75,19.13,11.86,5.62,1.37
2000-06-27,55.16,44.84,23.72,12.48,4.48,1.66
2000-07-04,57.5,42.5,17.76,8.15,4.28,1.26
2000-07-11,56.43,43.57,20.31,8.11,4.65,1.65
2000-07-18,55.65,44.35,18.87,7.42,4.57,1.77
2000-07-25,56.81,43.19,19.24,7.88,4.36,2.16
2000-08-01,58.33,41.67,20.29,8.74,4.13,2.01
2000-08-08,48.87,51.13,24.5,10.76,4.47,2.14
2000-08-15,56.7,43.3,23.11,10.95,3.69,1.66
2000-08-22,49.9,50.1,29.13,13.89,5.39,2.39
2000-08-29,52.85,47.15,27.02,13.24,5.74,2.06
2000-09-05,52.06,47.94,29.06,16.22,6.75,2.18
2000-09-12,52.86,47.14,32.28,20.28,7.44,1.43
2000-09-19,51.09,48.91,33.37,21.9,7.0,1.37
2000-09-26,51.58,48.42,32.09,20.06,5.76,0.62
2000-10-03,39.53,60.47,40.99,26.17,6.99,0.74
2000-10-10,40.51,59.49,41.03,24.29,5.87,0.46
2000-10-17,40.2,59.8,40.97,22.21,7.09,1.05
2000-10-24,35.77,64.23,39.24,17.21,7.69,1.69
2000-10-31,40.25,59.75,34.7,16.97,9.1,2.63
2000-11-07,54.68,45.32,19.92,12.44,7.49,0.99
2000-11-14,69.11,30.89,15.81,9.97,4.87,0.6
2000-11-21,70.05,29.95,14.8,8.94,2.21,0.0
2000-11-28,64.43,35.57,16.21,9.04,0.71,0.0
2000-12-05,66.14,33.86,16.74,9.06,0.81,0.14
2000-12-12,72.21,27.79,14.26,7.76,0.92,0.21
2000-12-19,75.39,24.61,12.82,6.29,0.74,0.25
2000-12-26,76.73,23.27,12.05,6.28,0.8,0.3
2001-01-02,70.82,29.18,13.94,6.15,0.96,0.33
2001-01-09,68.35,31.65,14.3,6.53,1.42,0.33
2001-01-16,74.71,25.29,12.07,5.13,1.29,0.28
2001-01-23,56.57,43.43,12.85,5.71,0.96,0.35
2001-01-30,67.34,32.66,9.92,4.19,0.74,0.29
2001-02-06,67.59,32.41,10.15,4.57,0.86,0.28
2001-02-13,62.79,37.21,22.19,5.6,1.61,0.61
2001-02-20,65.55,34.45,21.69,5.63,1.72,0.64
2001-02-27,70.78,29.22,18.22,4.76,1.45,0.61
2001-03-06,72.05,27.95,17.88,4.61,1.39,0.59
2001-03-13,71.45,28.55,17.7,7.91,1.33,0.59
2001-03-20,65.95,34.05,21.51,9.91,1.51,0.68
2001-03-27,68.45,31.55,17.76,8.33,1.23,0.54
2001-04-03,61.84,38.16,20.58,10.13,1.42,0.18
2001-04-10,70.26,29.74,17.78,8.48,1.2,0.17
2001-04-17,70.65,29.35,17.9,8.53,1.29,0.22
2001-04-24,70.52,29.48,18.55,8.63,1.29,0.22
2001-05-01,69.08,30.92,20.9,8.73,1.29,0.22
2001-05-08,60.26,39.74,23.89,11.03,1.66,0.22
2001-05-15,59.35,40.65,26.7,12.82,2.34,0.38
2001-05-22,61.28,38.72,26.73,11.17,2.15,0.41
2001-05-29,62.43,37.57,25.26,11.36,2.05,0.41
2001-06-05,60.31,39.69,26.98,13.08,2.34,0.4
2001-06-12,68.35,31.65,21.28,10.63,1.7,0.08
2001-06-19,57.18,42.82,24.49,14.49,1.92,0.0
2001-06-26,54.68,45.32,26.1,16.37,1.99,0.0
2001-07-03,59.65,40.35,22.56,14.89,3.35,0.0
2001-07-10,57.32,42.68,25.8,16.77,3.79,0.0
2001-07-17,51.02,48.98,26.2,17.69,3.56,0.0
2001-07-24,47.18,52.82,27.64,17.01,3.53,0.0
2001-07-31,55.8,44.2,25.95,14.86,4.37,0.0
2001-08-07,48.63,51.37,31.03,18.45,5.23,0.0
2001-08-14,51.19,48.81,30.88,18.58,5.0,0.0
2001-08-21,54.08,45.92,30.97,19.19,7.18,0.0
2001-08-28,60.22,39.78,25.47,16.68,7.11,0.0
