Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,28.58,71.42,42.59,19.2,0.0,0.0
2000-01-11,29.21,70.79,45.38,14.77,0.0,0.0
2000-01-18,28.85,71.15,45.17,14.77,0.0,0.0
2000-01-25,37.16,62.84,43.37,14.94,0.0,0.0
2000-02-01,42.2,57.8,35.97,9.03,0.0,0.0
2000-02-08,42.2,57.8,37.48,9.16,0.0,0.0
2000-02-15,43.58,56.42,37.48,9.16,0.0,0.0
2000-02-22,44.82,55.18,37.29,8.58,0.0,0.0
2000-02-29,26.93,73.07,44.04,18.29,0.0,0.0
2000-03-07,23.07,76.93,49.93,21.28,0.0,0.0
2000-03-14,20.06,79.94,55.01,22.79,0.0,0.0
2000-03-21,20.24,79.76,54.43,23.98,0.0,0.0
2000-03-28,22.32,77.68,52.33,22.69,0.0,0.0
2000-04-04,19.16,80.84,48.21,22.85,0.0,0.0
2000-04-11,27.54,72.46,48.86,22.39,0.0,0.0
2000-04-18,34.02,65.98,49.18,28.77,0.0,0.0
2000-04-25,34.85,65.15,46.78,26.08,0.0,0.0
2000-05-02,34.85,65.15,48.17,28.98,0.0,0.0
2000-05-09,32.89,67.11,50.68,32.54,0.0,0.0
2000-05-16,29.55,70.45,54.49,41.82,10.39,0.0
2000-05-23,23.57,76.43,57.02,42.26,12.11,0.0
2000-05-30,24.46,75.54,64.14,44.74,20.01,0.0
2000-06-06,25.0,75.0,63.06,46.77,21.97,0.0
2000-06-13,23.31,76.69,67.77,55.34,39.14,12.52
2000-06-20,23.71,76.29,68.55,56.82,38.4,13.61
2000-06-27,17.01,82.99,76.08,59.45,40.63,13.81
2000-07-04,19.77,80.23,69.83,56.13,36.89,13.06
2000-07-11,21.92,78.08,71.29,61.16,40.66,17.05
2000-07-18,18.17,81.83,74.15,64.04,47.29,20.39
2000-07-25,24.3,75.7,69.26,59.58,41.89,22.62
2000-08-01,26.57,73.43,66.98,56.47,39.18,20.75
2000-08-08,28.4,71.6,64.28,52.44,35.2,17.92
2000-08-15,30.37,69.63,59.65,49.11,33.95,17.87
2000-08-22,31.26,68.74,58.27,49.17,35.94,20.5
2000-08-29,31.78,68.22,58.05,49.2,36.23,21.06
2000-09-05,32.95,67.05,55.52,47.19,31.82,17.27
2000-09-12,34.52,65.48,55.78,48.48,31.31,12.29
2000-09-19,37.08,62.92,51.94,37.98,27.56,12.63
2000-09-26,41.6,58.4,49.14,29.98,16.69,5.62
2000-10-03,41.82,58.18,49.14,31.26,16.69,5.62
2000-10-10,39.77,60.23,50.84,33.09,17.05,4.74
2000-10-17,28.18,71.82,60.82,39.43,20.73,8.8
2000-10-24,19.2,80.8,61.83,46.87,25.52,10.18
2000-10-31,7.66,92.34,72.2,59.99,43.95,11.78
2000-11-07,5.89,94.11,73.29,60.08,42.92,4.18
2000-11-14,4.21,95.79,73.04,61.43,36.88,3.0
2000-11-21,5.06,94.94,71.0,59.1,17.19,0.0
2000-11-28,12.71,87.29,69.29,56.32,6.23,0.0
2000-12-05,12.21,87.79,70.52,56.65,7.27,1.42
2000-12-12,15.13,84.87,70.1,57.4,9.47,2.59
2000-12-19,21.93,78.07,67.82,49.39,7.68,3.11
2000-12-26,23.47,76.53,67.23,48.22,8.56,3.69
2001-01-02,23.47,76.53,65.27,37.38,8.49,3.43
2001-01-09,23.47,76.53,65.65,38.16,12.31,3.43
2001-01-16,22.09,77.91,65.65,38.16,13.55,3.45
2001-01-23,21.19,78.81,55.4,30.93,9.19,3.59
2001-01-30,12.3,87.7,53.11,30.37,9.19,3.59
2001-02-06,14.39,85.61,58.09,34.33,10.62,3.48
2001-02-13,12.59,87.41,65.49,39.22,16.66,6.36
2001-02-20,13.09,86.91,72.43,42.33,17.74,6.63
