Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,99.41,0.59,0.0,0.0,0.0,0.0
2000-01-11,97.8,2.2,0.0,0.0,0.0,0.0
2000-01-18,99.69,0.31,0.0,0.0,0.0,0.0
2000-01-25,95.04,4.96,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,98.55,1.45,0.0,0.0,0.0,0.0
2000-04-11,97.37,2.63,0.0,0.0,0.0,0.0
2000-04-18,98.27,1.73,0.0,0.0,0.0,0.0
2000-04-25,98.67,1.33,0.0,0.0,0.0,0.0
2000-05-02,98.67,1.33,0.0,0.0,0.0,0.0
2000-05-09,97.77,2.23,0.0,0.0,0.0,0.0
2000-05-16,97.77,2.23,0.11,0.0,0.0,0.0
2000-05-23,97.76,2.24,0.01,0.0,0.0,0.0
2000-05-30,98.19,1.81,0.01,0.0,0.0,0.0
2000-06-06,95.62,4.38,1.47,0.0,0.0,0.0
2000-06-13,95.7,4.3,1.46,0.0,0.0,0.0
2000-06-20,95.45,4.55,1.46,0.0,0.0,0.0
2000-06-27,85.17,14.83,1.62,0.0,0.0,0.0
2000-07-04,70.63,29.37,4.97,0.0,0.0,0.0
2000-07-11,70.55,29.45,12.5,0.0,0.0,0.0
2000-07-18,63.19,36.81,17.97,0.0,0.0,0.0
2000-07-25,63.59,36.41,17.97,0.0,0.0,0.0
2000-08-01,62.31,37.69,19.41,0.0,0.0,0.0
2000-08-08,42.11,57.89,20.75,0.96,0.0,0.0
2000-08-15,42.11,57.89,21.9,5.91,0.0,0.0
2000-08-22,42.11,57.89,26.59,8.59,0.0,0.0
2000-08-29,37.57,62.43,31.77,8.93,0.39,0.0
2000-09-05,48.42,51.58,21.53,7.96,0.39,0.0
2000-09-12,63.88,36.12,21.53,7.96,0.39,0.0
2000-09-19,63.88,36.12,21.53,7.56,0.39,0.0
2000-09-26,63.88,36.12,23.07,6.98,0.76,0.0
2000-10-03,66.27,33.73,23.07,6.98,0.76,0.0
2000-10-10,68.04,31.96,22.32,6.22,0.76,0.0
2000-10-17,72.09,27.91,21.28,1.34,0.0,0.0
2000-10-24,77.03,22.97,12.44,1.72,0.0,0.0
2000-10-31,82.32,17.68,3.27,0.07,0.0,0.0
2000-11-07,85.61,14.39,1.05,0.01,0.0,0.0
2000-11-14,89.7,10.3,1.16,0.07,0.0,0.0
2000-11-21,89.67,10.33,1.19,0.0,0.0,0.0
2000-11-28,89.67,10.33,1.19,0.0,0.0,0.0
2000-12-05,91.92,8.08,1.5,0.0,0.0,0.0
2000-12-12,92.6,7.4,1.5,0.0,0.0,0.0
2000-12-19,95.74,4.26,1.5,0.0,0.0,0.0
2000-12-26,95.74,4.26,2.2,0.42,0.0,0.0
2001-01-02,95.74,4.26,2.2,0.42,0.0,0.0
2001-01-09,81.72,18.28,2.2,0.42,0.0,0.0
2001-01-16,81.84,18.16,2.2,0.42,0.0,0.0
2001-01-23,14.62,85.38,2.2,0.42,0.0,0.0
2001-01-30,14.49,85.51,5.14,0.42,0.0,0.0
2001-02-06,14.49,85.51,5.14,0.42,0.0,0.0
2001-02-13,11.94,88.06,87.49,0.18,0.0,0.0
2001-02-20,11.38,88.62,88.07,0.18,0.0,0.0
2001-02-27,0.18,99.82,88.64,0.18,0.0,0.0
2001-03-06,0.18,99.82,94.07,1.52,0.0,0.0
2001-03-13,0.0,100.0,94.07,36.74,0.0,0.0
2001-03-20,0.0,100.0,99.19,43.98,0.0,0.0
2001-03-27,0.0,100.0,99.19,43.98,0.0,0.0
2001-04-03,0.0,100.0,99.95,54.75,2.37,0.0
2001-04-10,0.0,100.0,99.49,54.75,2.37,0.0
2001-04-17,0.0,100.0,99.49,54.75,2.37,0.0
2001-04-24,0.0,100.0,99.49,54.75,2.37,0.0
2001-05-01,0.0,100.0,99.49,54.75,2.37,0.0
2001-05-08,0.0,100.0,99.49,54.75,2.12,0.0
2001-05-15,0.0,100.0,99.49,59.73,2.22,0.0
2001-05-22,0.0,100.0,99.49,59.73,2.22,0.0
2001-05-29,0.0,100.0,99.49,62.48,2.17,0.0
2001-06-05,0.0,100.0,99.33,62.09,2.22,0.0
2001-06-12,0.0,100.0,100.0,62.01,2.22,0.0
2001-06-19,0.0,100.0,100.0,84.78,2.96,0.0
2001-06-26,0.0,100.0,100.0,85.18,6.02,0.0
2001-07-03,0.0,100.0,100.0,89.8,9.71,0.0
2001-07-10,0.0,100.0,100.0,89.8,9.47,0.0
2001-07-17,0.0,100.0,100.0,89.8,9.47,0.0
2001-07-24,0.0,100.0,100.0,86.8,9.47,0.0
2001-07-31,0.0,100.0,100.0,86.8,19.79,0.0
2001-08-07,0.0,100.0,100.0,86.8,19.61,0.0
2001-08-14,0.0,100.0,100.0,89.69,20.12,0.0
2001-08-21,0.0,100.0,100.0,89.69,28.51,0.0
2001-08-28,0.0,100.0,100.0,89.23,28.98,0.0
2001-09-04,0.0,100.0,100.0,89.23,31.89,0.0
2001-09-11,0.0,100.0,100.0,91.22,43.85,0.0
2001-09-18,0.0,100.0,100.0,91.22,43.85,0.0
2001-09-25,0.0,100.0,100.0,91.22,44.04,0.0
2001-10-02,0.0,100.0,100.0,91.22,44.04,0.0
2001-10-09,0.0,100.0,100.0,91.22,44.04,0.0
2001-10-16,0.0,100.0,97.77,91.22,44.04,0.0
2001-10-23,0.0,100.0,97.77,91.22,44.04,0.0
2001-10-30,0.0,100.0,97.77,91.22,44.01,0.0
2001-11-06,0.0,100.0,97.77,91.22,44.01,0.0
2001-11-13,0.0,100.0,97.77,91.22,44.01,0.0
2001-11-20,0.0,100.0,96.48,90.78,44.01,0.0
2001-11-27,0.0,100.0,94.84,89.37,42.88,0.0
2001-12-04,4.8,95.2,89.14,76.85,30.17,0.0
2001-12-11,5.6,94.4,85.0,75.04,28.61,0.0
2001-12-18,9.38,90.62,85.0,73.63,24.11,0.0
2001-12-25,11.1,88.9,81.42,72.5,21.47,0.0
2002-01-01,10.85,89.15,81.78,71.87,22.46,0.0
2002-01-08,21.16,78.84,62.67,49.58,5.4,0.0
2002-01-15,21.85,78.15,55.99,34.21,3.65,0.0
2002-01-22,22.0,78.0,53.06,32.83,3.38,0.0
2002-01-29,29.94,70.06,44.91,22.44,1.01,0.0
2002-02-05,30.77,69.23,43.6,21.96,1.38,0.0
2002-02-12,41.25,58.75,41.52,22.16,1.37,0.0
2002-02-19,41.42,58.58,41.5,22.22,1.46,0.0
2002-02-26,42.28,57.72,40.78,21.55,1.47,0.0
2002-03-05,41.45,58.55,41.53,15.6,1.32,0.0
2002-03-12,43.81,56.19,31.56,12.76,1.3,0.0
2002-03-19,51.64,48.36,21.73,7.22,1.43,0.0
2002-03-26,51.03,48.97,24.18,5.64,0.95,0.0
2002-04-02,51.46,48.54,23.68,5.56,0.76,0.0
2002-04-09,51.37,48.63,23.8,5.67,0.7,0.0
2002-04-16,58.38,41.62,19.48,5.22,0.62,0.0
2002-04-23,58.1,41.9,19.67,5.34,0.54,0.0
2002-04-30,55.74,44.26,21.41,5.22,0.61,0.0
2002-05-07,56.29,43.71,20.0,5.44,0.59,0.0
2002-05-14,56.05,43.95,19.91,4.6,0.68,0.0
2002-05-21,55.73,44.27,18.87,4.38,0.55,0.0
2002-05-28,56.7,43.3,18.11,4.59,0.77,0.0
2002-06-04,55.16,44.84,18.87,2.48,0.02,0.0
2002-06-11,56.94,43.06,19.21,4.92,0.02,0.0
2002-06-18,55.52,44.48,22.7,7.65,0.05,0.0
2002-06-25,49.44,50.56,27.36,7.9,0.02,0.0
2002-07-02,47.41,52.59,32.94,11.32,0.12,0.0
2002-07-09,44.01,55.99,33.63,11.39,0.19,0.0
2002-07-16,39.73,60.27,41.56,18.06,0.11,0.0
2002-07-23,38.63,61.37,42.17,17.79,0.01,0.0
2002-07-30,35.51,64.49,45.8,22.77,0.16,0.0
2002-08-06,34.89,65.11,49.19,31.92,2.37,0.0
2002-08-13,28.46,71.54,48.06,32.17,6.14,0.0
2002-08-20,30.2,69.8,48.61,36.32,8.38,0.0
2002-08-27,29.86,70.14,48.74,35.62,8.31,0.0
2002-09-03,30.5,69.5,48.34,36.02,8.42,0.0
2002-09-10,26.91,73.09,49.23,36.35,7.24,0.0
2002-09-17,24.44,75.56,48.22,35.58,7.14,0.0
2002-09-24,24.06,75.94,48.22,35.85,7.51,0.0
2002-10-01,17.77,82.23,46.53,33.56,6.9,0.0
2002-10-08,13.35,86.65,48.79,35.5,4.93,0.0
2002-10-15,13.96,86.04,48.47,35.26,4.85,0.0
2002-10-22,6.46,93.54,48.42,35.93,5.08,0.0
2002-10-29,6.44,93.56,49.06,36.1,5.18,0.0
2002-11-05,0.0,100.0,77.1,45.69,5.25,0.0
2002-11-12,1.89,98.11,66.53,44.91,5.2,0.0
2002-11-19,1.85,98.15,67.05,45.16,5.35,0.0
2002-11-26,1.77,98.23,67.49,45.68,5.09,0.0
2002-12-03,1.94,98.06,66.65,45.04,4.92,0.0
2002-12-10,0.0,100.0,67.8,47.04,4.87,0.0
2002-12-17,7.71,92.29,67.95,47.3,5.02,0.0
2002-12-24,7.57,92.43,68.42,47.6,5.21,0.0
2002-12-31,16.76,83.24,57.38,43.59,3.81,0.0
2003-01-07,20.14,79.86,57.14,44.12,3.61,0.0
2003-01-14,21.44,78.56,57.35,48.94,14.94,0.96
2003-01-21,21.51,78.49,56.93,47.78,15.97,0.71
2003-01-28,19.95,80.05,56.34,46.63,13.55,0.69
2003-02-04,19.11,80.89,54.7,37.87,12.01,0.01
2003-02-11,9.26,90.74,58.65,39.73,11.69,0.01
2003-02-18,9.38,90.62,58.04,39.52,11.66,0.0
2003-02-25,9.55,90.45,56.03,38.72,10.36,0.0
2003-03-04,9.32,90.68,56.0,40.3,15.46,0.0
2003-03-11,16.54,83.46,49.97,38.02,17.63,0.0
2003-03-18,41.53,58.47,49.69,37.64,16.93,0.0
2003-03-25,41.59,58.41,49.41,36.98,16.9,0.0
2003-04-01,45.57,54.43,46.67,31.82,15.16,0.0
2003-04-08,49.4,50.6,40.36,30.33,14.93,0.0
2003-04-15,49.15,50.85,39.63,29.88,14.58,0.0
2003-04-22,49.66,50.34,39.56,29.25,14.62,0.0
2003-04-29,54.5,45.5,32.96,24.08,10.85,0.0
2003-05-06,57.76,42.24,30.7,20.34,9.77,0.0
2003-05-13,59.28,40.72,29.49,20.27,9.54,1.08
2003-05-20,59.38,40.62,28.95,20.23,8.95,1.0
2003-05-27,59.78,40.22,29.4,20.29,9.37,1.01
2003-06-03,52.33,47.67,26.77,18.84,9.14,0.94
2003-06-10,46.85,53.15,30.89,21.27,11.09,1.17
2003-06-17,47.82,52.18,31.47,20.54,10.99,1.18
2003-06-24,46.99,53.01,30.95,20.48,11.04,1.13
2003-07-01,12.15,87.85,34.62,23.31,12.86,1.25
2003-07-08,6.57,93.43,37.82,28.23,14.86,1.49
2003-07-15,0.88,99.12,42.11,32.86,15.03,1.41
2003-07-22,0.66,99.34,46.24,37.86,28.06,4.82
2003-07-29,0.7,99.3,96.34,44.84,32.8,7.36
2003-08-05,0.6,99.4,96.46,44.47,32.35,7.11
2003-08-12,0.66,99.34,93.33,44.5,32.61,7.25
2003-08-19,1.0,99.0,93.46,51.35,36.37,8.2
2003-08-26,1.18,98.82,93.48,51.43,38.13,8.55
2003-09-02,1.01,98.99,94.44,51.49,38.05,9.29
2003-09-09,1.08,98.92,94.63,55.48,38.42,8.75
2003-09-16,0.91,99.09,81.71,53.63,37.67,8.74
