Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,69.36,30.64,0.14,0.0,0.0,0.0
2000-01-11,58.6,41.4,0.48,0.0,0.0,0.0
2000-01-18,5.45,94.55,0.48,0.0,0.0,0.0
2000-01-25,6.2,93.8,0.41,0.0,0.0,0.0
2000-02-01,11.68,88.32,6.09,0.0,0.0,0.0
2000-02-08,11.68,88.32,6.12,0.0,0.0,0.0
2000-02-15,11.68,88.32,7.5,0.0,0.0,0.0
2000-02-22,12.92,87.08,7.77,0.0,0.0,0.0
2000-02-29,36.62,63.38,26.9,0.0,0.0,0.0
2000-03-07,44.5,55.5,14.53,0.0,0.0,0.0
2000-03-14,55.49,44.51,15.2,0.0,0.0,0.0
2000-03-21,61.39,38.61,14.38,0.11,0.0,0.0
2000-03-28,85.27,14.73,0.04,0.0,0.0,0.0
2000-04-04,84.08,15.92,1.31,0.0,0.0,0.0
2000-04-11,84.33,15.67,1.11,0.0,0.0,0.0
2000-04-18,85.96,14.04,0.79,0.0,0.0,0.0
2000-04-25,85.17,14.83,0.89,0.0,0.0,0.0
2000-05-02,83.89,16.11,5.25,0.0,0.0,0.0
2000-05-09,91.57,8.43,1.72,0.0,0.0,0.0
2000-05-16,90.79,9.21,1.72,0.0,0.0,0.0
2000-05-23,87.57,12.43,2.2,0.0,0.0,0.0
2000-05-30,92.13,7.87,0.23,0.0,0.0,0.0
2000-06-06,79.88,20.12,0.0,0.0,0.0,0.0
2000-06-13,69.06,30.94,0.1,0.0,0.0,0.0
2000-06-20,68.56,31.44,0.27,0.0,0.0,0.0
2000-06-27,65.11,34.89,0.52,0.0,0.0,0.0
2000-07-04,68.18,31.82,2.28,0.0,0.0,0.0
2000-07-11,68.06,31.94,3.28,0.0,0.0,0.0
2000-07-18,75.49,24.51,0.0,0.0,0.0,0.0
2000-07-25,82.05,17.95,0.0,0.0,0.0,0.0
2000-08-01,81.89,18.11,0.0,0.0,0.0,0.0
2000-08-08,79.71,20.29,0.0,0.0,0.0,0.0
2000-08-15,73.99,26.01,1.13,0.0,0.0,0.0
2000-08-22,81.6,18.4,2.4,0.08,0.0,0.0
2000-08-29,40.43,59.57,6.08,0.51,0.0,0.0
2000-09-05,10.42,89.58,41.18,6.15,0.18,0.0
2000-09-12,10.42,89.58,78.72,28.86,0.18,0.0
2000-09-19,6.57,93.43,78.72,44.46,0.85,0.0
2000-09-26,5.76,94.24,76.61,44.67,0.94,0.0
2000-10-03,5.76,94.24,88.08,71.96,0.94,0.0
2000-10-10,5.62,94.38,88.08,69.16,0.82,0.0
2000-10-17,4.37,95.63,89.78,53.27,1.73,0.0
2000-10-24,0.0,100.0,61.46,10.37,1.95,0.0
2000-10-31,34.02,65.98,23.05,4.92,0.57,0.0
2000-11-07,84.39,15.61,0.9,0.0,0.0,0.0
2000-11-14,90.14,9.86,0.87,0.23,0.0,0.0
2000-11-21,91.36,8.64,0.07,0.0,0.0,0.0
2000-11-28,92.25,7.75,0.07,0.0,0.0,0.0
2000-12-05,92.76,7.24,0.1,0.0,0.0,0.0
2000-12-12,92.62,7.38,0.1,0.0,0.0,0.0
2000-12-19,92.64,7.36,0.16,0.0,0.0,0.0
2000-12-26,95.39,4.61,0.1,0.0,0.0,0.0
2001-01-02,95.39,4.61,0.1,0.0,0.0,0.0
2001-01-09,95.69,4.31,0.1,0.0,0.0,0.0
2001-01-16,95.69,4.31,0.1,0.0,0.0,0.0
2001-01-23,91.61,8.39,0.28,0.01,0.0,0.0
2001-01-30,97.12,2.88,0.28,0.0,0.0,0.0
2001-02-06,97.12,2.88,0.28,0.0,0.0,0.0
2001-02-13,99.57,0.43,0.0,0.0,0.0,0.0
2001-02-20,99.85,0.15,0.0,0.0,0.0,0.0
2001-02-27,99.85,0.15,0.0,0.0,0.0,0.0
2001-03-06,99.85,0.15,0.0,0.0,0.0,0.0
2001-03-13,99.85,0.15,0.0,0.0,0.0,0.0
2001-03-20,99.85,0.15,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,95.94,4.06,0.0,0.0,0.0,0.0
2001-05-08,93.01,6.99,1.09,0.0,0.0,0.0
2001-05-15,93.14,6.86,1.09,0.0,0.0,0.0
2001-05-22,99.66,0.34,0.0,0.0,0.0,0.0
2001-05-29,99.66,0.34,0.0,0.0,0.0,0.0
2001-06-05,99.73,0.27,0.0,0.0,0.0,0.0
2001-06-12,99.64,0.36,0.0,0.0,0.0,0.0
2001-06-19,93.86,6.14,0.0,0.0,0.0,0.0
2001-06-26,88.57,11.43,0.0,0.0,0.0,0.0
2001-07-03,87.18,12.82,5.91,0.0,0.0,0.0
2001-07-10,48.38,51.62,10.73,0.0,0.0,0.0
2001-07-17,45.05,54.95,13.24,5.08,0.0,0.0
2001-07-24,25.71,74.29,23.7,8.45,0.0,0.0
2001-07-31,33.66,66.34,43.52,12.59,0.0,0.0
2001-08-07,30.61,69.39,44.05,19.15,0.0,0.0
2001-08-14,46.95,53.05,31.14,9.37,0.0,0.0
2001-08-21,47.7,52.3,27.05,4.2,0.0,0.0
2001-08-28,51.52,48.48,17.78,2.3,0.0,0.0
2001-09-04,46.69,53.31,23.34,4.29,0.0,0.0
2001-09-11,39.5,60.5,10.56,0.0,0.0,0.0
2001-09-18,42.81,57.19,10.1,0.0,0.0,0.0
2001-09-25,51.06,48.94,7.74,0.0,0.0,0.0
2001-10-02,51.06,48.94,7.74,0.0,0.0,0.0
2001-10-09,49.29,50.71,7.74,0.0,0.0,0.0
2001-10-16,54.07,45.93,6.38,0.0,0.0,0.0
2001-10-23,47.32,52.68,17.49,0.0,0.0,0.0
2001-10-30,40.9,59.1,42.08,0.0,0.0,0.0
2001-11-06,35.22,64.78,40.43,0.0,0.0,0.0
2001-11-13,30.67,69.33,44.64,0.0,0.0,0.0
2001-11-20,31.35,68.65,42.01,0.0,0.0,0.0
2001-11-27,31.52,68.48,42.01,0.0,0.0,0.0
2001-12-04,28.35,71.65,46.44,0.0,0.0,0.0
2001-12-11,27.81,72.19,53.38,0.0,0.0,0.0
2001-12-18,28.67,71.33,54.55,2.05,0.0,0.0
2001-12-25,25.93,74.07,58.53,7.27,0.0,0.0
2002-01-01,24.32,75.68,59.48,7.07,0.0,0.0
2002-01-08,20.65,79.35,59.49,7.19,0.0,0.0
2002-01-15,20.95,79.05,59.74,7.18,0.0,0.0
2002-01-22,20.39,79.61,59.47,7.26,0.0,0.0
2002-01-29,20.98,79.02,60.23,7.33,0.0,0.0
2002-02-05,30.56,69.44,35.12,0.0,0.0,0.0
2002-02-12,39.61,60.39,33.68,0.0,0.0,0.0
2002-02-19,40.24,59.76,35.88,0.0,0.0,0.0
2002-02-26,38.5,61.5,36.04,0.0,0.0,0.0
2002-03-05,39.25,60.75,40.68,10.57,0.0,0.0
2002-03-12,20.63,79.37,41.18,14.34,0.0,0.0
2002-03-19,24.38,75.62,40.91,14.81,0.0,0.0
2002-03-26,24.17,75.83,47.93,20.91,0.0,0.0
2002-04-02,20.91,79.09,55.57,30.18,0.0,0.0
2002-04-09,27.21,72.79,54.88,30.78,0.0,0.0
2002-04-16,28.53,71.47,53.91,31.18,0.0,0.0
2002-04-23,30.78,69.22,51.78,32.88,12.61,0.0
2002-04-30,40.46,59.54,48.85,33.68,14.63,0.0
2002-05-07,40.31,59.69,49.08,36.56,14.59,0.0
2002-05-14,34.99,65.01,49.85,37.55,20.63,0.0
2002-05-21,42.02,57.98,46.22,36.6,25.97,0.0
2002-05-28,49.62,50.38,40.93,33.71,25.1,1.81
2002-06-04,47.25,52.75,41.22,33.99,25.38,1.91
2002-06-11,47.57,52.43,41.85,36.14,24.48,1.68
2002-06-18,52.64,47.36,40.19,33.21,20.2,0.77
2002-06-25,52.61,47.39,38.54,32.87,19.67,2.15
2002-07-02,52.1,47.9,38.84,33.11,19.57,2.05
2002-07-09,58.46,41.54,35.62,28.78,18.48,2.15
2002-07-16,60.5,39.5,35.05,28.88,18.81,2.32
2002-07-23,48.48,51.52,36.56,28.8,23.12,1.62
2002-07-30,53.76,46.24,33.34,28.42,24.38,0.69
2002-08-06,54.57,45.43,36.79,29.7,25.22,4.6
2002-08-13,62.35,37.65,31.79,26.85,23.65,4.74
2002-08-20,64.0,36.0,30.36,26.18,22.14,4.41
2002-08-27,64.52,35.48,29.93,25.59,22.24,4.76
2002-09-03,53.3,46.7,30.02,25.7,16.95,7.23
2002-09-10,42.18,57.82,30.99,21.22,14.17,6.43
2002-09-17,44.94,55.06,31.2,21.29,13.87,6.27
2002-09-24,51.24,48.76,30.17,21.17,12.97,4.18
2002-10-01,7.94,92.06,35.78,20.87,13.42,4.12
2002-10-08,23.56,76.44,40.82,20.35,12.82,3.73
2002-10-15,36.57,63.43,40.31,20.28,12.91,3.7
2002-10-22,36.77,63.23,39.96,20.63,13.03,3.65
2002-10-29,56.77,43.23,33.39,18.55,12.4,3.67
2002-11-05,58.95,41.05,26.51,17.01,12.09,3.76
2002-11-12,58.7,41.3,25.27,16.99,11.87,3.49
2002-11-19,58.79,41.21,25.72,16.85,12.11,3.67
2002-11-26,59.05,40.95,25.25,16.63,12.04,3.55
2002-12-03,59.21,40.79,25.14,17.25,11.74,3.71
2002-12-10,60.2,39.8,23.8,17.24,12.01,3.28
2002-12-17,60.23,39.77,23.94,17.39,12.12,3.36
2002-12-24,60.31,39.69,23.53,17.19,11.99,3.48
2002-12-31,65.32,34.68,22.89,16.83,12.03,3.49
2003-01-07,58.66,41.34,22.96,17.34,12.17,3.26
2003-01-14,59.55,40.45,26.54,16.92,11.94,3.37
2003-01-21,62.14,37.86,26.08,16.92,11.99,3.15
2003-01-28,60.09,39.91,25.67,17.11,12.07,3.23
2003-02-04,60.88,39.12,25.09,16.81,11.92,3.32
2003-02-11,59.99,40.01,25.36,17.29,12.13,3.55
2003-02-18,62.05,37.95,22.59,17.24,11.93,3.49
2003-02-25,70.31,29.69,19.09,15.9,11.98,3.5
2003-03-04,70.25,29.75,18.96,16.11,11.74,3.68
2003-03-11,38.86,61.14,20.41,16.13,11.63,3.6
2003-03-18,39.48,60.52,20.75,16.03,11.56,3.59
2003-03-25,47.15,52.85,20.06,15.88,11.51,1.83
2003-04-01,41.53,58.47,19.78,15.78,9.41,1.83
2003-04-08,35.35,64.65,19.76,15.59,9.47,0.0
2003-04-15,19.86,80.14,21.06,15.1,9.12,0.0
2003-04-22,24.34,75.66,20.97,13.66,7.06,0.0
2003-04-29,24.53,75.47,24.99,16.0,8.35,0.0
2003-05-06,25.26,74.74,51.3,16.11,8.26,0.0
2003-05-13,12.34,87.66,54.34,16.05,10.23,0.0
2003-05-20,24.95,75.05,52.93,19.19,9.31,0.0
2003-05-27,24.67,75.33,44.74,18.86,9.67,0.0
2003-06-03,26.34,73.66,45.32,20.33,7.51,0.0
2003-06-10,34.76,65.24,29.87,14.64,5.85,0.0
2003-06-17,50.1,49.9,25.79,12.74,5.65,0.0
2003-06-24,59.05,40.95,20.18,10.98,2.84,0.0
2003-07-01,70.88,29.12,13.95,10.98,2.76,0.0
2003-07-08,70.06,29.94,14.17,11.08,2.75,0.0
2003-07-15,5.91,94.09,16.49,12.11,4.6,0.0
2003-07-22,5.7,94.3,58.03,12.06,4.72,0.0
2003-07-29,3.22,96.78,92.73,23.99,4.6,0.0
2003-08-05,4.12,95.88,85.39,27.63,3.3,0.0
2003-08-12,4.14,95.86,81.09,35.54,3.09,0.0
2003-08-19,3.21,96.79,83.52,37.31,6.63,0.0
2003-08-26,3.08,96.92,86.24,54.78,7.9,0.0
2003-09-02,7.72,92.28,62.34,25.46,5.12,0.0
2003-09-09,7.67,92.33,59.9,23.95,4.23,0.0
2003-09-16,21.79,78.21,43.72,18.84,2.63,0.0
2003-09-23,19.96,80.04,43.82,18.35,2.75,0.0
2003-09-30,16.29,83.71,39.52,18.36,2.53,0.0
2003-10-07,29.01,70.99,35.57,17.49,2.77,0.0
2003-10-14,25.83,74.17,32.21,20.72,2.16,0.0
2003-10-21,26.65,73.35,31.36,19.43,2.16,0.0
2003-10-28,22.15,77.85,40.44,19.47,2.89,0.85
2003-11-04,21.34,78.66,46.72,19.89,3.39,1.0
2003-11-11,17.54,82.46,55.96,23.86,3.58,1.01
2003-11-18,18.46,81.54,55.32,23.03,3.11,0.79
2003-11-25,19.88,80.12,54.92,22.94,3.24,0.78
2003-12-02,20.44,79.56,54.68,23.52,2.62,0.84
2003-12-09,19.66,80.34,57.52,26.59,3.15,1.08
2003-12-16,21.75,78.25,58.07,27.28,3.26,1.03
2003-12-23,22.94,77.06,57.11,26.41,3.42,0.9
2003-12-30,26.5,73.5,59.88,36.55,5.44,1.01
2004-01-06,22.28,77.72,60.23,39.6,18.53,0.71
2004-01-13,23.84,76.16,59.78,38.38,18.7,0.71
2004-01-20,28.7,71.3,55.1,33.6,15.02,0.7
2004-01-27,31.21,68.79,55.28,33.6,15.02,0.7
2004-02-03,31.21,68.79,55.33,33.6,15.02,0.7
2004-02-10,31.9,68.1,55.33,33.64,15.02,0.7
2004-02-17,31.58,68.42,55.63,34.98,14.98,0.7
2004-02-24,31.58,68.42,53.73,34.98,14.98,0.7
2004-03-02,33.78,66.22,42.93,32.33,19.27,0.7
2004-03-09,53.73,46.27,33.87,27.48,17.43,0.66
2004-03-16,53.73,46.27,33.87,27.48,17.43,0.66
2004-03-23,50.64,49.36,35.19,27.77,17.16,0.66
2004-03-30,50.64,49.36,35.19,27.89,17.16,0.66
2004-04-06,45.64,54.36,34.07,23.54,10.72,0.0
2004-04-13,50.46,49.54,32.97,18.77,8.99,0.0
2004-04-20,41.12,58.88,32.97,18.77,8.99,0.0
2004-04-27,52.79,47.21,26.0,14.7,3.18,0.0
2004-05-04,57.55,42.45,26.0,14.7,3.18,0.0
2004-05-11,53.53,46.47,26.0,14.7,3.18,0.0
2004-05-18,48.52,51.48,26.0,14.7,3.18,0.0
2004-05-25,17.33,82.67,36.5,14.68,3.18,0.0
2004-06-01,15.17,84.83,57.0,14.39,3.18,0.0
2004-06-08,16.17,83.83,53.19,17.21,3.09,0.0
2004-06-15,23.69,76.31,48.64,17.43,3.06,0.0
2004-06-22,51.17,48.83,25.52,10.36,1.1,0.0
2004-06-29,56.65,43.35,18.81,7.82,0.56,0.0
2004-07-06,56.55,43.45,18.87,7.67,0.56,0.0
2004-07-13,56.55,43.45,20.38,9.24,1.27,0.0
2004-07-20,55.35,44.65,20.59,9.24,1.27,0.0
2004-07-27,63.58,36.42,14.97,4.26,1.27,0.0
2004-08-03,63.07,36.93,14.17,4.49,1.27,0.0
2004-08-10,77.57,22.43,7.65,1.78,0.4,0.0
2004-08-17,81.9,18.1,6.79,1.04,0.15,0.0
2004-08-24,86.64,13.36,5.4,1.04,0.15,0.0
2004-08-31,86.41,13.59,5.4,1.04,0.15,0.0
2004-09-07,86.31,13.69,5.4,1.04,0.15,0.0
2004-09-14,75.25,24.75,5.4,1.04,0.15,0.0
2004-09-21,69.71,30.29,5.4,1.04,0.14,0.0
2004-09-28,80.42,19.58,4.74,1.04,0.14,0.0
2004-10-05,66.03,33.97,6.78,1.04,0.14,0.0
2004-10-12,81.09,18.91,5.38,0.78,0.14,0.0
2004-10-19,81.51,18.49,5.38,0.78,0.14,0.0
2004-10-26,83.9,16.1,4.86,0.78,0.14,0.0
2004-11-02,87.35,12.65,4.01,0.78,0.14,0.0
2004-11-09,88.54,11.46,4.01,0.78,0.14,0.0
2004-11-16,88.59,11.41,4.01,0.78,0.14,0.0
2004-11-23,88.59,11.41,4.01,0.78,0.14,0.0
2004-11-30,88.34,11.66,3.51,0.65,0.14,0.0
2004-12-07,88.34,11.66,3.56,0.65,0.14,0.0
2004-12-14,88.34,11.66,3.51,0.64,0.14,0.0
2004-12-21,88.34,11.66,3.51,0.64,0.14,0.0
2004-12-28,88.34,11.66,3.51,0.64,0.14,0.0
2005-01-04,88.34,11.66,3.51,0.64,0.14,0.0
2005-01-11,88.34,11.66,3.54,0.68,0.14,0.0
2005-01-18,88.34,11.66,2.84,0.68,0.14,0.0
2005-01-25,88.26,11.74,2.84,0.68,0.14,0.0
2005-02-01,88.26,11.74,2.84,0.68,0.14,0.0
2005-02-08,88.57,11.43,2.67,0.68,0.01,0.0
2005-02-15,89.06,10.94,2.04,0.68,0.0,0.0
2005-02-22,86.62,13.38,2.04,0.68,0.0,0.0
2005-03-01,86.62,13.38,2.04,0.32,0.0,0.0
2005-03-08,85.0,15.0,2.04,0.32,0.0,0.0
2005-03-15,84.89,15.11,1.74,0.0,0.0,0.0
2005-03-22,84.92,15.08,1.74,0.0,0.0,0.0
2005-03-29,86.08,13.92,1.7,0.0,0.0,0.0
2005-04-05,82.31,17.69,1.44,0.0,0.0,0.0
2005-04-12,84.95,15.05,3.44,0.05,0.0,0.0
2005-04-19,81.89,18.11,6.38,0.05,0.0,0.0
2005-04-26,70.44,29.56,9.92,0.0,0.0,0.0
2005-05-03,48.96,51.04,11.04,0.0,0.0,0.0
2005-05-10,36.75,63.25,24.1,6.77,0.0,0.0
2005-05-17,49.56,50.44,20.83,4.32,0.0,0.0
2005-05-24,37.77,62.23,27.95,7.07,0.0,0.0
2005-05-31,38.63,61.37,28.09,5.27,0.0,0.0
2005-06-07,38.99,61.01,31.94,9.2,0.0,0.0
2005-06-14,65.74,34.26,22.19,9.68,0.0,0.0
2005-06-21,75.69,24.31,11.32,4.35,0.0,0.0
2005-06-28,64.5,35.5,17.78,7.62,1.2,0.0
2005-07-05,73.57,26.43,15.05,9.85,1.95,0.0
2005-07-12,75.69,24.31,14.74,7.57,1.68,0.0
2005-07-19,72.74,27.26,14.74,7.57,2.03,0.0
2005-07-26,51.51,48.49,16.96,7.71,2.03,0.0
2005-08-02,45.61,54.39,17.15,7.47,1.69,0.0
2005-08-09,44.91,55.09,18.19,6.72,0.96,0.0
2005-08-16,68.56,31.44,13.21,6.26,0.74,0.0
2005-08-23,74.13,25.87,10.99,5.67,0.74,0.0
2005-08-30,72.67,27.33,10.8,5.67,0.74,0.0
2005-09-06,72.59,27.41,10.8,5.67,0.74,0.0
2005-09-13,72.59,27.41,11.33,6.59,0.83,0.0
2005-09-20,77.08,22.92,5.11,2.12,0.18,0.0
2005-09-27,77.5,22.5,4.26,0.79,0.0,0.0
2005-10-04,75.6,24.4,4.78,0.79,0.0,0.0
2005-10-11,75.65,24.35,4.78,1.49,0.0,0.0
2005-10-18,75.08,24.92,7.38,1.49,0.0,0.0
2005-10-25,44.36,55.64,14.81,4.53,0.44,0.0
2005-11-01,43.29,56.71,15.05,4.87,0.44,0.0
2005-11-08,43.29,56.71,14.9,5.81,1.81,0.0
2005-11-15,41.96,58.04,15.21,5.47,1.44,0.0
2005-11-22,41.73,58.27,15.5,6.31,1.44,0.0
2005-11-29,25.3,74.7,28.63,6.31,1.44,0.0
2005-12-06,24.31,75.69,46.13,10.55,4.31,0.0
2005-12-13,22.82,77.18,48.69,13.98,4.67,0.0
2005-12-20,22.73,77.27,51.62,20.88,6.17,4.03
2005-12-27,22.73,77.27,51.62,20.88,6.17,4.03
2006-01-03,22.54,77.46,54.78,23.41,6.17,4.08
2006-01-10,20.3,79.7,60.89,24.7,10.46,4.08
2006-01-17,18.05,81.95,67.58,24.7,10.46,4.08
2006-01-24,15.12,84.88,69.71,35.1,14.46,4.08
2006-01-31,6.13,93.87,72.18,39.67,16.41,3.17
2006-02-07,3.87,96.13,72.18,49.42,24.77,3.57
2006-02-14,1.63,98.37,75.32,51.51,27.07,3.8
2006-02-21,1.63,98.37,78.68,53.65,27.94,4.56
2006-02-28,0.62,99.38,84.7,59.28,34.15,8.18
2006-03-07,0.69,99.31,89.78,70.72,34.39,8.18
2006-03-14,0.69,99.31,93.91,72.74,39.42,3.15
2006-03-21,0.69,99.31,90.36,63.21,12.78,0.0
2006-03-28,0.66,99.34,91.39,63.21,8.92,0.0
2006-04-04,0.53,99.47,92.54,63.21,8.92,0.0
2006-04-11,0.33,99.67,93.58,68.96,7.51,0.0
2006-04-18,0.33,99.67,95.08,77.38,10.25,0.0
2006-04-25,0.33,99.67,96.41,82.23,27.54,0.0
2006-05-02,0.24,99.76,91.35,76.54,19.45,0.0
2006-05-09,4.85,95.15,79.38,48.81,19.42,0.0
2006-05-16,4.85,95.15,76.73,46.94,18.85,0.0
2006-05-23,5.05,94.95,77.5,46.07,20.44,0.0
2006-05-30,4.22,95.78,81.31,50.9,22.02,0.0
2006-06-06,4.22,95.78,81.99,60.17,28.38,0.0
