Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,73.2,26.8,0.0,0.0,0.0,0.0
2000-01-11,34.23,65.77,0.0,0.0,0.0,0.0
2000-01-18,24.98,75.02,0.0,0.0,0.0,0.0
2000-01-25,25.57,74.43,0.0,0.0,0.0,0.0
2000-02-01,26.87,73.13,0.0,0.0,0.0,0.0
2000-02-08,32.55,67.45,0.0,0.0,0.0,0.0
2000-02-15,38.17,61.83,14.89,0.0,0.0,0.0
2000-02-22,49.48,50.52,14.89,0.0,0.0,0.0
2000-02-29,55.8,44.2,15.33,0.0,0.0,0.0
2000-03-07,60.8,39.2,14.26,0.0,0.0,0.0
2000-03-14,77.73,22.27,4.99,0.0,0.0,0.0
2000-03-21,77.84,22.16,5.13,0.0,0.0,0.0
2000-03-28,80.41,19.59,4.22,0.0,0.0,0.0
2000-04-04,81.4,18.6,7.24,0.0,0.0,0.0
2000-04-11,81.28,18.72,7.49,0.0,0.0,0.0
2000-04-18,79.29,20.71,6.31,0.0,0.0,0.0
2000-04-25,80.73,19.27,6.31,0.0,0.0,0.0
2000-05-02,76.52,23.48,10.63,0.0,0.0,0.0
2000-05-09,75.8,24.2,11.83,0.0,0.0,0.0
2000-05-16,62.92,37.08,17.4,5.76,0.0,0.0
2000-05-23,63.24,36.76,17.39,5.76,0.0,0.0
2000-05-30,63.46,36.54,20.07,5.72,0.0,0.0
2000-06-06,47.04,52.96,23.34,5.72,0.0,0.0
2000-06-13,29.59,70.41,24.22,5.72,0.0,0.0
2000-06-20,15.93,84.07,24.22,5.69,0.0,0.0
2000-06-27,12.0,88.0,25.06,6.25,0.0,0.0
2000-07-04,25.12,74.88,9.72,0.0,0.0,0.0
2000-07-11,25.08,74.92,19.09,0.0,0.0,0.0
2000-07-18,8.4,91.6,17.39,0.0,0.0,0.0
2000-07-25,3.48,96.52,20.54,0.0,0.0,0.0
2000-08-01,3.48,96.52,25.14,0.0,0.0,0.0
2000-08-08,0.15,99.85,33.6,0.0,0.0,0.0
2000-08-15,9.82,90.18,54.19,6.43,0.0,0.0
2000-08-22,13.16,86.84,55.93,6.27,0.0,0.0
2000-08-29,13.49,86.51,53.72,6.75,0.0,0.0
2000-09-05,16.85,83.15,36.06,3.58,0.0,0.0
2000-09-12,16.85,83.15,36.04,3.58,0.0,0.0
2000-09-19,16.85,83.15,36.04,3.58,0.0,0.0
2000-09-26,11.98,88.02,38.88,1.86,0.0,0.0
2000-10-03,4.33,95.67,49.46,1.86,0.0,0.0
2000-10-10,4.28,95.72,49.44,3.42,0.0,0.0
2000-10-17,18.11,81.89,22.05,1.35,0.0,0.0
2000-10-24,25.35,74.65,26.29,0.0,0.0,0.0
2000-10-31,57.89,42.11,5.59,0.0,0.0,0.0
2000-11-07,74.62,25.38,0.0,0.0,0.0,0.0
2000-11-14,82.42,17.58,0.0,0.0,0.0,0.0
2000-11-21,83.27,16.73,0.0,0.0,0.0,0.0
2000-11-28,83.27,16.73,0.0,0.0,0.0,0.0
2000-12-05,88.07,11.93,0.0,0.0,0.0,0.0
2000-12-12,89.8,10.2,0.0,0.0,0.0,0.0
2000-12-19,94.62,5.38,0.0,0.0,0.0,0.0
2000-12-26,95.57,4.43,0.0,0.0,0.0,0.0
2001-01-02,95.57,4.43,0.0,0.0,0.0,0.0
2001-01-09,96.13,3.87,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,94.78,5.22,0.0,0.0,0.0,0.0
2001-01-30,94.96,5.04,0.0,0.0,0.0,0.0
2001-02-06,94.94,5.06,0.0,0.0,0.0,0.0
2001-02-13,94.49,5.51,0.92,0.0,0.0,0.0
2001-02-20,94.61,5.39,0.93,0.0,0.0,0.0
2001-02-27,93.09,6.91,1.06,0.0,0.0,0.0
2001-03-06,93.09,6.91,1.06,0.0,0.0,0.0
2001-03-13,90.85,9.15,1.06,0.0,0.0,0.0
2001-03-20,86.29,13.71,1.74,0.0,0.0,0.0
2001-03-27,86.29,13.71,1.74,0.0,0.0,0.0
2001-04-03,83.42,16.58,3.65,0.0,0.0,0.0
2001-04-10,85.48,14.52,3.86,0.0,0.0,0.0
