Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,59.69,40.31,0.0,0.0,0.0,0.0
2000-01-11,20.1,79.9,0.0,0.0,0.0,0.0
2000-01-18,20.63,79.37,0.0,0.0,0.0,0.0
2000-01-25,33.24,66.76,0.0,0.0,0.0,0.0
2000-02-01,41.94,58.06,0.0,0.0,0.0,0.0
2000-02-08,47.35,52.65,0.0,0.0,0.0,0.0
2000-02-15,47.74,52.26,0.0,0.0,0.0,0.0
2000-02-22,78.37,21.63,0.0,0.0,0.0,0.0
2000-02-29,82.68,17.32,0.0,0.0,0.0,0.0
2000-03-07,88.8,11.2,0.0,0.0,0.0,0.0
2000-03-14,98.62,1.38,0.0,0.0,0.0,0.0
2000-03-21,98.62,1.38,0.0,0.0,0.0,0.0
2000-03-28,98.54,1.46,0.0,0.0,0.0,0.0
2000-04-04,98.22,1.78,0.0,0.0,0.0,0.0
2000-04-11,98.22,1.78,0.0,0.0,0.0,0.0
2000-04-18,97.79,2.21,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,99.67,0.33,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,86.38,13.62,0.0,0.0,0.0,0.0
2000-07-25,72.92,27.08,0.0,0.0,0.0,0.0
2000-08-01,66.07,33.93,0.0,0.0,0.0,0.0
2000-08-08,59.21,40.79,0.0,0.0,0.0,0.0
2000-08-15,51.23,48.77,0.38,0.0,0.0,0.0
2000-08-22,51.23,48.77,2.38,0.0,0.0,0.0
2000-08-29,52.34,47.66,4.12,0.0,0.0,0.0
2000-09-05,74.23,25.77,1.47,0.0,0.0,0.0
2000-09-12,74.23,25.77,1.47,0.0,0.0,0.0
2000-09-19,74.23,25.77,1.47,0.0,0.0,0.0
2000-09-26,73.9,26.1,1.43,0.0,0.0,0.0
2000-10-03,73.9,26.1,1.43,0.0,0.0,0.0
2000-10-10,73.9,26.1,1.43,0.0,0.0,0.0
2000-10-17,79.61,20.39,2.31,0.0,0.0,0.0
2000-10-24,69.19,30.81,1.47,0.0,0.0,0.0
2000-10-31,82.86,17.14,0.0,0.0,0.0,0.0
2000-11-07,84.28,15.72,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,80.46,19.54,0.0,0.0,0.0,0.0
2001-01-09,64.8,35.2,0.0,0.0,0.0,0.0
2001-01-16,83.12,16.88,0.0,0.0,0.0,0.0
2001-01-23,68.01,31.99,0.0,0.0,0.0,0.0
2001-01-30,71.75,28.25,0.0,0.0,0.0,0.0
2001-02-06,61.04,38.96,0.0,0.0,0.0,0.0
2001-02-13,61.0,39.0,4.82,0.0,0.0,0.0
2001-02-20,64.57,35.43,4.56,0.0,0.0,0.0
2001-02-27,65.54,34.46,5.28,0.0,0.0,0.0
2001-03-06,65.54,34.46,5.61,0.0,0.0,0.0
2001-03-13,65.54,34.46,5.61,0.0,0.0,0.0
2001-03-20,65.28,34.72,7.57,2.53,0.0,0.0
2001-03-27,65.28,34.72,7.57,2.53,0.0,0.0
2001-04-03,60.35,39.65,15.29,4.7,2.26,0.0
2001-04-10,63.69,36.31,23.2,4.7,2.26,0.0
2001-04-17,58.94,41.06,24.21,4.7,2.26,0.0
2001-04-24,58.94,41.06,24.21,4.7,2.26,0.0
2001-05-01,58.94,41.06,24.21,4.7,2.26,0.0
2001-05-08,58.94,41.06,24.21,4.7,1.79,0.0
2001-05-15,54.46,45.54,26.18,4.71,1.85,0.0
2001-05-22,54.46,45.54,26.18,4.71,1.85,0.0
2001-05-29,54.46,45.54,26.18,8.05,1.82,0.0
2001-06-05,35.59,64.41,35.93,9.85,1.85,0.0
2001-06-12,35.53,64.47,39.77,10.99,1.85,0.0
2001-06-19,32.7,67.3,41.64,21.69,2.36,0.0
2001-06-26,31.76,68.24,47.97,34.96,2.8,0.0
2001-07-03,25.21,74.79,47.97,39.91,24.01,0.0
2001-07-10,37.01,62.99,47.13,33.94,24.07,0.0
2001-07-17,36.92,63.08,47.45,36.64,24.07,0.0
2001-07-24,36.09,63.91,47.45,36.64,24.07,0.0
2001-07-31,36.09,63.91,47.45,36.64,24.07,0.0
2001-08-07,36.09,63.91,47.45,36.64,23.83,0.0
2001-08-14,36.08,63.92,47.45,36.64,24.55,0.0
2001-08-21,35.23,64.77,50.77,40.2,27.97,0.0
2001-08-28,33.21,66.79,53.57,42.14,29.75,0.0
2001-09-04,33.21,66.79,53.57,42.14,29.75,0.0
2001-09-11,20.53,79.47,64.82,45.52,30.15,0.0
2001-09-18,20.53,79.47,64.82,45.52,30.15,0.0
2001-09-25,20.53,79.47,64.82,45.52,30.15,0.0
2001-10-02,20.53,79.47,64.82,45.51,30.15,0.0
2001-10-09,20.53,79.47,64.82,45.52,30.15,0.0
2001-10-16,17.69,82.31,64.82,45.52,30.15,0.0
2001-10-23,17.69,82.31,64.82,45.52,30.15,0.0
2001-10-30,17.7,82.3,64.82,44.96,29.69,0.0
2001-11-06,17.7,82.3,64.82,44.96,29.69,0.0
2001-11-13,17.7,82.3,64.82,44.96,29.69,0.0
2001-11-20,17.7,82.3,64.82,43.3,29.69,0.0
2001-11-27,25.19,74.81,61.17,43.3,29.28,0.0
2001-12-04,28.26,71.74,54.4,35.67,20.52,0.0
2001-12-11,29.91,70.09,51.91,34.81,19.68,0.0
