Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,5.26,94.74,54.85,12.48,0.0,0.0
2000-01-11,5.23,94.77,69.85,17.24,0.0,0.0
2000-01-18,0.0,100.0,69.85,24.33,0.0,0.0
2000-01-25,0.0,100.0,66.42,20.56,0.0,0.0
2000-02-01,0.13,99.87,64.7,21.47,0.0,0.0
2000-02-08,0.13,99.87,67.98,31.06,0.0,0.0
2000-02-15,1.01,98.99,67.98,31.06,0.0,0.0
2000-02-22,2.27,97.73,65.68,29.88,0.0,0.0
2000-02-29,12.23,87.77,70.46,23.72,0.0,0.0
2000-03-07,12.62,87.38,76.49,35.35,0.0,0.0
2000-03-14,13.2,86.8,76.41,44.61,0.0,0.0
2000-03-21,13.89,86.11,68.78,36.73,0.0,0.0
2000-03-28,11.74,88.26,60.89,21.73,0.0,0.0
2000-04-04,0.42,99.58,38.85,19.73,0.0,0.0
2000-04-11,27.75,72.25,37.74,15.85,0.0,0.0
2000-04-18,23.75,76.25,36.9,16.27,0.0,0.0
2000-04-25,27.99,72.01,33.26,15.43,4.26,0.0
2000-05-02,27.99,72.01,37.64,19.94,6.44,0.0
2000-05-09,31.0,69.0,32.8,16.81,6.44,0.0
2000-05-16,25.69,74.31,33.96,16.78,8.24,0.0
2000-05-23,25.15,74.85,34.06,16.79,8.24,0.0
2000-05-30,43.65,56.35,26.14,16.51,8.58,3.9
2000-06-06,44.49,55.51,28.01,17.25,8.52,4.44
2000-06-13,42.77,57.23,33.74,19.69,8.99,4.84
2000-06-20,47.62,52.38,31.01,18.14,8.71,4.84
2000-06-27,46.41,53.59,37.72,18.89,8.47,4.84
2000-07-04,53.77,46.23,32.2,16.03,7.36,0.0
2000-07-11,40.09,59.91,39.62,18.19,8.29,0.0
2000-07-18,19.34,80.66,55.15,25.18,12.36,2.46
2000-07-25,18.81,81.19,61.07,32.83,17.18,6.2
2000-08-01,19.04,80.96,59.8,32.31,16.0,6.2
2000-08-08,18.11,81.89,58.11,32.0,14.83,6.2
2000-08-15,12.77,87.23,63.76,35.23,15.04,4.0
2000-08-22,11.94,88.06,67.91,43.55,22.0,7.15
2000-08-29,9.45,90.55,72.46,48.88,33.18,7.63
