Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,93.27,6.73,0.0,0.0,0.0,0.0
2000-01-11,79.98,20.02,0.0,0.0,0.0,0.0
2000-01-18,79.54,20.46,0.0,0.0,0.0,0.0
2000-01-25,88.92,11.08,0.0,0.0,0.0,0.0
2000-02-01,92.33,7.67,0.0,0.0,0.0,0.0
2000-02-08,92.33,7.67,0.0,0.0,0.0,0.0
2000-02-15,92.32,7.68,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,91.98,8.02,0.0,0.0,0.0,0.0
2000-03-07,90.66,9.34,0.0,0.0,0.0,0.0
2000-03-14,86.14,13.86,0.0,0.0,0.0,0.0
2000-03-21,82.26,17.74,0.0,0.0,0.0,0.0
2000-03-28,87.65,12.35,0.0,0.0,0.0,0.0
2000-04-04,81.56,18.44,0.0,0.0,0.0,0.0
2000-04-11,84.78,15.22,0.0,0.0,0.0,0.0
2000-04-18,90.27,9.73,0.0,0.0,0.0,0.0
2000-04-25,88.49,11.51,0.0,0.0,0.0,0.0
2000-05-02,88.49,11.51,0.0,0.0,0.0,0.0
2000-05-09,87.83,12.17,0.0,0.0,0.0,0.0
2000-05-16,87.83,12.17,0.0,0.0,0.0,0.0
2000-05-23,88.37,11.63,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,99.87,0.13,0.0,0.0,0.0,0.0
2000-06-20,99.89,0.11,0.0,0.0,0.0,0.0
2000-06-27,96.39,3.61,0.03,0.0,0.0,0.0
2000-07-04,99.96,0.04,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,99.86,0.14,0.0,0.0,0.0,0.0
2000-10-24,91.81,8.19,0.0,0.0,0.0,0.0
2000-10-31,61.48,38.52,0.53,0.0,0.0,0.0
2000-11-07,21.36,78.64,1.87,0.0,0.0,0.0
2000-11-14,68.61,31.39,1.87,0.0,0.0,0.0
2000-11-21,70.23,29.77,0.34,0.0,0.0,0.0
2000-11-28,76.3,23.7,0.43,0.0,0.0,0.0
2000-12-05,73.57,26.43,1.21,0.0,0.0,0.0
2000-12-12,65.88,34.12,1.23,0.0,0.0,0.0
2000-12-19,97.14,2.86,0.05,0.0,0.0,0.0
2000-12-26,97.6,2.4,0.05,0.0,0.0,0.0
2001-01-02,97.6,2.4,0.05,0.0,0.0,0.0
2001-01-09,97.6,2.4,0.05,0.0,0.0,0.0
2001-01-16,96.92,3.08,0.05,0.0,0.0,0.0
2001-01-23,74.1,25.9,0.0,0.0,0.0,0.0
2001-01-30,72.12,27.88,0.0,0.0,0.0,0.0
2001-02-06,82.38,17.62,0.0,0.0,0.0,0.0
2001-02-13,81.78,18.22,0.88,0.0,0.0,0.0
2001-02-20,82.94,17.06,0.1,0.0,0.0,0.0
2001-02-27,81.83,18.17,0.1,0.0,0.0,0.0
2001-03-06,85.63,14.37,0.1,0.0,0.0,0.0
2001-03-13,84.97,15.03,0.1,0.0,0.0,0.0
2001-03-20,73.63,26.37,0.13,0.0,0.0,0.0
2001-03-27,79.29,20.71,0.05,0.0,0.0,0.0
2001-04-03,91.76,8.24,0.0,0.0,0.0,0.0
2001-04-10,96.44,3.56,0.0,0.0,0.0,0.0
2001-04-17,96.44,3.56,0.0,0.0,0.0,0.0
2001-04-24,92.69,7.31,0.0,0.0,0.0,0.0
2001-05-01,93.7,6.3,0.02,0.0,0.0,0.0
2001-05-08,0.0,100.0,6.05,0.19,0.0,0.0
2001-05-15,0.0,100.0,66.65,1.42,0.0,0.0
2001-05-22,0.0,100.0,69.32,0.0,0.0,0.0
2001-05-29,29.39,70.61,31.7,0.0,0.0,0.0
2001-06-05,63.05,36.95,9.89,0.0,0.0,0.0
2001-06-12,70.17,29.83,9.89,0.0,0.0,0.0
2001-06-19,84.36,15.64,3.91,0.0,0.0,0.0
2001-06-26,94.25,5.75,0.0,0.0,0.0,0.0
2001-07-03,94.25,5.75,0.0,0.0,0.0,0.0
2001-07-10,95.18,4.82,0.0,0.0,0.0,0.0
2001-07-17,86.37,13.63,0.0,0.0,0.0,0.0
2001-07-24,69.06,30.94,0.04,0.0,0.0,0.0
2001-07-31,75.69,24.31,0.02,0.0,0.0,0.0
2001-08-07,61.45,38.55,0.64,0.0,0.0,0.0
2001-08-14,71.65,28.35,8.97,0.4,0.0,0.0
2001-08-21,87.08,12.92,1.23,0.25,0.0,0.0
2001-08-28,70.37,29.63,4.97,0.07,0.0,0.0
2001-09-04,62.65,37.35,0.17,0.0,0.0,0.0
2001-09-11,56.2,43.8,6.86,0.0,0.0,0.0
2001-09-18,49.05,50.95,10.43,0.0,0.0,0.0
2001-09-25,69.01,30.99,4.04,0.0,0.0,0.0
2001-10-02,70.95,29.05,3.64,0.0,0.0,0.0
2001-10-09,60.13,39.87,4.52,0.0,0.0,0.0
2001-10-16,61.2,38.8,5.19,0.0,0.0,0.0
2001-10-23,22.11,77.89,5.19,0.0,0.0,0.0
2001-10-30,21.75,78.25,45.62,0.0,0.0,0.0
2001-11-06,19.98,80.02,52.38,0.26,0.0,0.0
2001-11-13,13.57,86.43,54.3,0.34,0.0,0.0
2001-11-20,13.57,86.43,69.59,0.67,0.0,0.0
2001-11-27,12.65,87.35,66.14,0.67,0.0,0.0
2001-12-04,12.65,87.35,65.91,19.24,0.0,0.0
2001-12-11,12.65,87.35,64.59,3.68,0.0,0.0
2001-12-18,12.65,87.35,62.55,25.2,0.0,0.0
2001-12-25,12.7,87.3,62.55,20.82,0.0,0.0
2002-01-01,12.85,87.15,63.87,21.46,0.0,0.0
2002-01-08,16.6,83.4,63.26,22.13,0.0,0.0
2002-01-15,17.34,82.66,63.0,20.78,0.0,0.0
2002-01-22,17.83,82.17,62.19,17.45,0.0,0.0
2002-01-29,0.53,99.47,69.61,33.86,0.0,0.0
2002-02-05,0.99,99.01,70.4,38.19,0.0,0.0
2002-02-12,0.97,99.03,80.52,64.28,0.0,0.0
2002-02-19,0.99,99.01,81.27,69.53,22.18,0.0
2002-02-26,1.08,98.92,82.64,71.64,25.97,0.0
2002-03-05,0.72,99.28,83.73,72.4,25.99,0.0
2002-03-12,0.72,99.28,82.56,72.58,45.87,0.0
2002-03-19,0.8,99.2,83.11,73.42,43.44,0.0
2002-03-26,0.79,99.21,83.97,72.83,43.52,0.0
2002-04-02,5.74,94.26,81.11,67.99,35.86,0.0
2002-04-09,5.51,94.49,81.49,69.14,39.61,0.0
2002-04-16,16.03,83.97,76.35,66.41,34.52,0.0
2002-04-23,15.16,84.84,71.04,54.06,29.42,0.0
2002-04-30,22.58,77.42,61.5,48.48,17.96,0.0
2002-05-07,22.44,77.56,62.07,49.18,11.43,0.0
2002-05-14,35.16,64.84,52.47,43.85,1.02,0.0
2002-05-21,36.0,64.0,45.63,26.99,1.04,0.0
2002-05-28,44.24,55.76,40.9,23.25,0.53,0.0
2002-06-04,45.22,54.78,39.59,22.03,1.98,0.0
2002-06-11,42.66,57.34,40.8,21.52,3.78,0.0
2002-06-18,46.88,53.12,37.12,19.34,4.38,0.0
2002-06-25,45.16,54.84,41.39,22.15,6.22,0.0
2002-07-02,46.15,53.85,40.44,21.62,6.46,0.0
2002-07-09,32.18,67.82,46.17,24.8,6.61,0.0
2002-07-16,29.04,70.96,44.84,24.46,6.09,0.0
2002-07-23,0.04,99.96,50.86,34.7,14.15,0.0
2002-07-30,5.99,94.01,51.5,33.27,15.78,0.11
2002-08-06,10.9,89.1,53.18,40.4,19.79,2.49
2002-08-13,8.91,91.09,54.01,41.42,21.09,2.33
2002-08-20,8.62,91.38,58.82,49.46,36.46,14.77
2002-08-27,25.76,74.24,58.47,48.74,35.63,13.52
2002-09-03,10.03,89.97,66.36,43.46,10.0,0.0
2002-09-10,0.0,100.0,82.06,52.24,13.03,0.0
