Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,48.61,51.39,16.09,8.37,0.0,0.0
2000-01-11,49.33,50.67,18.83,10.85,0.0,0.0
2000-01-18,43.11,56.89,24.3,10.85,0.0,0.0
2000-01-25,30.98,69.02,24.77,10.85,0.0,0.0
2000-02-01,41.95,58.05,28.31,12.5,0.0,0.0
2000-02-08,41.95,58.05,28.31,12.5,0.0,0.0
2000-02-15,41.95,58.05,28.31,12.5,0.0,0.0
2000-02-22,41.95,58.05,27.88,12.5,0.0,0.0
2000-02-29,43.58,56.42,24.5,12.5,0.0,0.0
2000-03-07,43.58,56.42,20.93,12.5,0.0,0.0
2000-03-14,55.61,44.39,19.65,12.64,0.0,0.0
2000-03-21,56.89,43.11,19.11,12.64,0.0,0.0
2000-03-28,56.63,43.37,17.8,11.72,0.0,0.0
2000-04-04,48.61,51.39,20.21,15.55,0.0,0.0
2000-04-11,42.05,57.95,22.73,13.6,0.0,0.0
2000-04-18,33.59,66.41,22.36,14.98,0.0,0.0
2000-04-25,42.14,57.86,22.27,13.96,0.0,0.0
2000-05-02,43.24,56.76,23.51,15.97,0.0,0.0
2000-05-09,42.17,57.83,23.15,15.72,0.0,0.0
2000-05-16,43.45,56.55,26.6,15.96,0.0,0.0
2000-05-23,45.33,54.67,28.32,16.08,1.78,0.0
2000-05-30,50.68,49.32,30.34,11.05,0.95,0.0
2000-06-06,53.44,46.56,24.71,11.7,3.22,0.0
2000-06-13,46.23,53.77,28.45,14.47,4.18,0.0
2000-06-20,44.39,55.61,28.78,15.7,2.17,0.0
2000-06-27,42.1,57.9,31.06,13.36,0.0,0.0
2000-07-04,37.53,62.47,32.75,10.44,1.49,0.0
2000-07-11,39.13,60.87,32.13,6.7,1.49,0.0
2000-07-18,39.63,60.37,31.02,6.34,1.28,0.0
2000-07-25,41.0,59.0,27.19,5.51,1.0,0.0
2000-08-01,43.6,56.4,27.48,11.13,1.0,0.0
2000-08-08,48.37,51.63,26.34,12.32,1.0,0.0
2000-08-15,45.6,54.4,28.78,16.09,1.31,0.0
2000-08-22,47.19,52.81,28.5,16.1,1.31,0.0
2000-08-29,37.95,62.05,33.33,16.48,2.25,0.0
2000-09-05,29.23,70.77,38.5,17.55,2.25,0.0
2000-09-12,26.39,73.61,42.42,22.4,3.33,0.0
2000-09-19,23.07,76.93,48.46,30.78,4.19,0.0
2000-09-26,22.94,77.06,42.06,28.36,2.95,0.0
2000-10-03,24.09,75.91,42.34,28.46,3.49,0.0
2000-10-10,28.89,71.11,41.37,27.45,3.31,0.0
2000-10-17,19.81,80.19,48.03,26.15,3.55,0.0
2000-10-24,12.64,87.36,53.51,26.33,4.9,0.0
2000-10-31,12.32,87.68,55.12,17.48,2.51,0.0
2000-11-07,32.55,67.45,27.09,10.98,0.79,0.0
2000-11-14,38.86,61.14,22.82,9.13,0.47,0.0
2000-11-21,39.27,60.73,23.76,8.8,0.47,0.0
2000-11-28,39.2,60.8,23.76,8.8,0.47,0.0
2000-12-05,42.41,57.59,23.76,8.3,0.47,0.0
2000-12-12,43.77,56.23,23.76,8.7,0.47,0.0
2000-12-19,44.52,55.48,22.89,9.1,0.47,0.0
2000-12-26,48.37,51.63,21.27,9.55,0.47,0.0
2001-01-02,48.37,51.63,21.38,9.55,0.45,0.0
2001-01-09,49.91,50.09,21.54,9.55,0.45,0.0
2001-01-16,49.91,50.09,21.54,7.1,0.45,0.0
2001-01-23,32.25,67.75,22.64,8.47,0.45,0.0
2001-01-30,45.58,54.42,19.46,7.48,0.0,0.0
2001-02-06,47.96,52.04,19.46,7.48,0.0,0.0
2001-02-13,52.45,47.55,28.63,6.8,0.0,0.0
2001-02-20,52.3,47.7,28.13,6.8,0.0,0.0
2001-02-27,56.44,43.56,27.72,6.8,0.0,0.0
2001-03-06,56.88,43.12,27.65,6.8,0.0,0.0
2001-03-13,54.8,45.2,27.15,15.8,0.0,0.0
2001-03-20,55.62,44.38,27.36,15.8,0.0,0.0
2001-03-27,55.62,44.38,27.36,15.8,0.0,0.0
2001-04-03,56.06,43.94,20.83,14.56,0.0,0.0
2001-04-10,59.16,40.84,20.82,14.56,0.0,0.0
2001-04-17,64.9,35.1,20.82,14.56,0.0,0.0
2001-04-24,67.71,32.29,20.82,14.56,0.0,0.0
2001-05-01,65.83,34.17,21.87,14.56,0.0,0.0
2001-05-08,66.55,33.45,21.97,14.56,0.0,0.0
2001-05-15,63.42,36.58,24.47,15.5,3.66,0.0
2001-05-22,65.87,34.13,24.26,15.5,3.66,0.0
2001-05-29,65.87,34.13,24.26,15.5,3.63,0.0
2001-06-05,68.52,31.48,22.91,15.5,3.32,0.0
2001-06-12,68.05,31.95,23.52,15.87,3.32,0.0
2001-06-19,68.77,31.23,19.72,9.13,2.41,0.0
2001-06-26,64.04,35.96,21.16,9.9,2.41,0.0
2001-07-03,56.33,43.67,24.93,13.93,3.0,0.0
2001-07-10,59.22,40.78,24.66,13.93,2.54,0.0
2001-07-17,60.97,39.03,23.02,12.9,2.72,0.0
2001-07-24,61.88,38.12,22.37,11.84,2.72,0.0
2001-07-31,64.08,35.92,23.06,12.7,4.52,0.0
2001-08-07,62.28,37.72,21.26,11.45,4.14,0.0
2001-08-14,62.07,37.93,23.08,13.54,3.56,0.0
2001-08-21,61.36,38.64,26.45,19.05,10.0,0.0
2001-08-28,58.13,41.87,26.89,22.86,16.28,0.0
2001-09-04,40.91,59.09,29.72,24.36,17.58,0.0
2001-09-11,38.4,61.6,28.86,24.36,13.63,0.0
2001-09-18,54.62,45.38,28.36,24.36,13.63,0.0
2001-09-25,56.92,43.08,28.36,24.36,13.63,0.0
2001-10-02,51.35,48.65,29.1,24.36,15.29,0.0
2001-10-09,47.8,52.2,29.1,24.36,17.42,0.0
2001-10-16,48.84,51.16,29.1,24.36,17.42,0.0
2001-10-23,43.97,56.03,29.1,24.36,17.42,0.0
2001-10-30,42.3,57.7,29.1,24.38,17.42,0.0
2001-11-06,42.22,57.78,29.1,24.38,17.42,0.0
2001-11-13,31.39,68.61,29.98,24.38,17.42,0.0
2001-11-20,31.09,68.91,29.98,24.78,17.42,0.0
2001-11-27,44.25,55.75,29.49,24.41,17.42,0.0
2001-12-04,41.07,58.93,37.24,28.32,15.92,0.0
2001-12-11,40.83,59.17,37.24,28.32,15.92,0.0
2001-12-18,41.6,58.4,37.24,28.32,15.92,0.0
2001-12-25,39.02,60.98,37.58,28.32,15.71,0.0
2002-01-01,36.45,63.55,37.54,28.33,15.88,0.0
2002-01-08,30.63,69.37,39.48,29.62,15.86,0.0
