Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,29.29,70.71,27.31,3.03,0.0,0.0
2000-01-11,24.43,75.57,30.32,3.03,0.0,0.0
2000-01-18,24.41,75.59,30.97,3.03,0.0,0.0
2000-01-25,16.4,83.6,31.85,3.03,0.0,0.0
2000-02-01,16.38,83.62,53.7,2.79,0.0,0.0
2000-02-08,16.38,83.62,53.7,2.73,0.0,0.0
2000-02-15,16.38,83.62,53.7,2.61,0.0,0.0
2000-02-22,16.45,83.55,52.35,2.61,0.0,0.0
2000-02-29,12.57,87.43,53.18,11.36,0.0,0.0
2000-03-07,12.57,87.43,54.84,11.36,0.0,0.0
2000-03-14,19.16,80.84,45.21,13.34,0.0,0.0
2000-03-21,17.51,82.49,45.2,13.34,0.0,0.0
2000-03-28,18.02,81.98,45.2,13.34,0.0,0.0
2000-04-04,14.58,85.42,50.13,22.53,0.0,0.0
2000-04-11,16.85,83.15,55.31,22.5,0.0,0.0
2000-04-18,16.18,83.82,57.91,23.56,0.0,0.0
2000-04-25,19.69,80.31,45.27,16.99,0.0,0.0
2000-05-02,15.8,84.2,44.49,17.18,0.0,0.0
2000-05-09,15.76,84.24,44.1,13.71,0.0,0.0
2000-05-16,7.56,92.44,53.46,19.23,0.0,0.0
2000-05-23,48.81,51.19,23.47,11.7,0.0,0.0
2000-05-30,58.01,41.99,17.14,8.22,0.0,0.0
2000-06-06,66.73,33.27,13.23,6.7,0.0,0.0
2000-06-13,60.28,39.72,18.55,7.02,0.31,0.0
2000-06-20,73.0,27.0,13.71,6.51,0.0,0.0
2000-06-27,80.57,19.43,5.52,1.47,0.0,0.0
2000-07-04,94.56,5.44,2.46,0.57,0.0,0.0
2000-07-11,95.79,4.21,2.36,0.0,0.0,0.0
2000-07-18,92.98,7.02,0.9,0.0,0.0,0.0
2000-07-25,92.17,7.83,0.9,0.0,0.0,0.0
2000-08-01,94.76,5.24,0.36,0.0,0.0,0.0
2000-08-08,95.6,4.4,0.22,0.0,0.0,0.0
2000-08-15,96.57,3.43,0.08,0.0,0.0,0.0
2000-08-22,95.43,4.57,1.62,0.0,0.0,0.0
2000-08-29,95.44,4.56,1.56,0.0,0.0,0.0
2000-09-05,90.25,9.75,1.33,0.0,0.0,0.0
2000-09-12,90.31,9.69,1.34,0.0,0.0,0.0
2000-09-19,78.0,22.0,5.5,0.28,0.0,0.0
2000-09-26,82.68,17.32,1.75,0.41,0.0,0.0
2000-10-03,76.1,23.9,4.13,0.41,0.0,0.0
2000-10-10,76.73,23.27,5.62,0.41,0.0,0.0
2000-10-17,73.25,26.75,9.25,1.89,0.0,0.0
2000-10-24,52.79,47.21,14.22,2.04,0.4,0.0
2000-10-31,48.61,51.39,12.6,0.95,0.16,0.0
2000-11-07,70.75,29.25,5.32,0.27,0.0,0.0
2000-11-14,86.08,13.92,4.33,0.05,0.0,0.0
2000-11-21,88.77,11.23,3.55,0.03,0.0,0.0
2000-11-28,86.8,13.2,3.55,0.03,0.0,0.0
2000-12-05,86.82,13.18,4.02,0.08,0.0,0.0
2000-12-12,86.98,13.02,4.02,0.1,0.0,0.0
2000-12-19,86.98,13.02,3.07,0.04,0.0,0.0
2000-12-26,89.89,10.11,1.22,0.01,0.0,0.0
2001-01-02,91.65,8.35,1.43,0.01,0.0,0.0
2001-01-09,90.97,9.03,1.43,0.01,0.0,0.0
