Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,99.29,0.71,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,77.4,22.6,0.0,0.0,0.0,0.0
2000-10-10,83.61,16.39,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,94.64,5.36,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,95.49,4.51,0.0,0.0,0.0,0.0
2001-01-30,96.36,3.64,0.0,0.0,0.0,0.0
2001-02-06,98.05,1.95,0.0,0.0,0.0,0.0
2001-02-13,98.05,1.95,0.0,0.0,0.0,0.0
2001-02-20,99.42,0.58,0.0,0.0,0.0,0.0
2001-02-27,97.75,2.25,0.0,0.0,0.0,0.0
2001-03-06,98.31,1.69,0.0,0.0,0.0,0.0
2001-03-13,98.31,1.69,0.0,0.0,0.0,0.0
2001-03-20,98.46,1.54,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,99.44,0.56,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,23.7,76.3,0.0,0.0,0.0,0.0
2001-05-15,19.63,80.37,0.2,0.0,0.0,0.0
2001-05-22,15.34,84.66,38.71,0.0,0.0,0.0
2001-05-29,0.0,100.0,25.4,0.0,0.0,0.0
2001-06-05,58.14,41.86,1.22,0.0,0.0,0.0
2001-06-12,66.0,34.0,1.22,0.0,0.0,0.0
2001-06-19,67.6,32.4,4.21,0.0,0.0,0.0
2001-06-26,68.47,31.53,3.29,0.0,0.0,0.0
2001-07-03,54.66,45.34,3.29,0.0,0.0,0.0
2001-07-10,52.39,47.61,3.29,0.0,0.0,0.0
2001-07-17,65.55,34.45,2.4,0.0,0.0,0.0
2001-07-24,70.8,29.2,6.37,0.0,0.0,0.0
2001-07-31,42.94,57.06,7.79,0.0,0.0,0.0
2001-08-07,24.89,75.11,19.7,0.0,0.0,0.0
2001-08-14,17.96,82.04,36.59,6.23,0.0,0.0
2001-08-21,13.46,86.54,43.02,5.93,0.0,0.0
2001-08-28,10.31,89.69,52.35,21.76,0.0,0.0
2001-09-04,19.56,80.44,41.84,17.39,0.0,0.0
2001-09-11,13.91,86.09,51.45,20.03,0.0,0.0
2001-09-18,5.46,94.54,48.62,20.03,0.0,0.0
2001-09-25,32.57,67.43,44.9,19.04,0.0,0.0
2001-10-02,43.55,56.45,30.96,3.68,0.0,0.0
2001-10-09,34.1,65.9,38.74,3.68,0.0,0.0
2001-10-16,34.63,65.37,38.24,3.71,0.0,0.0
2001-10-23,13.25,86.75,46.32,4.35,0.0,0.0
2001-10-30,16.39,83.61,51.81,16.63,0.0,0.0
2001-11-06,15.4,84.6,65.33,23.36,0.0,0.0
2001-11-13,15.33,84.67,65.33,23.36,0.0,0.0
2001-11-20,15.33,84.67,71.58,31.53,0.0,0.0
2001-11-27,15.52,84.48,73.7,31.53,0.0,0.0
2001-12-04,15.52,84.48,69.69,31.53,0.0,0.0
2001-12-11,15.52,84.48,69.72,31.53,0.0,0.0
2001-12-18,15.52,84.48,67.61,43.17,18.68,0.0
2001-12-25,20.44,79.56,67.61,40.59,18.68,0.0
2002-01-01,20.36,79.64,67.46,41.07,18.41,0.0
2002-01-08,22.05,77.95,67.43,50.12,19.4,0.0
2002-01-15,22.08,77.92,69.15,48.76,11.51,0.0
2002-01-22,22.69,77.31,67.29,48.39,10.98,0.0
2002-01-29,14.94,85.06,69.43,49.83,11.5,0.0
