Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,99.27,0.73,0.0,0.0,0.0,0.0
2000-01-11,97.12,2.88,0.0,0.0,0.0,0.0
2000-01-18,97.94,2.06,0.0,0.0,0.0,0.0
2000-01-25,94.03,5.97,0.0,0.0,0.0,0.0
2000-02-01,99.38,0.62,0.0,0.0,0.0,0.0
2000-02-08,99.44,0.56,0.0,0.0,0.0,0.0
2000-02-15,99.44,0.56,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,98.55,1.45,0.0,0.0,0.0,0.0
2000-04-11,97.38,2.62,0.0,0.0,0.0,0.0
2000-04-18,96.48,3.52,0.0,0.0,0.0,0.0
2000-04-25,97.75,2.25,0.0,0.0,0.0,0.0
2000-05-02,97.75,2.25,0.0,0.0,0.0,0.0
2000-05-09,96.86,3.14,0.0,0.0,0.0,0.0
2000-05-16,96.86,3.14,0.11,0.0,0.0,0.0
2000-05-23,97.47,2.53,0.01,0.0,0.0,0.0
2000-05-30,98.11,1.89,0.01,0.0,0.0,0.0
2000-06-06,95.63,4.37,1.46,0.0,0.0,0.0
2000-06-13,95.67,4.33,1.45,0.0,0.0,0.0
2000-06-20,95.43,4.57,1.45,0.0,0.0,0.0
2000-06-27,85.61,14.39,1.62,0.0,0.0,0.0
2000-07-04,69.79,30.21,4.25,0.0,0.0,0.0
2000-07-11,69.71,30.29,11.78,0.0,0.0,0.0
2000-07-18,60.78,39.22,17.37,0.0,0.0,0.0
2000-07-25,61.83,38.17,17.37,0.0,0.0,0.0
2000-08-01,59.95,40.05,18.86,0.0,0.0,0.0
2000-08-08,39.77,60.23,20.23,0.96,0.0,0.0
2000-08-15,39.77,60.23,21.51,4.76,0.0,0.0
2000-08-22,39.77,60.23,26.72,7.42,0.0,0.0
2000-08-29,35.52,64.48,32.15,8.0,0.39,0.0
2000-09-05,46.06,53.94,21.58,7.68,0.39,0.0
2000-09-12,61.47,38.53,21.58,7.68,0.39,0.0
2000-09-19,61.47,38.53,21.58,7.28,0.39,0.0
2000-09-26,61.47,38.53,23.7,7.31,0.76,0.0
2000-10-03,63.84,36.16,23.69,7.3,0.76,0.0
2000-10-10,65.61,34.39,22.94,6.49,0.76,0.0
2000-10-17,69.52,30.48,22.13,1.34,0.0,0.0
2000-10-24,74.82,25.18,13.0,1.72,0.0,0.0
2000-10-31,81.54,18.46,3.26,0.07,0.0,0.0
2000-11-07,84.93,15.07,1.05,0.01,0.0,0.0
2000-11-14,89.05,10.95,1.16,0.07,0.0,0.0
2000-11-21,88.89,11.11,1.19,0.0,0.0,0.0
2000-11-28,88.89,11.11,1.19,0.0,0.0,0.0
2000-12-05,91.38,8.62,1.5,0.0,0.0,0.0
2000-12-12,92.29,7.71,1.5,0.0,0.0,0.0
2000-12-19,95.54,4.46,1.5,0.0,0.0,0.0
2000-12-26,95.69,4.31,2.19,0.42,0.0,0.0
2001-01-02,95.69,4.31,2.19,0.42,0.0,0.0
2001-01-09,82.73,17.27,2.19,0.42,0.0,0.0
2001-01-16,82.86,17.14,2.19,0.42,0.0,0.0
2001-01-23,15.17,84.83,2.19,0.42,0.0,0.0
2001-01-30,15.04,84.96,5.12,0.42,0.0,0.0
2001-02-06,15.04,84.96,5.12,0.42,0.0,0.0
2001-02-13,12.52,87.48,86.64,0.18,0.0,0.0
2001-02-20,12.46,87.54,87.12,0.18,0.0,0.0
2001-02-27,0.0,100.0,87.58,0.18,0.0,0.0
2001-03-06,0.0,100.0,93.01,1.52,0.0,0.0
2001-03-13,0.0,100.0,93.01,37.38,0.0,0.0
2001-03-20,0.0,100.0,97.72,42.34,0.0,0.0
2001-03-27,0.0,100.0,97.72,42.34,0.0,0.0
2001-04-03,0.0,100.0,98.12,52.88,0.63,0.0
2001-04-10,0.0,100.0,98.59,52.88,0.63,0.0
