Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,22.38,77.62,64.44,8.06,0.0,0.0
2000-01-11,13.48,86.52,51.65,8.06,0.0,0.0
2000-01-18,13.36,86.64,51.6,8.06,0.0,0.0
2000-01-25,9.59,90.41,47.31,8.06,0.0,0.0
2000-02-01,11.64,88.36,46.61,7.24,0.0,0.0
2000-02-08,11.64,88.36,47.6,9.78,0.0,0.0
2000-02-15,12.69,87.31,47.6,8.29,0.0,0.0
2000-02-22,52.11,47.89,30.35,8.29,0.0,0.0
2000-02-29,58.2,41.8,24.81,7.73,0.0,0.0
2000-03-07,45.2,54.8,29.72,7.73,0.0,0.0
2000-03-14,42.5,57.5,30.12,7.81,0.0,0.0
2000-03-21,42.54,57.46,30.34,7.85,0.0,0.0
2000-03-28,44.15,55.85,24.89,7.85,0.0,0.0
2000-04-04,40.29,59.71,22.78,9.92,0.0,0.0
2000-04-11,65.7,34.3,17.65,8.98,0.0,0.0
2000-04-18,61.92,38.08,20.36,10.53,0.0,0.0
2000-04-25,68.41,31.59,14.32,4.8,0.0,0.0
2000-05-02,68.41,31.59,15.95,6.34,0.0,0.0
2000-05-09,70.69,29.31,13.41,5.16,0.0,0.0
2000-05-16,66.91,33.09,16.32,6.06,0.0,0.0
2000-05-23,70.04,29.96,5.78,0.11,0.0,0.0
2000-05-30,77.19,22.81,3.33,0.0,0.0,0.0
2000-06-06,78.11,21.89,2.25,0.0,0.0,0.0
2000-06-13,47.72,52.28,2.43,0.0,0.0,0.0
2000-06-20,72.18,27.82,0.15,0.0,0.0,0.0
2000-06-27,74.57,25.43,6.07,0.0,0.0,0.0
2000-07-04,78.05,21.95,2.34,0.04,0.0,0.0
2000-07-11,80.59,19.41,3.57,0.04,0.0,0.0
2000-07-18,75.63,24.37,12.03,0.2,0.0,0.0
2000-07-25,77.72,22.28,11.67,2.94,0.08,0.0
2000-08-01,79.62,20.38,11.17,2.94,0.04,0.0
2000-08-08,89.01,10.99,6.04,2.01,0.0,0.0
2000-08-15,89.85,10.15,5.86,2.01,0.0,0.0
2000-08-22,90.07,9.93,5.96,1.88,0.04,0.0
2000-08-29,90.43,9.57,5.96,1.78,0.07,0.0
2000-09-05,91.19,8.81,5.32,1.53,0.0,0.0
2000-09-12,91.08,8.92,5.56,2.5,0.0,0.0
2000-09-19,89.45,10.55,5.56,2.5,0.0,0.0
2000-09-26,94.35,5.65,3.12,0.31,0.0,0.0
2000-10-03,93.72,6.28,3.12,0.31,0.0,0.0
2000-10-10,93.41,6.59,3.66,0.31,0.0,0.0
2000-10-17,78.82,21.18,9.0,3.0,0.0,0.0
2000-10-24,74.2,25.8,10.32,2.22,0.0,0.0
2000-10-31,61.37,38.63,15.31,6.95,0.51,0.0
2000-11-07,61.63,38.37,15.1,7.34,2.67,0.0
2000-11-14,78.18,21.82,11.16,3.84,0.33,0.0
2000-11-21,78.05,21.95,10.95,4.4,0.16,0.0
2000-11-28,54.47,45.53,10.91,4.41,0.15,0.0
2000-12-05,53.1,46.9,16.55,6.24,0.15,0.0
2000-12-12,54.07,45.93,21.66,8.09,0.37,0.0
2000-12-19,74.34,25.66,6.94,2.1,0.08,0.0
