Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,25.35,74.65,43.54,21.14,0.0,0.0
2000-01-11,27.47,72.53,48.65,17.55,0.0,0.0
2000-01-18,27.14,72.86,48.41,17.61,0.0,0.0
2000-01-25,34.86,65.14,47.0,17.46,0.0,0.0
2000-02-01,39.55,60.45,39.88,10.55,0.0,0.0
2000-02-08,39.55,60.45,41.59,10.82,0.0,0.0
2000-02-15,40.26,59.74,41.59,10.82,0.0,0.0
2000-02-22,39.42,60.58,42.48,10.5,0.0,0.0
2000-02-29,23.88,76.12,48.59,20.78,0.0,0.0
2000-03-07,19.82,80.18,51.92,23.26,0.0,0.0
2000-03-14,17.77,82.23,57.08,24.75,0.0,0.0
2000-03-21,17.82,82.18,56.07,26.39,0.0,0.0
2000-03-28,18.75,81.25,53.69,26.5,0.0,0.0
2000-04-04,16.58,83.42,53.24,26.61,0.0,0.0
2000-04-11,26.04,73.96,53.89,26.07,0.0,0.0
2000-04-18,30.3,69.7,56.56,33.57,0.0,0.0
2000-04-25,32.26,67.74,53.81,30.43,0.0,0.0
2000-05-02,32.26,67.74,55.44,33.63,0.0,0.0
2000-05-09,29.74,70.26,58.27,37.75,0.0,0.0
2000-05-16,27.71,72.29,62.54,48.58,11.98,0.0
2000-05-23,20.8,79.2,65.5,49.09,13.99,0.0
2000-05-30,18.29,81.71,72.58,51.91,23.21,0.0
2000-06-06,18.93,81.07,70.95,54.29,25.5,0.0
2000-06-13,17.37,82.63,75.44,62.64,45.53,14.62
2000-06-20,17.83,82.17,76.33,64.46,44.67,15.9
2000-06-27,11.15,88.85,81.13,66.71,47.29,16.13
2000-07-04,13.82,86.18,76.16,63.19,42.74,15.26
2000-07-11,15.14,84.86,79.05,67.46,46.38,19.92
2000-07-18,11.26,88.74,82.21,70.35,52.93,23.59
2000-07-25,16.44,83.56,77.12,66.14,46.59,26.24
2000-08-01,18.87,81.13,74.46,63.54,44.24,24.06
2000-08-08,20.72,79.28,71.31,58.83,39.83,20.75
2000-08-15,22.86,77.14,67.49,56.17,38.06,20.74
2000-08-22,23.9,76.1,65.66,56.03,40.66,23.09
2000-08-29,24.23,75.77,65.47,56.44,41.11,23.56
2000-09-05,25.08,74.92,63.5,54.26,36.72,19.45
2000-09-12,26.92,73.08,63.35,55.66,35.94,13.43
2000-09-19,29.91,70.09,58.88,43.42,31.62,15.41
2000-09-26,34.71,65.29,55.57,34.27,19.57,8.37
2000-10-03,35.6,64.4,55.57,35.74,19.57,8.37
2000-10-10,34.19,65.81,56.25,37.89,19.97,5.42
2000-10-17,23.02,76.98,66.0,44.52,23.54,10.63
2000-10-24,14.91,85.09,66.91,50.68,27.38,11.28
2000-10-31,7.22,92.78,77.58,64.57,47.58,13.07
2000-11-07,5.5,94.5,78.42,64.4,45.96,4.49
2000-11-14,3.11,96.89,78.12,66.01,40.88,3.47
2000-11-21,3.82,96.18,76.27,63.34,17.61,0.0
2000-11-28,9.72,90.28,74.25,59.34,6.63,0.0
2000-12-05,9.72,90.28,75.39,59.2,7.82,1.65
2000-12-12,13.16,86.84,74.89,59.92,9.45,3.02
2000-12-19,16.72,83.28,71.79,50.61,8.41,3.64
2000-12-26,18.37,81.63,70.16,49.37,9.44,4.31
2001-01-02,18.37,81.63,67.58,37.05,9.32,4.01
2001-01-09,18.37,81.63,68.78,36.58,11.81,4.01
2001-01-16,16.99,83.01,68.78,36.58,13.26,4.03
2001-01-23,17.1,82.9,56.68,31.31,10.71,4.19
2001-01-30,7.24,92.76,54.08,31.22,10.71,4.19
2001-02-06,9.16,90.84,59.76,35.69,11.75,4.06
2001-02-13,7.7,92.3,69.35,40.77,17.89,7.43
2001-02-20,6.98,93.02,78.68,45.22,18.07,7.74
2001-02-27,7.72,92.28,78.68,45.35,18.87,8.88
2001-03-06,16.03,83.97,67.77,42.31,18.09,8.58
2001-03-13,14.78,85.22,65.9,33.5,17.49,8.58
2001-03-20,19.27,80.73,63.81,32.44,16.53,8.29
2001-03-27,20.28,79.72,60.07,32.44,16.01,7.79
2001-04-03,22.38,77.62,53.91,25.15,13.81,2.18
2001-04-10,27.81,72.19,52.15,25.15,13.81,2.49
2001-04-17,27.58,72.42,53.26,26.26,15.12,3.24
2001-04-24,27.47,72.53,53.26,27.1,15.12,3.24
2001-05-01,32.68,67.32,52.5,26.65,15.12,3.24
2001-05-08,10.58,89.42,63.11,31.12,19.6,3.24
2001-05-15,10.58,89.42,66.57,40.43,19.68,5.57
2001-05-22,10.81,89.19,65.13,39.07,19.55,5.9
2001-05-29,11.22,88.78,67.57,38.02,18.71,5.87
