Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,14.18,85.82,62.82,44.6,0.0,0.0
2000-01-11,0.01,99.99,63.49,44.61,0.0,0.0
2000-01-18,0.0,100.0,63.49,44.61,0.0,0.0
2000-01-25,0.0,100.0,63.49,44.61,0.0,0.0
2000-02-01,0.56,99.44,71.58,48.48,0.0,0.0
2000-02-08,0.98,99.02,71.58,48.48,0.0,0.0
2000-02-15,0.98,99.02,80.63,48.48,0.0,0.0
2000-02-22,2.12,97.88,81.27,49.66,0.0,0.0
2000-02-29,2.84,97.16,85.47,66.57,0.0,0.0
2000-03-07,2.84,97.16,85.87,66.73,0.0,0.0
2000-03-14,2.9,97.1,86.85,66.73,0.0,0.0
2000-03-21,3.1,96.9,86.76,66.32,0.0,0.0
2000-03-28,8.78,91.22,77.97,47.15,0.0,0.0
2000-04-04,8.75,91.25,72.01,50.32,0.0,0.0
2000-04-11,10.04,89.96,73.29,49.57,0.0,0.0
2000-04-18,9.08,90.92,71.11,47.9,0.0,0.0
2000-04-25,9.81,90.19,70.18,47.97,11.47,0.0
2000-05-02,10.23,89.77,70.2,39.69,11.8,0.0
2000-05-09,10.28,89.72,65.24,39.52,11.8,0.0
2000-05-16,6.59,93.41,73.52,44.6,13.89,0.0
2000-05-23,15.91,84.09,61.69,41.58,15.11,0.0
2000-05-30,17.06,82.94,68.47,47.4,23.36,0.0
2000-06-06,34.09,65.91,51.1,36.66,20.99,0.0
2000-06-13,32.06,67.94,51.1,36.66,20.99,0.0
2000-06-20,32.54,67.46,51.1,34.34,19.61,0.0
2000-06-27,27.06,72.94,52.81,25.17,0.0,0.0
2000-07-04,31.22,68.78,17.05,0.0,0.0,0.0
2000-07-11,23.64,76.36,18.45,1.52,0.0,0.0
2000-07-18,18.62,81.38,23.17,1.52,0.0,0.0
2000-07-25,18.62,81.38,31.37,4.99,0.0,0.0
2000-08-01,17.6,82.4,40.99,8.14,0.0,0.0
2000-08-08,16.57,83.43,43.71,13.65,0.0,0.0
2000-08-15,17.35,82.65,45.9,19.52,0.0,0.0
2000-08-22,21.84,78.16,50.34,20.48,3.0,0.0
2000-08-29,8.87,91.13,62.84,32.72,7.54,0.0
2000-09-05,8.68,91.32,78.78,56.03,15.62,1.93
2000-09-12,8.68,91.32,81.54,69.79,19.24,1.93
2000-09-19,8.68,91.32,81.54,71.15,16.29,1.93
2000-09-26,7.4,92.6,83.86,68.12,13.66,0.0
2000-10-03,1.96,98.04,88.38,69.79,13.66,0.0
2000-10-10,1.96,98.04,85.49,57.23,16.37,0.0
2000-10-17,9.59,90.41,83.11,50.41,12.81,0.0
2000-10-24,9.98,90.02,75.16,21.03,5.87,0.0
2000-10-31,7.94,92.06,75.13,20.89,3.29,0.0
2000-11-07,45.96,54.04,19.76,1.99,0.0,0.0
2000-11-14,44.68,55.32,20.9,2.03,0.0,0.0
2000-11-21,46.76,53.24,17.01,1.43,0.0,0.0
2000-11-28,47.98,52.02,17.01,1.43,0.0,0.0
2000-12-05,53.42,46.58,17.01,1.43,0.0,0.0
2000-12-12,53.42,46.58,17.01,1.43,0.0,0.0
2000-12-19,54.34,45.66,17.67,1.43,0.0,0.0
2000-12-26,55.91,44.09,15.09,1.43,0.0,0.0
2001-01-02,55.91,44.09,15.09,1.43,0.0,0.0
2001-01-09,55.91,44.09,15.09,1.43,0.0,0.0
2001-01-16,55.91,44.09,15.09,1.43,0.0,0.0
2001-01-23,64.84,35.16,14.53,1.69,0.0,0.0
2001-01-30,65.55,34.45,11.35,2.07,0.0,0.0
2001-02-06,67.24,32.76,9.56,2.07,0.0,0.0
2001-02-13,67.24,32.76,9.56,2.07,0.0,0.0
2001-02-20,67.68,32.32,9.56,2.07,0.0,0.0
2001-02-27,67.01,32.99,9.56,2.07,0.0,0.0
2001-03-06,66.78,33.22,10.66,2.07,0.0,0.0
2001-03-13,66.7,33.3,10.66,2.07,0.0,0.0
2001-03-20,66.7,33.3,10.66,2.07,0.0,0.0
2001-03-27,69.15,30.85,10.66,2.07,0.0,0.0
2001-04-03,69.4,30.6,10.66,2.07,0.0,0.0
2001-04-10,68.57,31.43,11.45,2.07,0.0,0.0
2001-04-17,65.69,34.31,11.41,1.7,0.0,0.0
2001-04-24,65.69,34.31,11.41,1.7,0.0,0.0
2001-05-01,64.3,35.7,11.18,1.7,0.0,0.0
2001-05-08,66.86,33.14,11.34,1.7,0.0,0.0
2001-05-15,72.58,27.42,10.86,1.7,0.0,0.0
2001-05-22,72.11,27.89,10.86,2.79,0.0,0.0
2001-05-29,72.11,27.89,10.53,2.79,0.0,0.0
2001-06-05,72.36,27.64,10.53,2.79,0.0,0.0
2001-06-12,64.9,35.1,13.24,3.1,0.0,0.0
2001-06-19,51.8,48.2,20.3,6.21,0.0,0.0
2001-06-26,38.55,61.45,21.9,6.21,0.0,0.0
2001-07-03,46.21,53.79,28.69,6.84,0.0,0.0
2001-07-10,44.86,55.14,30.24,6.84,0.0,0.0
2001-07-17,31.38,68.62,35.68,13.46,0.0,0.0
2001-07-24,25.73,74.27,44.35,16.61,1.25,0.0
2001-07-31,23.68,76.32,57.1,21.55,3.03,0.0
2001-08-07,20.84,79.16,62.9,27.56,4.12,0.0
2001-08-14,26.39,73.61,57.28,23.92,1.25,0.0
2001-08-21,28.98,71.02,54.12,22.93,0.95,0.0
2001-08-28,24.91,75.09,49.7,19.85,1.08,0.0
2001-09-04,39.47,60.53,32.94,9.37,0.0,0.0
2001-09-11,42.73,57.27,39.02,15.62,0.0,0.0
2001-09-18,44.43,55.57,37.31,15.62,0.0,0.0
2001-09-25,48.73,51.27,36.21,15.62,0.0,0.0
2001-10-02,48.73,51.27,36.21,15.62,0.0,0.0
2001-10-09,47.93,52.07,36.21,15.62,0.0,0.0
2001-10-16,46.77,53.23,36.21,17.81,0.0,0.0
2001-10-23,44.19,55.81,43.38,21.6,0.0,0.0
2001-10-30,37.26,62.74,44.84,22.35,0.0,0.0
2001-11-06,32.65,67.35,49.52,27.74,13.96,0.0
2001-11-13,32.65,67.35,49.4,30.36,13.96,0.0
2001-11-20,37.2,62.8,43.73,25.1,10.62,0.0
2001-11-27,37.2,62.8,42.73,20.85,10.62,0.0
2001-12-04,38.98,61.02,43.01,20.85,10.49,0.0
2001-12-11,40.71,59.29,41.76,20.85,10.49,0.0
2001-12-18,42.14,57.86,40.97,20.85,9.94,0.0
2001-12-25,42.14,57.86,41.03,20.85,9.94,0.0
2002-01-01,41.92,58.08,41.12,20.95,10.14,0.0
2002-01-08,42.24,57.76,40.85,20.87,10.07,0.0
2002-01-15,42.69,57.31,41.04,20.99,10.08,0.0
2002-01-22,42.35,57.65,41.31,20.74,9.96,0.0
2002-01-29,41.97,58.03,43.94,20.81,10.16,0.0
2002-02-05,47.8,52.2,36.02,19.84,9.99,0.0
2002-02-12,49.08,50.92,38.98,13.37,7.74,0.0
2002-02-19,49.15,50.85,39.27,12.29,5.36,0.0
2002-02-26,41.9,58.1,39.38,12.23,3.17,0.0
2002-03-05,37.54,62.46,40.88,13.3,3.25,0.0
2002-03-12,24.44,75.56,55.95,17.75,3.27,0.0
2002-03-19,26.08,73.92,56.08,17.6,3.3,0.0
2002-03-26,25.78,74.22,56.91,27.66,3.33,0.0
2002-04-02,33.6,66.4,51.66,32.61,3.34,0.0
2002-04-09,39.98,60.02,47.75,33.26,3.15,0.0
2002-04-16,45.12,54.88,44.66,32.87,3.09,0.0
2002-04-23,30.87,69.13,44.82,35.07,11.14,0.0
2002-04-30,31.04,68.96,45.14,36.5,15.5,0.0
2002-05-07,18.9,81.1,48.28,37.24,15.41,0.0
2002-05-14,17.16,82.84,69.09,41.83,23.85,0.0
2002-05-21,16.64,83.36,69.79,42.14,24.13,0.0
2002-05-28,17.14,82.86,70.74,42.67,24.3,3.73
2002-06-04,13.43,86.57,68.7,41.9,23.79,3.93
2002-06-11,12.44,87.56,72.57,45.55,26.23,3.95
2002-06-18,18.93,81.07,67.14,45.71,29.6,3.7
2002-06-25,18.19,81.81,66.24,49.39,31.74,4.63
2002-07-02,27.67,72.33,55.64,46.46,31.9,4.61
2002-07-09,38.08,61.92,49.89,36.3,26.31,6.32
2002-07-16,44.29,55.71,49.62,34.19,25.78,6.39
2002-07-23,42.21,57.79,49.25,30.47,20.58,6.03
2002-07-30,42.1,57.9,44.13,24.05,9.82,4.11
2002-08-06,45.53,54.47,38.88,11.99,7.59,3.33
2002-08-13,45.59,54.41,38.43,12.06,7.6,3.29
2002-08-20,48.49,51.51,35.02,12.03,7.5,3.25
2002-08-27,46.19,53.81,35.49,12.03,7.52,3.36
2002-09-03,36.07,63.93,40.92,12.28,7.23,4.71
2002-09-10,44.19,55.81,43.79,19.18,7.7,4.75
2002-09-17,44.66,55.34,42.9,16.71,5.93,4.41
2002-09-24,46.12,53.88,42.91,14.16,4.88,1.97
2002-10-01,35.32,64.68,45.5,11.35,2.99,2.05
2002-10-08,37.18,62.82,40.66,9.83,3.37,0.03
2002-10-15,44.91,55.09,40.6,10.01,3.35,0.02
2002-10-22,45.78,54.22,39.26,10.12,3.45,0.02
2002-10-29,59.45,40.55,36.03,8.57,3.36,0.01
2002-11-05,59.96,40.04,33.09,6.08,3.29,0.02
2002-11-12,59.85,40.15,27.84,5.39,2.7,0.01
2002-11-19,60.05,39.95,27.97,5.39,2.65,0.02
2002-11-26,59.94,40.06,27.99,5.3,2.57,0.0
2002-12-03,60.03,39.97,27.72,5.3,2.52,0.01
