Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,47.98,16.35,0.0,0.0
2000-01-11,0.0,100.0,76.88,4.24,0.0,0.0
2000-01-18,0.0,100.0,75.71,4.24,0.0,0.0
2000-01-25,0.0,100.0,75.67,4.79,0.0,0.0
2000-02-01,0.0,100.0,50.07,0.17,0.0,0.0
2000-02-08,0.0,100.0,46.4,0.41,0.0,0.0
2000-02-15,0.0,100.0,46.4,0.41,0.0,0.0
2000-02-22,0.0,100.0,54.08,0.49,0.0,0.0
2000-02-29,0.0,100.0,57.16,10.52,0.0,0.0
2000-03-07,0.0,100.0,57.02,22.68,0.0,0.0
2000-03-14,0.0,100.0,63.97,21.22,0.0,0.0
2000-03-21,0.0,100.0,60.86,21.29,0.0,0.0
2000-03-28,0.0,100.0,51.94,6.4,0.0,0.0
2000-04-04,0.0,100.0,41.15,8.43,0.0,0.0
2000-04-11,34.99,65.01,42.58,8.43,0.0,0.0
2000-04-18,32.11,67.89,45.19,9.41,0.0,0.0
2000-04-25,38.7,61.3,35.82,11.52,0.0,0.0
2000-05-02,38.7,61.3,42.69,18.69,0.0,0.0
2000-05-09,26.8,73.2,55.24,36.76,0.0,0.0
2000-05-16,17.29,82.71,63.48,41.01,13.69,0.0
2000-05-23,0.0,100.0,63.48,41.01,13.69,0.0
2000-05-30,0.0,100.0,96.29,42.96,15.18,0.0
2000-06-06,0.0,100.0,97.84,42.96,15.18,0.0
2000-06-13,0.0,100.0,100.0,68.03,40.35,3.85
2000-06-20,0.0,100.0,100.0,68.03,40.35,3.91
2000-06-27,0.0,100.0,99.51,65.21,37.47,3.91
2000-07-04,0.0,100.0,91.79,63.64,37.14,14.82
2000-07-11,0.0,100.0,100.0,89.26,47.75,23.43
2000-07-18,0.0,100.0,100.0,96.15,81.39,44.06
2000-07-25,0.0,100.0,100.0,97.14,90.87,63.46
2000-08-01,0.0,100.0,100.0,97.38,90.88,62.57
2000-08-08,0.0,100.0,100.0,97.38,91.04,58.85
2000-08-15,0.0,100.0,100.0,96.5,89.49,59.15
2000-08-22,0.0,100.0,100.0,99.03,93.45,74.75
2000-08-29,0.0,100.0,100.0,99.75,96.43,77.9
2000-09-05,0.0,100.0,100.0,100.0,98.47,77.7
2000-09-12,0.0,100.0,100.0,100.0,99.98,68.54
2000-09-19,0.0,100.0,100.0,100.0,98.26,70.82
2000-09-26,0.0,100.0,100.0,99.05,81.77,31.62
