Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,28.5,71.5,23.36,4.39,0.0,0.0
2000-01-11,28.26,71.74,37.69,5.75,0.0,0.0
2000-01-18,0.0,100.0,37.69,5.75,0.0,0.0
2000-01-25,0.0,100.0,31.15,3.05,0.0,0.0
2000-02-01,0.0,100.0,28.79,4.69,0.0,0.0
2000-02-08,0.0,100.0,32.64,7.12,0.0,0.0
2000-02-15,0.0,100.0,32.64,7.12,0.0,0.0
2000-02-22,0.0,100.0,36.0,3.49,0.0,0.0
2000-02-29,7.93,92.07,41.08,1.79,0.0,0.0
2000-03-07,10.68,89.32,40.82,8.72,0.0,0.0
2000-03-14,13.51,86.49,40.82,8.72,0.0,0.0
2000-03-21,18.0,82.0,23.64,1.31,0.0,0.0
2000-03-28,16.98,83.02,18.06,0.0,0.0,0.0
2000-04-04,1.34,98.66,37.88,0.0,0.0,0.0
2000-04-11,10.51,89.49,36.18,0.0,0.0,0.0
2000-04-18,4.68,95.32,33.47,0.0,0.0,0.0
2000-04-25,3.89,96.11,35.37,0.0,0.0,0.0
2000-05-02,3.64,96.36,63.96,4.13,0.0,0.0
2000-05-09,17.11,82.89,33.84,0.0,0.0,0.0
2000-05-16,13.87,86.13,35.4,0.0,0.0,0.0
2000-05-23,25.09,74.91,36.43,0.0,0.0,0.0
2000-05-30,72.14,27.86,0.0,0.0,0.0,0.0
2000-06-06,66.95,33.05,0.0,0.0,0.0,0.0
2000-06-13,69.77,30.23,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,99.71,0.29,0.0,0.0,0.0,0.0
2000-07-18,60.86,39.14,1.4,0.0,0.0,0.0
2000-07-25,54.8,45.2,17.92,0.0,0.0,0.0
2000-08-01,48.31,51.69,15.96,0.0,0.0,0.0
2000-08-08,29.62,70.38,15.96,0.0,0.0,0.0
2000-08-15,11.0,89.0,47.49,3.56,0.0,0.0
2000-08-22,8.52,91.48,62.57,17.86,0.0,0.0
2000-08-29,0.18,99.82,70.45,29.55,12.36,0.0
2000-09-05,0.0,100.0,98.61,67.59,21.67,0.0
2000-09-12,0.0,100.0,100.0,92.71,23.07,0.0
2000-09-19,0.0,100.0,100.0,93.8,39.31,0.0
2000-09-26,0.0,100.0,100.0,86.65,44.34,0.0
