Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,39.54,60.46,0.0,0.0,0.0,0.0
2000-01-11,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-18,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,100.0,0.0,0.0,0.0,0.0
2000-02-01,0.0,100.0,0.0,0.0,0.0,0.0
2000-02-08,0.0,100.0,0.0,0.0,0.0,0.0
2000-02-15,0.0,100.0,37.5,0.0,0.0,0.0
2000-02-22,5.1,94.9,37.5,0.0,0.0,0.0
2000-02-29,16.01,83.99,36.67,0.0,0.0,0.0
2000-03-07,23.6,76.4,33.39,0.0,0.0,0.0
2000-03-14,56.09,43.91,8.02,0.0,0.0,0.0
2000-03-21,56.09,43.91,8.02,0.0,0.0,0.0
2000-03-28,58.7,41.3,7.48,0.0,0.0,0.0
2000-04-04,61.97,38.03,13.11,0.0,0.0,0.0
2000-04-11,61.93,38.07,13.56,0.0,0.0,0.0
2000-04-18,59.88,40.12,10.03,0.0,0.0,0.0
2000-04-25,62.82,37.18,10.03,0.0,0.0,0.0
2000-05-02,51.32,48.68,21.65,0.0,0.0,0.0
2000-05-09,49.39,50.61,24.73,0.0,0.0,0.0
2000-05-16,23.15,76.85,32.63,6.22,0.0,0.0
2000-05-23,22.49,77.51,32.63,6.22,0.0,0.0
2000-05-30,22.51,77.49,39.56,6.22,0.0,0.0
2000-06-06,17.42,82.58,48.64,6.22,0.0,0.0
2000-06-13,18.51,81.49,50.6,6.22,0.0,0.0
2000-06-20,17.8,82.2,50.6,6.22,0.0,0.0
2000-06-27,17.8,82.2,51.92,7.46,0.0,0.0
2000-07-04,50.83,49.17,0.0,0.0,0.0,0.0
2000-07-11,50.66,49.34,0.42,0.0,0.0,0.0
2000-07-18,14.27,85.73,0.4,0.0,0.0,0.0
2000-07-25,6.95,93.05,8.0,0.0,0.0,0.0
2000-08-01,6.95,93.05,10.12,0.0,0.0,0.0
2000-08-08,0.0,100.0,20.15,0.0,0.0,0.0
2000-08-15,19.45,80.55,28.99,9.27,0.0,0.0
2000-08-22,23.67,76.33,31.05,8.6,0.0,0.0
2000-08-29,24.8,75.2,26.03,3.93,0.0,0.0
2000-09-05,25.16,74.84,8.92,2.26,0.0,0.0
2000-09-12,25.16,74.84,8.92,2.26,0.0,0.0
2000-09-19,25.16,74.84,8.92,2.26,0.0,0.0
2000-09-26,13.61,86.39,16.03,2.26,0.0,0.0
2000-10-03,0.27,99.73,32.99,2.26,0.0,0.0
2000-10-10,0.27,99.73,32.91,6.64,0.0,0.0
2000-10-17,28.88,71.12,23.28,1.94,0.0,0.0
2000-10-24,57.18,42.82,8.89,0.0,0.0,0.0
2000-10-31,91.44,8.56,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,89.62,10.38,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-15,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-22,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,69.38,30.62,0.0,0.0,0.0,0.0
2001-06-26,69.38,30.62,0.0,0.0,0.0,0.0
2001-07-03,67.1,32.9,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-31,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-07,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-14,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-21,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-28,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,99.96,0.04,0.0,0.0,0.0,0.0
2001-11-13,99.96,0.04,0.0,0.0,0.0,0.0
2001-11-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-08,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-15,57.86,42.14,0.0,0.0,0.0,0.0
2002-01-22,49.08,50.92,0.0,0.0,0.0,0.0
2002-01-29,49.49,50.51,0.0,0.0,0.0,0.0
2002-02-05,41.26,58.74,2.2,0.0,0.0,0.0
2002-02-12,10.95,89.05,23.09,0.0,0.0,0.0
2002-02-19,11.74,88.26,22.78,0.0,0.0,0.0
2002-02-26,0.0,100.0,22.97,0.0,0.0,0.0
2002-03-05,0.0,100.0,22.55,0.0,0.0,0.0
2002-03-12,0.0,100.0,95.92,0.24,0.0,0.0
2002-03-19,0.0,100.0,97.03,2.05,0.0,0.0
2002-03-26,0.0,100.0,97.9,41.94,0.0,0.0
2002-04-02,0.0,100.0,100.0,72.0,0.0,0.0
2002-04-09,0.0,100.0,100.0,76.14,0.0,0.0
2002-04-16,0.0,100.0,100.0,82.74,0.0,0.0
2002-04-23,0.0,100.0,100.0,84.33,5.54,0.0
2002-04-30,0.0,100.0,100.0,100.0,39.11,0.0
2002-05-07,0.0,100.0,100.0,100.0,39.88,0.0
2002-05-14,0.0,100.0,100.0,100.0,84.35,0.0
2002-05-21,0.0,100.0,100.0,100.0,83.65,0.0
2002-05-28,0.0,100.0,100.0,100.0,89.27,19.53
2002-06-04,0.0,100.0,100.0,100.0,89.1,19.6
2002-06-11,0.0,100.0,100.0,100.0,89.43,19.61
2002-06-18,0.0,100.0,100.0,100.0,89.92,22.29
2002-06-25,0.0,100.0,100.0,100.0,92.92,35.12
2002-07-02,0.0,100.0,100.0,100.0,93.27,36.04
2002-07-09,0.0,100.0,100.0,100.0,95.96,36.15
2002-07-16,0.0,100.0,100.0,100.0,100.0,35.65
2002-07-23,0.0,100.0,100.0,100.0,100.0,35.77
2002-07-30,0.0,100.0,100.0,100.0,84.64,31.72
2002-08-06,0.0,100.0,100.0,97.92,65.83,24.51
2002-08-13,0.0,100.0,100.0,98.14,66.61,25.22
2002-08-20,0.0,100.0,100.0,97.97,66.41,24.83
2002-08-27,0.0,100.0,100.0,98.06,66.12,24.8
2002-09-03,0.0,100.0,100.0,98.09,66.41,24.54
2002-09-10,0.0,100.0,100.0,98.03,58.68,20.15
2002-09-17,0.0,100.0,100.0,97.17,59.24,19.0
2002-09-24,0.0,100.0,100.0,96.63,58.08,17.16
2002-10-01,0.0,100.0,100.0,96.59,59.71,16.26
2002-10-08,0.0,100.0,100.0,92.14,61.03,13.32
2002-10-15,0.0,100.0,100.0,92.21,60.92,12.92
2002-10-22,0.0,100.0,100.0,92.17,61.29,13.48
2002-10-29,0.0,100.0,100.0,91.25,63.31,13.66
2002-11-05,0.0,100.0,100.0,91.76,63.02,13.3
2002-11-12,0.0,100.0,100.0,90.69,60.5,10.93
2002-11-19,0.0,100.0,100.0,90.46,60.62,11.11
2002-11-26,0.0,100.0,100.0,90.23,60.5,11.03
2002-12-03,0.0,100.0,100.0,90.35,59.47,10.37
2002-12-10,0.0,100.0,100.0,90.34,60.64,11.52
2002-12-17,0.0,100.0,100.0,90.88,61.68,11.64
2002-12-24,0.0,100.0,100.0,90.47,60.79,11.7
2002-12-31,0.0,100.0,100.0,89.86,61.55,11.88
2003-01-07,0.0,100.0,100.0,89.84,63.55,11.75
2003-01-14,0.0,100.0,100.0,92.57,68.92,11.73
2003-01-21,0.0,100.0,100.0,92.47,67.07,10.72
2003-01-28,0.0,100.0,100.0,92.7,62.52,11.97
2003-02-04,0.0,100.0,100.0,92.52,62.41,12.0
2003-02-11,0.0,100.0,100.0,95.67,62.57,11.83
2003-02-18,0.0,100.0,100.0,91.9,59.83,6.93
2003-02-25,0.0,100.0,100.0,92.14,59.37,6.92
2003-03-04,0.0,100.0,100.0,68.67,37.31,0.0
2003-03-11,0.0,100.0,100.0,68.43,28.25,0.0
2003-03-18,0.0,100.0,100.0,68.91,27.77,0.0
2003-03-25,0.0,100.0,100.0,69.54,28.63,0.0
2003-04-01,0.0,100.0,100.0,68.95,28.78,0.0
2003-04-08,0.0,100.0,100.0,68.41,28.01,0.0
2003-04-15,0.0,100.0,100.0,69.28,26.54,0.0
2003-04-22,0.0,100.0,100.0,71.08,28.62,0.0
2003-04-29,0.0,100.0,100.0,71.4,28.75,0.0
2003-05-06,0.0,100.0,100.0,71.52,29.11,0.0
2003-05-13,0.0,100.0,100.0,72.03,33.39,0.0
2003-05-20,0.0,100.0,100.0,88.8,32.45,0.0
2003-05-27,0.0,100.0,100.0,89.07,33.04,0.0
2003-06-03,0.0,100.0,100.0,88.41,32.94,0.0
2003-06-10,0.0,100.0,100.0,88.72,33.19,4.11
2003-06-17,0.0,100.0,100.0,87.36,34.29,4.06
2003-06-24,0.0,100.0,100.0,88.16,34.63,4.08
2003-07-01,0.0,100.0,100.0,96.26,33.57,3.94
2003-07-08,0.0,100.0,100.0,96.35,41.17,4.24
2003-07-15,0.0,100.0,100.0,99.28,58.64,4.14
2003-07-22,0.0,100.0,100.0,99.5,61.91,7.09
2003-07-29,0.0,100.0,100.0,94.91,58.02,5.44
2003-08-05,0.0,100.0,100.0,83.42,50.28,6.45
2003-08-12,0.0,100.0,100.0,82.58,50.45,5.68
2003-08-19,0.0,100.0,100.0,80.45,43.42,5.86
2003-08-26,0.0,100.0,99.99,80.56,44.02,5.95
2003-09-02,0.0,100.0,100.0,81.16,43.86,5.43
2003-09-09,0.0,100.0,100.0,70.23,40.67,5.96
2003-09-16,0.0,100.0,100.0,68.63,27.15,2.91
2003-09-23,0.0,100.0,100.0,69.26,27.45,3.35
2003-09-30,0.0,100.0,91.52,62.43,25.65,3.16
2003-10-07,0.0,100.0,91.98,64.31,23.71,1.86
2003-10-14,0.0,100.0,91.42,61.12,25.52,2.08
2003-10-21,0.0,100.0,93.63,62.99,23.47,1.59
2003-10-28,0.0,100.0,92.65,62.5,31.95,1.54
2003-11-04,0.0,100.0,93.33,63.44,31.99,1.42
2003-11-11,0.0,100.0,92.97,62.8,31.88,1.67
2003-11-18,0.0,100.0,83.79,52.22,29.07,1.67
2003-11-25,0.0,100.0,83.61,52.2,30.25,2.03
2003-12-02,0.0,100.0,83.9,51.84,29.83,1.94
2003-12-09,0.0,100.0,83.39,50.91,29.36,2.01
2003-12-16,0.0,100.0,83.63,53.07,29.66,1.93
2003-12-23,0.0,100.0,85.76,60.69,35.76,3.06
2003-12-30,0.0,100.0,84.88,61.65,39.91,3.1
2004-01-06,0.0,100.0,85.1,60.8,38.51,2.29
2004-01-13,0.0,100.0,87.59,66.67,39.4,2.29
2004-01-20,0.0,100.0,95.76,65.85,38.88,2.29
2004-01-27,0.0,100.0,82.56,60.94,37.72,2.57
2004-02-03,0.0,100.0,84.66,67.55,37.5,2.57
