Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,96.81,3.19,0.0,0.0,0.0,0.0
2000-01-11,61.24,38.76,0.0,0.0,0.0,0.0
2000-01-18,44.6,55.4,0.0,0.0,0.0,0.0
2000-01-25,43.98,56.02,0.0,0.0,0.0,0.0
2000-02-01,69.33,30.67,0.09,0.0,0.0,0.0
2000-02-08,73.87,26.13,0.09,0.0,0.0,0.0
2000-02-15,81.43,18.57,0.09,0.0,0.0,0.0
2000-02-22,93.06,6.94,0.09,0.0,0.0,0.0
2000-02-29,92.0,8.0,1.2,0.0,0.0,0.0
2000-03-07,93.52,6.48,0.0,0.0,0.0,0.0
2000-03-14,96.57,3.43,0.0,0.0,0.0,0.0
2000-03-21,97.06,2.94,0.0,0.0,0.0,0.0
2000-03-28,98.42,1.58,0.0,0.0,0.0,0.0
2000-04-04,99.41,0.59,0.0,0.0,0.0,0.0
2000-04-11,99.41,0.59,0.0,0.0,0.0,0.0
2000-04-18,95.29,4.71,0.0,0.0,0.0,0.0
2000-04-25,97.49,2.51,0.0,0.0,0.0,0.0
2000-05-02,99.61,0.39,0.0,0.0,0.0,0.0
2000-05-09,99.61,0.39,0.0,0.0,0.0,0.0
2000-05-16,99.57,0.43,0.0,0.0,0.0,0.0
2000-05-23,99.75,0.25,0.0,0.0,0.0,0.0
2000-05-30,98.31,1.69,0.0,0.0,0.0,0.0
2000-06-06,77.21,22.79,0.0,0.0,0.0,0.0
2000-06-13,20.86,79.14,0.46,0.0,0.0,0.0
2000-06-20,0.0,100.0,2.12,0.0,0.0,0.0
2000-06-27,0.0,100.0,6.17,1.55,0.0,0.0
2000-07-04,0.68,99.32,12.01,3.47,0.02,0.0
2000-07-11,0.6,99.4,39.8,3.31,0.02,0.0
2000-07-18,3.14,96.86,26.38,3.1,0.0,0.0
2000-07-25,7.31,92.69,22.31,2.19,0.0,0.0
2000-08-01,7.31,92.69,23.34,2.19,0.0,0.0
2000-08-08,5.45,94.55,21.73,2.36,0.0,0.0
2000-08-15,7.08,92.92,23.81,2.49,0.04,0.0
2000-08-22,37.42,62.58,20.46,2.28,0.04,0.0
2000-08-29,33.71,66.29,20.11,2.28,0.05,0.0
2000-09-05,32.35,67.65,10.36,2.27,0.05,0.0
2000-09-12,32.35,67.65,11.93,4.31,0.23,0.0
2000-09-19,29.64,70.36,11.93,4.47,0.23,0.0
2000-09-26,29.37,70.63,9.9,1.69,0.0,0.0
2000-10-03,34.54,65.46,12.14,1.78,0.0,0.0
2000-10-10,34.31,65.69,12.14,1.6,0.0,0.0
2000-10-17,30.29,69.71,15.99,1.48,0.0,0.0
2000-10-24,0.0,100.0,33.92,0.0,0.0,0.0
2000-10-31,8.93,91.07,26.26,0.0,0.0,0.0
2000-11-07,46.66,53.34,0.0,0.0,0.0,0.0
2000-11-14,74.88,25.12,0.0,0.0,0.0,0.0
2000-11-21,74.66,25.34,0.0,0.0,0.0,0.0
2000-11-28,74.66,25.34,0.0,0.0,0.0,0.0
2000-12-05,84.1,15.9,0.0,0.0,0.0,0.0
2000-12-12,86.07,13.93,0.0,0.0,0.0,0.0
2000-12-19,96.06,3.94,0.0,0.0,0.0,0.0
2000-12-26,96.07,3.93,0.0,0.0,0.0,0.0
2001-01-02,96.07,3.93,0.0,0.0,0.0,0.0
2001-01-09,96.08,3.92,0.0,0.0,0.0,0.0
2001-01-16,96.08,3.92,0.0,0.0,0.0,0.0
2001-01-23,96.61,3.39,0.0,0.0,0.0,0.0
2001-01-30,96.73,3.27,0.0,0.0,0.0,0.0
2001-02-06,99.28,0.72,0.0,0.0,0.0,0.0
2001-02-13,99.4,0.6,0.0,0.0,0.0,0.0
2001-02-20,99.4,0.6,0.0,0.0,0.0,0.0
2001-02-27,99.4,0.6,0.0,0.0,0.0,0.0
2001-03-06,99.4,0.6,0.0,0.0,0.0,0.0
2001-03-13,97.57,2.43,0.0,0.0,0.0,0.0
2001-03-20,97.6,2.4,0.0,0.0,0.0,0.0
2001-03-27,97.6,2.4,0.0,0.0,0.0,0.0
2001-04-03,97.28,2.72,0.0,0.0,0.0,0.0
2001-04-10,97.28,2.72,0.0,0.0,0.0,0.0
2001-04-17,97.14,2.86,0.0,0.0,0.0,0.0
2001-04-24,99.74,0.26,0.0,0.0,0.0,0.0
2001-05-01,99.74,0.26,0.0,0.0,0.0,0.0
2001-05-08,99.87,0.13,0.0,0.0,0.0,0.0
2001-05-15,99.87,0.13,0.0,0.0,0.0,0.0
2001-05-22,99.87,0.13,0.0,0.0,0.0,0.0
2001-05-29,99.87,0.13,0.0,0.0,0.0,0.0
2001-06-05,99.87,0.13,0.0,0.0,0.0,0.0
2001-06-12,81.64,18.36,0.0,0.0,0.0,0.0
2001-06-19,75.01,24.99,0.0,0.0,0.0,0.0
2001-06-26,64.81,35.19,0.0,0.0,0.0,0.0
2001-07-03,59.4,40.6,1.51,0.0,0.0,0.0
2001-07-10,85.16,14.84,0.34,0.0,0.0,0.0
2001-07-17,93.49,6.51,0.0,0.0,0.0,0.0
2001-07-24,95.35,4.65,0.0,0.0,0.0,0.0
2001-07-31,95.35,4.65,0.0,0.0,0.0,0.0
2001-08-07,94.59,5.41,0.0,0.0,0.0,0.0
2001-08-14,93.53,6.47,0.0,0.0,0.0,0.0
2001-08-21,93.97,6.03,0.0,0.0,0.0,0.0
2001-08-28,93.7,6.3,0.0,0.0,0.0,0.0
2001-09-04,92.33,7.67,0.0,0.0,0.0,0.0
2001-09-11,60.74,39.26,0.0,0.0,0.0,0.0
2001-09-18,59.71,40.29,0.0,0.0,0.0,0.0
2001-09-25,62.4,37.6,0.0,0.0,0.0,0.0
2001-10-02,62.65,37.35,0.0,0.0,0.0,0.0
2001-10-09,62.65,37.35,0.0,0.0,0.0,0.0
2001-10-16,64.74,35.26,0.0,0.0,0.0,0.0
2001-10-23,64.25,35.75,0.0,0.0,0.0,0.0
2001-10-30,52.7,47.3,2.48,0.0,0.0,0.0
2001-11-06,47.55,52.45,3.42,0.0,0.0,0.0
2001-11-13,47.1,52.9,4.64,0.0,0.0,0.0
2001-11-20,47.17,52.83,4.45,0.0,0.0,0.0
2001-11-27,47.91,52.09,4.45,0.0,0.0,0.0
2001-12-04,46.43,53.57,3.88,0.0,0.0,0.0
2001-12-11,46.83,53.17,3.97,0.0,0.0,0.0
2001-12-18,47.13,52.87,9.31,0.0,0.0,0.0
2001-12-25,47.13,52.87,11.19,0.0,0.0,0.0
2002-01-01,44.16,55.84,14.73,0.0,0.0,0.0
2002-01-08,1.48,98.52,14.0,0.0,0.0,0.0
2002-01-15,1.37,98.63,14.54,0.0,0.0,0.0
2002-01-22,1.32,98.68,13.88,0.0,0.0,0.0
2002-01-29,1.21,98.79,20.07,0.0,0.0,0.0
2002-02-05,0.56,99.44,44.58,0.0,0.0,0.0
2002-02-12,0.0,100.0,53.0,0.0,0.0,0.0
2002-02-19,0.0,100.0,77.0,0.0,0.0,0.0
2002-02-26,0.0,100.0,77.17,0.0,0.0,0.0
2002-03-05,0.0,100.0,76.02,0.21,0.0,0.0
2002-03-12,0.0,100.0,77.87,35.76,0.0,0.0
2002-03-19,0.0,100.0,79.55,35.51,0.0,0.0
2002-03-26,0.0,100.0,86.78,39.6,0.0,0.0
2002-04-02,0.0,100.0,100.0,47.92,0.0,0.0
2002-04-09,0.0,100.0,100.0,52.6,0.0,0.0
2002-04-16,0.0,100.0,100.0,69.49,0.0,0.0
2002-04-23,0.0,100.0,100.0,100.0,46.08,0.0
