Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,42.62,57.38,24.88,12.51,0.0,0.0
2000-01-11,43.43,56.57,27.53,12.51,0.0,0.0
2000-01-18,42.81,57.19,27.53,12.51,0.0,0.0
2000-01-25,42.81,57.19,27.25,14.15,0.0,0.0
2000-02-01,39.42,60.58,26.85,3.36,0.0,0.0
2000-02-08,39.42,60.58,35.94,3.35,0.0,0.0
2000-02-15,39.42,60.58,35.94,3.35,0.0,0.0
2000-02-22,35.69,64.31,35.93,3.36,0.0,0.0
2000-02-29,0.0,100.0,56.23,17.94,0.0,0.0
2000-03-07,0.0,100.0,55.65,21.46,0.0,0.0
2000-03-14,0.0,100.0,75.42,30.61,0.0,0.0
2000-03-21,0.0,100.0,75.06,34.8,0.0,0.0
2000-03-28,0.0,100.0,82.19,50.88,0.0,0.0
2000-04-04,0.0,100.0,88.15,69.45,0.0,0.0
2000-04-11,1.01,98.99,83.05,67.05,0.0,0.0
2000-04-18,8.85,91.15,83.11,69.5,0.0,0.0
2000-04-25,9.27,90.73,83.22,67.34,0.0,0.0
2000-05-02,9.27,90.73,84.09,75.72,0.0,0.0
2000-05-09,8.9,91.1,84.74,75.71,0.0,0.0
2000-05-16,8.9,91.1,84.74,76.56,12.64,0.0
2000-05-23,4.47,95.53,88.84,76.56,21.48,0.0
2000-05-30,0.14,99.86,99.84,80.34,42.99,0.0
2000-06-06,0.14,99.86,90.54,80.33,46.05,0.0
2000-06-13,10.45,89.55,85.18,80.33,55.61,16.29
2000-06-20,10.54,89.46,85.18,80.33,54.02,16.6
2000-06-27,0.0,100.0,97.4,85.27,63.12,16.6
2000-07-04,0.01,99.99,88.72,76.25,51.4,14.83
2000-07-11,3.83,96.17,88.74,77.23,48.15,19.64
2000-07-18,2.52,97.48,88.74,69.27,44.31,25.47
2000-07-25,6.1,93.9,84.51,68.32,35.73,20.61
2000-08-01,6.1,93.9,81.55,62.31,30.3,18.68
2000-08-08,7.47,92.53,73.0,59.38,28.75,18.21
2000-08-15,7.47,92.53,70.53,53.27,28.75,14.41
2000-08-22,7.47,92.53,70.72,54.33,31.64,14.43
2000-08-29,8.63,91.37,69.97,54.33,31.45,14.43
2000-09-05,8.63,91.37,69.97,54.03,27.88,14.42
2000-09-12,11.59,88.41,73.97,61.68,18.84,0.55
2000-09-19,17.99,82.01,60.75,16.58,2.71,0.21
2000-09-26,17.99,82.01,57.06,1.79,0.0,0.0
2000-10-03,24.07,75.93,57.06,1.79,0.0,0.0
2000-10-10,28.19,71.81,58.09,11.24,0.08,0.0
2000-10-17,13.44,86.56,67.15,28.97,0.81,0.0
2000-10-24,7.82,92.18,68.81,36.01,15.16,0.15
2000-10-31,7.82,92.18,71.74,55.31,29.06,0.73
2000-11-07,7.82,92.18,72.26,55.31,29.06,0.0
2000-11-14,0.16,99.84,75.8,58.7,31.23,0.0
2000-11-21,0.16,99.84,76.35,65.82,26.23,0.0
2000-11-28,0.0,100.0,80.08,68.8,26.02,0.0
2000-12-05,0.0,100.0,87.45,71.57,31.37,7.29
2000-12-12,4.49,95.51,87.45,74.75,36.3,13.32
2000-12-19,4.49,95.51,89.91,75.07,37.01,16.03
2000-12-26,4.43,95.57,91.32,77.81,41.29,19.02
2001-01-02,4.43,95.57,91.32,62.16,40.9,17.67
2001-01-09,4.43,95.57,92.35,62.43,40.43,17.67
2001-01-16,2.68,97.32,92.35,62.43,46.79,17.77
2001-01-23,0.0,100.0,85.27,67.67,47.31,18.46
2001-01-30,0.0,100.0,84.65,67.67,47.31,18.46
2001-02-06,0.0,100.0,87.87,70.01,44.68,17.9
2001-02-13,0.0,100.0,88.71,83.0,58.87,32.74
2001-02-20,0.0,100.0,99.8,90.03,58.87,34.12
2001-02-27,0.0,100.0,99.8,90.03,63.1,39.14
2001-03-06,0.0,100.0,94.83,89.73,63.1,37.82
2001-03-13,0.0,100.0,86.5,77.64,61.03,37.82
2001-03-20,2.04,97.96,85.0,75.19,58.2,36.53
2001-03-27,5.8,94.2,83.79,75.2,55.91,34.34
