Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,100.0,68.52,0.0,0.0
2000-01-11,0.0,100.0,100.0,57.23,0.0,0.0
2000-01-18,0.0,100.0,100.0,57.23,0.0,0.0
2000-01-25,0.0,100.0,100.0,56.03,0.0,0.0
2000-02-01,0.0,100.0,99.89,41.25,0.0,0.0
2000-02-08,0.0,100.0,99.9,41.5,0.0,0.0
2000-02-15,0.0,100.0,99.9,41.5,0.0,0.0
2000-02-22,0.0,100.0,99.16,38.71,0.0,0.0
2000-02-29,0.0,100.0,99.98,63.89,0.0,0.0
2000-03-07,0.0,100.0,100.0,64.6,0.0,0.0
2000-03-14,0.0,100.0,100.0,64.6,0.0,0.0
2000-03-21,0.0,100.0,100.0,66.21,0.0,0.0
2000-03-28,0.0,100.0,100.0,57.53,0.0,0.0
2000-04-04,0.0,100.0,99.08,38.86,0.0,0.0
2000-04-11,0.0,100.0,99.3,38.86,0.0,0.0
2000-04-18,0.25,99.75,98.83,67.18,0.0,0.0
2000-04-25,0.17,99.83,95.1,54.1,0.0,0.0
2000-05-02,0.17,99.83,95.1,54.1,0.0,0.0
2000-05-09,0.0,100.0,95.61,55.82,0.0,0.0
2000-05-16,0.0,100.0,96.84,84.12,27.18,0.0
2000-05-23,0.0,100.0,99.19,83.88,27.18,0.0
2000-05-30,0.0,100.0,100.0,90.72,42.12,0.0
2000-06-06,0.0,100.0,100.0,91.05,44.84,0.0
2000-06-13,0.0,100.0,100.0,99.87,89.59,42.83
2000-06-20,0.0,100.0,100.0,99.87,88.92,47.88
2000-06-27,0.0,100.0,100.0,99.97,86.01,48.85
2000-07-04,0.0,100.0,100.0,96.99,73.98,37.29
2000-07-11,0.0,100.0,100.0,98.4,83.71,44.81
2000-07-18,0.0,100.0,100.0,99.27,86.02,35.28
2000-07-25,0.0,100.0,100.0,95.86,76.24,32.02
2000-08-01,0.0,100.0,100.0,93.8,73.04,27.58
2000-08-08,0.0,100.0,99.72,81.28,55.6,18.51
2000-08-15,0.0,100.0,92.89,78.72,53.7,21.67
2000-08-22,1.9,98.1,88.31,76.47,54.17,20.16
2000-08-29,1.74,98.26,88.2,76.47,53.25,20.16
2000-09-05,1.74,98.26,87.16,74.87,40.14,3.27
2000-09-12,7.73,92.27,83.28,73.62,44.46,0.0
2000-09-19,14.24,85.76,77.72,65.63,42.91,0.0
2000-09-26,14.39,85.61,74.27,49.79,10.68,0.0
2000-10-03,14.39,85.61,74.27,49.96,10.68,0.0
2000-10-10,14.32,85.68,74.27,49.96,11.3,0.0
2000-10-17,9.32,90.68,78.72,49.93,18.14,0.0
2000-10-24,0.0,100.0,79.83,59.41,14.41,0.0
2000-10-31,0.0,100.0,89.91,78.44,54.45,0.0
2000-11-07,0.0,100.0,90.12,78.44,54.45,0.0
2000-11-14,0.0,100.0,90.13,78.44,53.39,0.0
2000-11-21,0.0,100.0,91.78,77.04,6.15,0.0
2000-11-28,0.0,100.0,88.46,72.09,0.0,0.0
2000-12-05,0.0,100.0,88.46,71.16,0.0,0.0
2000-12-12,3.32,96.68,87.69,71.16,0.0,0.0
2000-12-19,3.31,96.69,88.12,60.15,0.0,0.0
2000-12-26,3.33,96.67,85.26,57.75,0.0,0.0
2001-01-02,3.33,96.67,78.97,43.83,0.0,0.0
2001-01-09,3.33,96.67,78.97,41.46,0.17,0.0
2001-01-16,3.33,96.67,78.97,41.46,0.17,0.0
2001-01-23,1.81,98.19,76.96,38.02,0.0,0.0
2001-01-30,0.05,99.95,77.1,38.02,0.0,0.0
2001-02-06,0.05,99.95,80.08,38.02,0.0,0.0
2001-02-13,0.05,99.95,93.56,41.78,0.34,0.0
2001-02-20,0.0,100.0,99.92,43.55,1.49,0.0
2001-02-27,0.0,100.0,99.92,43.5,0.48,0.0
2001-03-06,0.0,100.0,94.63,35.34,0.15,0.0
2001-03-13,0.0,100.0,94.5,10.5,0.03,0.0
2001-03-20,1.92,98.08,86.69,7.76,0.0,0.0
2001-03-27,1.41,98.59,84.59,7.76,0.0,0.0
2001-04-03,0.95,99.05,78.41,1.82,0.0,0.0
2001-04-10,12.26,87.74,70.49,1.82,0.0,0.0
2001-04-17,12.65,87.35,73.86,1.82,0.06,0.0
2001-04-24,12.23,87.77,73.86,2.39,0.06,0.0
2001-05-01,11.93,88.07,69.45,3.97,0.06,0.0
2001-05-08,0.0,100.0,82.4,11.2,0.53,0.0
2001-05-15,0.0,100.0,96.49,39.14,0.53,0.0
2001-05-22,0.0,100.0,96.49,39.38,0.53,0.0
2001-05-29,0.0,100.0,96.48,38.88,0.13,0.0
2001-06-05,0.81,99.19,85.7,36.02,3.86,0.0
2001-06-12,12.11,87.89,59.22,23.24,0.21,0.0
2001-06-19,30.63,69.37,30.0,6.77,0.0,0.0
2001-06-26,30.63,69.37,30.0,6.77,0.0,0.0
2001-07-03,49.32,50.68,17.05,1.85,0.0,0.0
2001-07-10,57.08,42.92,7.0,0.0,0.0,0.0
2001-07-17,57.08,42.92,5.77,0.0,0.0,0.0
2001-07-24,57.57,42.43,9.11,0.0,0.0,0.0
2001-07-31,58.65,41.35,9.11,0.0,0.0,0.0
2001-08-07,85.63,14.37,0.77,0.0,0.0,0.0
2001-08-14,89.13,10.87,1.01,0.0,0.0,0.0
2001-08-21,92.55,7.45,0.0,0.0,0.0,0.0
2001-08-28,83.88,16.12,0.0,0.0,0.0,0.0
2001-09-04,92.92,7.08,0.0,0.0,0.0,0.0
2001-09-11,92.92,7.08,0.0,0.0,0.0,0.0
2001-09-18,60.47,39.53,0.0,0.0,0.0,0.0
2001-09-25,61.5,38.5,0.0,0.0,0.0,0.0
2001-10-02,54.44,45.56,16.48,0.0,0.0,0.0
2001-10-09,51.62,48.38,17.23,0.0,0.0,0.0
2001-10-16,48.52,51.48,20.89,0.07,0.0,0.0
2001-10-23,23.83,76.17,40.96,0.06,0.0,0.0
2001-10-30,0.0,100.0,47.54,13.95,0.0,0.0
2001-11-06,0.0,100.0,65.36,19.18,0.0,0.0
2001-11-13,0.0,100.0,76.07,32.35,0.0,0.0
2001-11-20,0.0,100.0,76.08,47.8,0.0,0.0
2001-11-27,0.0,100.0,76.02,50.41,0.0,0.0
2001-12-04,0.0,100.0,76.02,50.56,0.0,0.0
2001-12-11,6.79,93.21,68.11,43.0,0.0,0.0
2001-12-18,6.75,93.25,70.32,46.47,1.5,0.0
2001-12-25,2.18,97.82,70.32,45.45,1.5,0.0
2002-01-01,2.56,97.44,93.61,67.09,23.65,0.0
2002-01-08,0.0,100.0,97.67,63.28,23.12,0.0
2002-01-15,0.0,100.0,94.02,58.24,18.86,0.0
2002-01-22,0.63,99.37,86.19,55.29,15.1,0.0
2002-01-29,8.48,91.52,82.32,50.55,14.05,0.0
2002-02-05,7.66,92.34,82.62,57.88,21.64,0.0
2002-02-12,11.25,88.75,80.76,53.12,20.09,0.0
2002-02-19,4.73,95.27,81.94,52.21,20.39,0.0
2002-02-26,0.09,99.91,86.57,64.99,19.65,0.0
2002-03-05,2.96,97.04,78.7,56.03,17.39,0.0
2002-03-12,0.86,99.14,89.66,72.22,17.24,0.0
2002-03-19,1.88,98.12,87.65,71.62,17.42,0.0
2002-03-26,1.48,98.52,87.22,71.71,16.8,0.0
2002-04-02,2.44,97.56,80.22,44.9,4.45,0.0
2002-04-09,2.5,97.5,80.75,45.56,4.68,0.0
2002-04-16,8.17,91.83,71.56,40.78,1.0,0.0
2002-04-23,3.22,96.78,73.33,41.47,1.03,0.0
2002-04-30,0.45,99.55,90.75,56.09,9.34,0.0
2002-05-07,4.61,95.39,87.73,57.92,10.79,0.0
2002-05-14,3.87,96.13,88.53,80.99,25.47,0.0
2002-05-21,3.85,96.15,89.44,80.0,28.76,0.0
2002-05-28,1.37,98.63,93.68,85.04,38.34,0.0
2002-06-04,0.1,99.9,94.03,82.87,39.14,0.0
2002-06-11,0.25,99.75,94.02,83.4,36.37,0.0
2002-06-18,0.0,100.0,91.81,82.99,39.37,0.0
2002-06-25,0.0,100.0,96.31,77.57,34.07,0.0
2002-07-02,0.0,100.0,97.15,77.53,33.79,0.0
2002-07-09,0.16,99.84,97.99,75.23,33.54,0.0
2002-07-16,0.28,99.72,94.31,73.01,33.92,0.0
2002-07-23,0.46,99.54,89.2,65.49,35.74,0.0
2002-07-30,2.56,97.44,83.16,51.17,26.95,0.0
2002-08-06,4.04,95.96,79.16,53.43,27.23,0.0
2002-08-13,5.2,94.8,85.26,66.97,33.63,11.96
2002-08-20,4.34,95.66,85.17,67.74,34.77,14.36
2002-08-27,3.58,96.42,84.84,67.25,34.55,14.08
2002-09-03,6.76,93.24,84.08,65.7,46.35,17.9
2002-09-10,3.69,96.31,86.85,69.66,49.13,12.68
2002-09-17,19.17,80.83,68.68,59.49,37.83,0.0
2002-09-24,20.29,79.71,69.74,55.0,0.0,0.0
2002-10-01,11.11,88.89,69.35,47.74,0.0,0.0
2002-10-08,2.8,97.2,77.06,49.37,0.0,0.0
2002-10-15,0.97,99.03,74.26,35.28,0.0,0.0
2002-10-22,16.71,83.29,64.19,19.93,0.0,0.0
2002-10-29,17.63,82.37,54.08,19.16,0.0,0.0
2002-11-05,16.0,84.0,54.62,17.93,0.0,0.0
2002-11-12,21.65,78.35,39.95,0.0,0.0,0.0
2002-11-19,20.93,79.07,40.3,0.0,0.0,0.0
2002-11-26,21.85,78.15,40.29,0.0,0.0,0.0
2002-12-03,21.83,78.17,40.06,0.0,0.0,0.0
2002-12-10,25.68,74.32,39.38,0.0,0.0,0.0
2002-12-17,40.52,59.48,0.02,0.0,0.0,0.0
2002-12-24,38.86,61.14,0.07,0.0,0.0,0.0
2002-12-31,63.22,36.78,0.0,0.0,0.0,0.0
2003-01-07,59.81,40.19,0.0,0.0,0.0,0.0
2003-01-14,60.88,39.12,0.0,0.0,0.0,0.0
2003-01-21,61.49,38.51,0.0,0.0,0.0,0.0
2003-01-28,59.83,40.17,0.02,0.0,0.0,0.0
2003-02-04,39.56,60.44,0.14,0.0,0.0,0.0
2003-02-11,42.51,57.49,0.36,0.0,0.0,0.0
2003-02-18,40.07,59.93,0.62,0.0,0.0,0.0
2003-02-25,40.26,59.74,0.0,0.0,0.0,0.0
2003-03-04,42.25,57.75,0.0,0.0,0.0,0.0
2003-03-11,78.94,21.06,0.0,0.0,0.0,0.0
2003-03-18,79.24,20.76,0.0,0.0,0.0,0.0
2003-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-05-06,100.0,0.0,0.0,0.0,0.0,0.0
2003-05-13,98.75,1.25,0.0,0.0,0.0,0.0
2003-05-20,98.54,1.46,0.0,0.0,0.0,0.0
2003-05-27,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-03,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-10,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-17,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-24,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-12,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-19,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-26,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-17,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-24,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-02,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-09,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-16,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-23,9.73,90.27,0.0,0.0,0.0,0.0
2004-03-30,8.94,91.06,0.0,0.0,0.0,0.0
2004-04-06,5.9,94.1,0.0,0.0,0.0,0.0
2004-04-13,9.18,90.82,0.0,0.0,0.0,0.0
2004-04-20,9.18,90.82,34.58,0.0,0.0,0.0
2004-04-27,7.98,92.02,45.73,0.0,0.0,0.0
2004-05-04,14.01,85.99,40.66,0.0,0.0,0.0
2004-05-11,7.26,92.74,45.97,0.0,0.0,0.0
2004-05-18,0.45,99.55,45.97,0.0,0.0,0.0
2004-05-25,0.0,100.0,82.54,34.07,0.0,0.0
2004-06-01,0.0,100.0,82.39,34.07,0.0,0.0
2004-06-08,1.63,98.37,74.84,42.91,0.0,0.0
2004-06-15,6.16,93.84,58.25,33.83,0.0,0.0
2004-06-22,11.55,88.45,54.27,13.77,0.0,0.0
2004-06-29,45.64,54.36,13.97,0.0,0.0,0.0
2004-07-06,65.55,34.45,0.0,0.0,0.0,0.0
2004-07-13,70.05,29.95,0.0,0.0,0.0,0.0
2004-07-20,70.05,29.95,0.0,0.0,0.0,0.0
2004-07-27,67.72,32.28,0.0,0.0,0.0,0.0
2004-08-03,55.95,44.05,0.0,0.0,0.0,0.0
