Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,41.9,58.1,58.1,0.0,0.0,0.0
2000-01-11,41.9,58.1,58.1,0.0,0.0,0.0
2000-01-18,41.9,58.1,58.1,0.0,0.0,0.0
2000-01-25,41.9,58.1,58.1,0.0,0.0,0.0
2000-02-01,48.14,51.86,51.86,0.0,0.0,0.0
2000-02-08,48.14,51.86,51.86,0.0,0.0,0.0
2000-02-15,55.75,44.25,44.25,0.0,0.0,0.0
2000-02-22,55.75,44.25,44.25,0.0,0.0,0.0
2000-02-29,54.07,45.93,45.92,0.0,0.0,0.0
2000-03-07,47.31,52.69,52.69,0.0,0.0,0.0
2000-03-14,36.18,63.82,47.63,0.0,0.0,0.0
2000-03-21,0.0,100.0,58.5,0.0,0.0,0.0
2000-03-28,0.0,100.0,58.5,0.0,0.0,0.0
2000-04-04,26.84,73.16,58.5,0.0,0.0,0.0
2000-04-11,26.42,73.58,61.54,0.0,0.0,0.0
2000-04-18,28.47,71.53,71.53,0.0,0.0,0.0
2000-04-25,28.47,71.53,71.53,0.0,0.0,0.0
2000-05-02,28.47,71.53,71.53,0.0,0.0,0.0
2000-05-09,28.47,71.53,71.53,0.0,0.0,0.0
2000-05-16,28.47,71.53,71.62,21.92,0.0,0.0
2000-05-23,28.47,71.53,71.53,22.05,0.0,0.0
2000-05-30,28.47,71.53,71.63,22.19,0.0,0.0
2000-06-06,0.0,100.0,71.63,22.22,0.0,0.0
2000-06-13,0.0,100.0,76.24,56.2,18.16,0.0
2000-06-20,0.0,100.0,76.24,56.2,18.18,0.0
2000-06-27,0.0,100.0,76.24,56.2,18.17,0.0
2000-07-04,0.0,100.0,76.24,56.2,18.16,0.0
2000-07-11,23.76,76.24,76.24,56.2,18.16,0.0
2000-07-18,23.82,76.18,76.18,56.21,18.17,0.0
2000-07-25,25.75,74.25,74.25,52.48,14.01,0.0
2000-08-01,28.28,71.72,71.72,49.94,11.37,0.0
2000-08-08,28.28,71.72,71.72,49.94,11.37,0.0
2000-08-15,28.28,71.72,71.72,49.94,11.37,0.0
2000-08-22,39.51,60.49,60.49,47.23,11.37,0.0
2000-08-29,39.51,60.49,60.49,47.23,11.37,0.0
2000-09-05,39.51,60.49,60.49,47.23,10.15,0.0
2000-09-12,39.51,60.49,60.49,47.23,10.15,0.0
2000-09-19,38.89,61.11,61.11,27.84,0.0,0.0
2000-09-26,38.89,61.11,61.11,27.84,0.0,0.0
2000-10-03,43.22,56.78,36.74,17.31,0.0,0.0
2000-10-10,42.03,57.97,36.74,17.31,0.0,0.0
2000-10-17,42.03,57.97,36.74,20.42,0.0,0.0
2000-10-24,42.03,57.97,34.86,20.78,0.0,0.0
2000-10-31,42.03,57.97,34.86,20.78,0.0,0.0
2000-11-07,61.29,38.71,18.49,0.0,0.0,0.0
2000-11-14,61.29,38.71,18.49,0.0,0.0,0.0
2000-11-21,61.29,38.71,18.5,0.0,0.0,0.0
2000-11-28,61.29,38.71,18.49,0.0,0.0,0.0
2000-12-05,64.51,35.49,18.49,0.0,0.0,0.0
2000-12-12,71.05,28.95,4.3,0.0,0.0,0.0
2000-12-19,71.05,28.95,4.3,0.0,0.0,0.0
2000-12-26,71.05,28.95,4.3,0.0,0.0,0.0
2001-01-02,69.24,30.76,4.3,0.0,0.0,0.0
2001-01-09,4.1,95.9,6.26,3.97,0.0,0.0
2001-01-16,5.34,94.66,69.59,3.97,0.0,0.0
2001-01-23,5.34,94.66,78.21,3.97,0.0,0.0
2001-01-30,5.34,94.66,78.21,3.97,0.0,0.0
2001-02-06,4.06,95.94,79.34,43.63,0.0,0.0
2001-02-13,11.53,88.47,75.51,26.75,0.0,0.0
2001-02-20,11.49,88.51,75.55,26.75,0.0,0.0
2001-02-27,16.82,83.18,75.55,29.91,3.97,0.0
2001-03-06,16.82,83.18,76.11,29.91,3.97,0.0
2001-03-13,16.79,83.21,78.35,35.88,3.97,0.0
2001-03-20,16.79,83.21,41.2,29.96,3.97,0.0
2001-03-27,16.72,83.28,41.27,30.01,3.97,0.0
2001-04-03,61.23,38.77,38.77,6.81,3.97,0.0
2001-04-10,61.23,38.77,38.77,12.27,3.97,0.0
2001-04-17,63.11,36.89,36.89,12.27,3.97,0.0
2001-04-24,63.11,36.89,36.89,12.29,3.97,0.0
2001-05-01,63.11,36.89,36.89,12.26,3.97,0.0
2001-05-08,63.11,36.89,36.89,12.27,3.97,0.0
2001-05-15,49.14,50.86,44.62,27.19,3.97,0.0
2001-05-22,49.14,50.86,44.62,27.19,3.97,0.0
2001-05-29,49.14,50.86,44.62,27.19,3.97,0.0
2001-06-05,49.13,50.87,44.63,27.2,3.97,0.0
2001-06-12,33.33,66.67,30.77,13.48,0.83,0.0
2001-06-19,33.32,66.68,30.77,13.48,0.83,0.0
2001-06-26,33.26,66.74,30.77,13.48,0.0,0.0
2001-07-03,32.84,67.16,30.74,13.39,0.0,0.0
2001-07-10,20.08,79.92,37.1,13.38,0.0,0.0
2001-07-17,20.08,79.92,37.1,13.38,0.0,0.0
2001-07-24,17.83,82.17,46.13,13.38,0.0,0.0
2001-07-31,17.83,82.17,46.13,13.38,0.0,0.0
2001-08-07,17.83,82.17,46.13,13.38,0.0,0.0
2001-08-14,17.83,82.17,46.13,13.38,0.0,0.0
2001-08-21,30.07,69.93,28.72,9.24,0.0,0.0
2001-08-28,29.19,70.81,28.64,9.19,0.0,0.0
2001-09-04,30.97,69.03,28.64,9.19,0.0,0.0
2001-09-11,30.97,69.03,28.76,9.19,0.0,0.0
2001-09-18,20.01,79.99,28.76,9.19,0.0,0.0
2001-09-25,19.26,80.74,28.76,9.19,0.0,0.0
2001-10-02,19.26,80.74,28.76,9.19,0.0,0.0
2001-10-09,46.1,53.9,24.31,6.73,0.0,0.0
2001-10-16,46.1,53.9,22.78,6.73,0.0,0.0
2001-10-23,46.1,53.9,22.98,8.42,0.0,0.0
2001-10-30,46.1,53.9,22.98,11.64,0.0,0.0
2001-11-06,46.1,53.9,22.98,11.64,0.0,0.0
2001-11-13,46.1,53.9,22.98,11.64,0.0,0.0
2001-11-20,46.1,53.9,22.98,11.64,0.0,0.0
2001-11-27,46.1,53.9,22.98,11.64,0.0,0.0
2001-12-04,78.7,21.3,15.99,1.56,0.0,0.0
2001-12-11,78.7,21.3,15.99,1.56,0.0,0.0
2001-12-18,78.7,21.3,6.12,1.56,0.0,0.0
2001-12-25,78.7,21.3,6.12,1.56,0.0,0.0
2002-01-01,78.94,21.06,6.12,1.54,0.0,0.0
2002-01-08,78.16,21.84,6.12,1.6,0.0,0.0
2002-01-15,78.76,21.24,6.18,1.82,0.0,0.0
2002-01-22,80.07,19.93,5.45,0.42,0.0,0.0
2002-01-29,98.0,2.0,2.0,0.0,0.0,0.0
2002-02-05,98.13,1.87,1.87,0.0,0.0,0.0
2002-02-12,98.25,1.75,1.75,0.0,0.0,0.0
2002-02-19,98.06,1.94,1.94,0.0,0.0,0.0
2002-02-26,98.09,1.91,1.91,0.0,0.0,0.0
2002-03-05,98.14,1.86,1.86,0.0,0.0,0.0
2002-03-12,98.08,1.92,1.92,0.0,0.0,0.0
2002-03-19,98.11,1.89,1.89,0.0,0.0,0.0
2002-03-26,98.09,1.91,1.91,0.0,0.0,0.0
2002-04-02,98.13,1.87,1.87,0.0,0.0,0.0
2002-04-09,98.11,1.89,0.0,0.0,0.0,0.0
2002-04-16,98.02,1.98,0.0,0.0,0.0,0.0
2002-04-23,98.04,1.96,0.0,0.0,0.0,0.0
2002-04-30,98.15,1.85,0.0,0.0,0.0,0.0
2002-05-07,98.13,1.87,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,98.06,1.94,0.0,0.0,0.0,0.0
2002-05-28,97.99,2.01,0.0,0.0,0.0,0.0
2002-06-04,98.19,1.81,0.0,0.0,0.0,0.0
2002-06-11,98.01,1.99,0.0,0.0,0.0,0.0
2002-06-18,98.03,1.97,0.0,0.0,0.0,0.0
2002-06-25,97.96,2.04,0.0,0.0,0.0,0.0
2002-07-02,97.77,2.23,0.0,0.0,0.0,0.0
2002-07-09,95.03,4.97,0.0,0.0,0.0,0.0
2002-07-16,95.36,4.64,0.0,0.0,0.0,0.0
2002-07-23,94.7,5.3,0.0,0.0,0.0,0.0
2002-07-30,94.89,5.11,0.0,0.0,0.0,0.0
2002-08-06,94.77,5.23,0.0,0.0,0.0,0.0
2002-08-13,94.81,5.19,0.0,0.0,0.0,0.0
2002-08-20,94.82,5.18,0.0,0.0,0.0,0.0
2002-08-27,94.79,5.21,0.0,0.0,0.0,0.0
2002-09-03,94.65,5.35,0.0,0.0,0.0,0.0
2002-09-10,92.82,7.18,0.0,0.0,0.0,0.0
2002-09-17,92.82,7.18,0.0,0.0,0.0,0.0
2002-09-24,92.91,7.09,0.0,0.0,0.0,0.0
2002-10-01,88.05,11.95,0.0,0.0,0.0,0.0
2002-10-08,88.15,11.85,0.0,0.0,0.0,0.0
2002-10-15,88.58,11.42,2.0,0.0,0.0,0.0
2002-10-22,98.01,1.99,0.0,0.0,0.0,0.0
2002-10-29,97.99,2.01,0.0,0.0,0.0,0.0
2002-11-05,98.0,2.0,2.0,0.0,0.0,0.0
2002-11-12,98.06,1.94,1.94,0.0,0.0,0.0
2002-11-19,98.01,1.99,1.99,0.0,0.0,0.0
2002-11-26,98.09,1.91,1.91,0.0,0.0,0.0
2002-12-03,98.15,1.85,1.85,0.0,0.0,0.0
2002-12-10,71.66,28.34,1.88,0.0,0.0,0.0
2002-12-17,59.42,40.58,1.87,0.0,0.0,0.0
2002-12-24,60.16,39.84,5.61,0.0,0.0,0.0
2002-12-31,59.79,40.21,5.61,0.0,0.0,0.0
2003-01-07,0.0,100.0,14.91,0.0,0.0,0.0
2003-01-14,0.0,100.0,14.45,0.0,0.0,0.0
2003-01-21,0.0,100.0,12.57,0.0,0.0,0.0
2003-01-28,0.0,100.0,14.72,0.0,0.0,0.0
2003-02-04,0.0,100.0,42.11,0.0,0.0,0.0
2003-02-11,0.0,100.0,42.8,0.0,0.0,0.0
2003-02-18,0.0,100.0,41.92,0.0,0.0,0.0
2003-02-25,9.55,90.45,41.34,0.0,0.0,0.0
2003-03-04,9.55,90.45,40.73,0.0,0.0,0.0
2003-03-11,9.55,90.45,42.7,0.0,0.0,0.0
2003-03-18,9.55,90.45,40.16,0.0,0.0,0.0
2003-03-25,9.55,90.45,40.61,0.0,0.0,0.0
2003-04-01,9.55,90.45,40.49,0.0,0.0,0.0
2003-04-08,18.58,81.42,66.57,0.0,0.0,0.0
