Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,73.09,0.0,0.0,0.0
2000-01-11,0.0,100.0,80.37,0.0,0.0,0.0
2000-01-18,0.0,100.0,80.45,0.0,0.0,0.0
2000-01-25,0.0,100.0,80.82,0.0,0.0,0.0
2000-02-01,0.0,100.0,88.07,0.0,0.0,0.0
2000-02-08,0.0,100.0,88.07,0.0,0.0,0.0
2000-02-15,0.0,100.0,88.07,0.0,0.0,0.0
2000-02-22,5.44,94.56,79.71,0.0,0.0,0.0
2000-02-29,9.45,90.55,69.85,17.61,0.0,0.0
2000-03-07,9.45,90.55,71.41,17.61,0.0,0.0
2000-03-14,9.17,90.83,73.61,24.54,0.0,0.0
2000-03-21,9.17,90.83,73.61,24.54,0.0,0.0
2000-03-28,10.18,89.82,73.61,24.54,0.0,0.0
2000-04-04,3.56,96.44,81.62,42.92,0.0,0.0
2000-04-11,6.16,93.84,84.95,44.76,0.0,0.0
2000-04-18,4.85,95.15,89.75,46.57,0.0,0.0
2000-04-25,5.08,94.92,77.02,44.97,0.0,0.0
2000-05-02,5.08,94.92,77.14,44.64,0.0,0.0
2000-05-09,0.47,99.53,63.17,28.5,0.0,0.0
2000-05-16,0.0,100.0,80.33,36.95,0.0,0.0
2000-05-23,21.03,78.97,64.6,29.85,0.0,0.0
2000-05-30,23.68,76.32,35.31,18.28,0.0,0.0
2000-06-06,39.02,60.98,22.33,13.68,0.0,0.0
2000-06-13,32.4,67.6,31.79,13.56,0.0,0.0
2000-06-20,51.69,48.31,26.67,16.02,0.0,0.0
2000-06-27,82.03,17.97,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,99.85,0.15,0.0,0.0,0.0,0.0
2000-07-18,97.38,2.62,0.0,0.0,0.0,0.0
2000-07-25,97.32,2.68,0.0,0.0,0.0,0.0
2000-08-01,99.33,0.67,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,99.99,0.01,0.0,0.0,0.0,0.0
2000-08-22,99.99,0.01,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,95.5,4.5,0.0,0.0,0.0,0.0
2000-09-12,94.86,5.14,0.0,0.0,0.0,0.0
2000-09-19,71.46,28.54,0.01,0.0,0.0,0.0
2000-09-26,99.37,0.63,0.0,0.0,0.0,0.0
2000-10-03,99.37,0.63,0.0,0.0,0.0,0.0
2000-10-10,99.16,0.84,0.0,0.0,0.0,0.0
