Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,95.41,48.59,0.0,0.0
2000-01-11,0.0,100.0,82.85,48.59,0.0,0.0
2000-01-18,0.0,100.0,82.85,48.59,0.0,0.0
2000-01-25,0.0,100.0,80.2,48.59,0.0,0.0
2000-02-01,0.0,100.0,74.33,45.45,0.0,0.0
2000-02-08,0.0,100.0,74.33,46.7,0.0,0.0
2000-02-15,0.0,100.0,74.33,38.65,0.0,0.0
2000-02-22,21.79,78.21,67.58,38.65,0.0,0.0
2000-02-29,27.24,72.76,62.88,33.83,0.0,0.0
2000-03-07,27.45,72.55,62.25,33.83,0.0,0.0
2000-03-14,27.55,72.45,62.39,35.5,0.0,0.0
2000-03-21,27.55,72.45,62.39,36.04,0.0,0.0
2000-03-28,29.36,70.64,62.39,36.04,0.0,0.0
2000-04-04,25.06,74.94,70.22,44.78,0.0,0.0
2000-04-11,34.48,65.52,57.46,43.5,0.0,0.0
2000-04-18,26.85,73.15,68.08,45.3,0.0,0.0
2000-04-25,28.04,71.96,56.11,19.01,0.0,0.0
2000-05-02,28.04,71.96,61.59,27.11,0.0,0.0
2000-05-09,24.49,75.51,58.09,21.74,0.0,0.0
2000-05-16,13.59,86.41,60.57,23.68,0.0,0.0
2000-05-23,50.96,49.04,21.11,0.0,0.0,0.0
2000-05-30,57.28,42.72,12.66,0.0,0.0,0.0
2000-06-06,59.94,40.06,11.96,0.0,0.0,0.0
2000-06-13,20.64,79.36,12.15,0.0,0.0,0.0
2000-06-20,83.06,16.94,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,97.26,2.74,0.0,0.0,0.0,0.0
2000-07-25,99.14,0.86,0.0,0.0,0.0,0.0
2000-08-01,99.9,0.1,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,99.97,0.03,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,72.8,27.2,0.0,0.0,0.0,0.0
2001-01-30,99.99,0.01,0.0,0.0,0.0,0.0
2001-02-06,99.99,0.01,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,54.66,45.34,0.0,0.0,0.0,0.0
2001-04-03,25.37,74.63,6.97,0.0,0.0,0.0
2001-04-10,49.61,50.39,6.05,0.0,0.0,0.0
2001-04-17,75.85,24.15,3.63,0.0,0.0,0.0
2001-04-24,45.16,54.84,14.17,0.0,0.0,0.0
2001-05-01,33.98,66.02,32.64,0.0,0.0,0.0
2001-05-08,1.91,98.09,64.23,32.53,0.0,0.0
2001-05-15,1.88,98.12,76.28,45.09,0.0,0.0
2001-05-22,23.82,76.18,45.18,4.5,0.0,0.0
2001-05-29,38.42,61.58,41.67,3.75,0.0,0.0
2001-06-05,55.65,44.35,18.52,0.0,0.0,0.0
2001-06-12,80.03,19.97,6.74,0.0,0.0,0.0
2001-06-19,70.71,29.29,11.79,0.0,0.0,0.0
2001-06-26,70.71,29.29,11.79,0.0,0.0,0.0
2001-07-03,67.2,32.8,11.79,0.0,0.0,0.0
2001-07-10,92.3,7.7,0.0,0.0,0.0,0.0
2001-07-17,92.3,7.7,0.0,0.0,0.0,0.0
2001-07-24,87.55,12.45,0.12,0.0,0.0,0.0
2001-07-31,98.45,1.55,0.0,0.0,0.0,0.0
2001-08-07,98.95,1.05,0.0,0.0,0.0,0.0
2001-08-14,87.85,12.15,0.0,0.0,0.0,0.0
2001-08-21,100.0,0.0,0.0,0.0,0.0,0.0
2001-08-28,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-04,99.75,0.25,0.0,0.0,0.0,0.0
2001-09-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
