Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,83.0,0.0,0.0,0.0
2000-01-11,0.0,100.0,66.75,0.0,0.0,0.0
2000-01-18,0.0,100.0,66.75,0.0,0.0,0.0
2000-01-25,0.0,100.0,53.74,0.0,0.0,0.0
2000-02-01,0.0,100.0,59.22,0.0,0.0,0.0
2000-02-08,0.0,100.0,63.04,0.0,0.0,0.0
2000-02-15,0.0,100.0,63.04,0.0,0.0,0.0
2000-02-22,41.24,58.76,15.88,0.0,0.0,0.0
2000-02-29,74.04,25.96,6.07,0.0,0.0,0.0
2000-03-07,50.3,49.7,14.72,0.0,0.0,0.0
2000-03-14,50.1,49.9,14.72,0.0,0.0,0.0
2000-03-21,50.12,49.88,15.41,0.0,0.0,0.0
2000-03-28,58.48,41.52,6.07,0.0,0.0,0.0
2000-04-04,53.14,46.86,0.0,0.0,0.0,0.0
2000-04-11,83.19,16.81,0.0,0.0,0.0,0.0
2000-04-18,94.51,5.49,0.0,0.0,0.0,0.0
2000-04-25,88.73,11.27,0.0,0.0,0.0,0.0
2000-05-02,88.73,11.27,0.0,0.0,0.0,0.0
2000-05-09,91.54,8.46,0.3,0.0,0.0,0.0
2000-05-16,88.05,11.95,0.52,0.0,0.0,0.0
2000-05-23,78.09,21.91,0.43,0.0,0.0,0.0
2000-05-30,85.86,14.14,0.0,0.0,0.0,0.0
2000-06-06,85.86,14.14,0.0,0.0,0.0,0.0
2000-06-13,7.6,92.4,0.0,0.0,0.0,0.0
2000-06-20,49.06,50.94,0.0,0.0,0.0,0.0
2000-06-27,45.68,54.32,4.28,0.0,0.0,0.0
2000-07-04,45.78,54.22,0.0,0.0,0.0,0.0
2000-07-11,43.29,56.71,0.0,0.0,0.0,0.0
2000-07-18,24.03,75.97,29.12,0.0,0.0,0.0
2000-07-25,28.68,71.32,29.8,0.0,0.0,0.0
2000-08-01,34.98,65.02,25.35,0.0,0.0,0.0
2000-08-08,75.69,24.31,2.99,0.0,0.0,0.0
2000-08-15,77.2,22.8,2.99,0.0,0.0,0.0
2000-08-22,77.82,22.18,3.33,0.0,0.0,0.0
2000-08-29,81.45,18.55,3.33,0.0,0.0,0.0
