Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,75.87,39.27,0.0,0.0
2000-01-11,0.0,100.0,78.19,39.44,0.0,0.0
2000-01-18,0.0,100.0,78.19,56.12,0.0,0.0
2000-01-25,0.0,100.0,82.54,55.69,0.0,0.0
2000-02-01,0.0,100.0,85.99,66.89,0.0,0.0
2000-02-08,0.0,100.0,87.95,66.87,0.0,0.0
2000-02-15,0.0,100.0,87.95,66.87,0.0,0.0
2000-02-22,0.0,100.0,87.94,67.2,0.0,0.0
2000-02-29,0.0,100.0,96.01,63.92,0.0,0.0
2000-03-07,0.0,100.0,100.0,74.22,0.0,0.0
2000-03-14,0.0,100.0,100.0,96.78,0.0,0.0
2000-03-21,0.0,100.0,99.43,88.91,0.0,0.0
2000-03-28,0.0,100.0,94.6,61.1,0.0,0.0
2000-04-04,0.0,100.0,71.78,59.15,0.0,0.0
2000-04-11,25.94,74.06,63.64,56.76,0.0,0.0
2000-04-18,27.45,72.55,65.68,54.11,0.0,0.0
2000-04-25,35.27,64.73,52.61,46.06,18.53,0.0
2000-05-02,35.27,64.73,53.4,47.88,28.01,0.0
2000-05-09,36.55,63.45,45.91,39.25,28.01,0.0
2000-05-16,36.56,63.44,45.91,39.25,30.06,0.0
2000-05-23,46.41,53.59,45.91,39.25,30.06,0.0
2000-05-30,44.72,55.28,46.88,42.81,30.93,16.99
2000-06-06,45.07,54.93,47.35,42.81,30.64,18.66
2000-06-13,47.2,52.8,47.35,42.81,30.41,20.36
2000-06-20,46.44,53.56,47.35,42.81,30.41,20.36
2000-06-27,46.44,53.56,47.72,42.81,29.44,20.36
2000-07-04,45.26,54.74,48.23,39.14,23.42,0.0
2000-07-11,43.12,56.88,48.22,39.14,23.42,0.0
2000-07-18,15.31,84.69,61.89,44.91,26.31,4.24
2000-07-25,13.1,86.9,66.1,40.78,27.18,16.6
2000-08-01,10.85,89.15,66.1,41.51,27.18,16.6
2000-08-08,8.6,91.4,66.1,41.51,27.75,16.6
2000-08-15,0.0,100.0,69.21,44.73,34.2,12.89
2000-08-22,0.0,100.0,73.43,58.59,44.68,21.56
2000-08-29,0.0,100.0,81.3,64.78,45.78,21.56
2000-09-05,0.0,100.0,100.0,85.47,64.65,31.77
2000-09-12,0.0,100.0,100.0,100.0,76.69,11.67
2000-09-19,0.0,100.0,100.0,100.0,59.32,0.0
2000-09-26,0.0,100.0,100.0,91.33,56.53,0.0
2000-10-03,0.0,100.0,100.0,91.33,56.53,0.0
2000-10-10,0.0,100.0,100.0,78.85,8.74,0.0
2000-10-17,0.0,100.0,100.0,85.5,47.99,0.0
2000-10-24,0.0,100.0,100.0,87.39,66.05,2.48
2000-10-31,0.0,100.0,100.0,100.0,75.38,15.63
2000-11-07,0.22,99.78,84.08,72.56,45.23,8.8
2000-11-14,13.26,86.74,78.42,62.58,39.31,5.74
2000-11-21,21.82,78.18,56.15,35.98,0.01,0.0
