Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,83.7,16.3,0.0,0.0,0.0,0.0
2000-01-18,83.39,16.61,0.0,0.0,0.0,0.0
2000-01-25,88.61,11.39,0.0,0.0,0.0,0.0
2000-02-01,90.09,9.91,0.0,0.0,0.0,0.0
2000-02-08,90.09,9.91,0.0,0.0,0.0,0.0
2000-02-15,90.09,9.91,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,95.47,4.53,0.0,0.0,0.0,0.0
2000-03-28,91.84,8.16,0.0,0.0,0.0,0.0
2000-04-04,95.27,4.73,0.0,0.0,0.0,0.0
2000-04-11,95.28,4.72,0.0,0.0,0.0,0.0
2000-04-18,89.33,10.67,0.0,0.0,0.0,0.0
2000-04-25,89.14,10.86,0.0,0.0,0.0,0.0
2000-05-02,89.14,10.86,0.0,0.0,0.0,0.0
2000-05-09,90.16,9.84,0.0,0.0,0.0,0.0
2000-05-16,90.16,9.84,0.0,0.0,0.0,0.0
2000-05-23,91.44,8.56,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,64.85,35.15,0.0,0.0,0.0,0.0
2000-11-07,0.0,100.0,0.0,0.0,0.0,0.0
2000-11-14,55.73,44.27,0.0,0.0,0.0,0.0
2000-11-21,58.67,41.33,0.0,0.0,0.0,0.0
2000-11-28,89.0,11.0,0.0,0.0,0.0,0.0
2000-12-05,89.0,11.0,0.0,0.0,0.0,0.0
2000-12-12,88.87,11.13,0.0,0.0,0.0,0.0
2000-12-19,94.03,5.97,0.0,0.0,0.0,0.0
2000-12-26,94.25,5.75,0.0,0.0,0.0,0.0
2001-01-02,94.25,5.75,0.0,0.0,0.0,0.0
2001-01-09,94.25,5.75,0.0,0.0,0.0,0.0
2001-01-16,94.24,5.76,0.0,0.0,0.0,0.0
2001-01-23,92.7,7.3,0.0,0.0,0.0,0.0
2001-01-30,90.73,9.27,0.0,0.0,0.0,0.0
2001-02-06,96.1,3.9,0.0,0.0,0.0,0.0
2001-02-13,96.08,3.92,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,99.37,0.63,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,0.0,100.0,0.0,0.0,0.0,0.0
2001-05-15,0.0,100.0,99.42,0.0,0.0,0.0
2001-05-22,0.0,100.0,81.3,0.0,0.0,0.0
2001-05-29,76.83,23.17,0.0,0.0,0.0,0.0
2001-06-05,93.48,6.52,0.0,0.0,0.0,0.0
