Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,28.14,71.86,0.0,0.0,0.0,0.0
2000-10-10,47.9,52.1,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,14.83,85.17,0.0,0.0,0.0,0.0
2001-05-15,14.83,85.17,0.0,0.0,0.0,0.0
2001-05-22,14.83,85.17,0.95,0.0,0.0,0.0
2001-05-29,0.0,100.0,28.37,0.0,0.0,0.0
2001-06-05,17.81,82.19,0.0,0.0,0.0,0.0
2001-06-12,24.83,75.17,0.0,0.0,0.0,0.0
2001-06-19,24.83,75.17,10.47,0.0,0.0,0.0
2001-06-26,24.83,75.17,10.47,0.0,0.0,0.0
2001-07-03,3.64,96.36,10.47,0.0,0.0,0.0
2001-07-10,3.64,96.36,10.47,0.0,0.0,0.0
2001-07-17,22.76,77.24,7.62,0.0,0.0,0.0
2001-07-24,37.31,62.69,7.62,0.0,0.0,0.0
2001-07-31,25.43,74.57,7.62,0.0,0.0,0.0
2001-08-07,1.69,98.31,21.24,0.0,0.0,0.0
2001-08-14,0.0,100.0,55.18,0.0,0.0,0.0
2001-08-21,0.06,99.94,83.36,0.0,0.0,0.0
2001-08-28,1.12,98.88,84.97,47.14,0.0,0.0
2001-09-04,2.2,97.8,73.94,41.71,0.0,0.0
2001-09-11,0.0,100.0,78.06,42.46,0.0,0.0
2001-09-18,0.0,100.0,78.06,42.46,0.0,0.0
2001-09-25,0.0,100.0,78.02,41.7,0.0,0.0
2001-10-02,0.0,100.0,57.45,9.21,0.0,0.0
2001-10-09,0.0,100.0,66.98,9.21,0.0,0.0
2001-10-16,0.0,100.0,68.93,9.61,0.0,0.0
2001-10-23,0.0,100.0,90.61,11.55,0.0,0.0
2001-10-30,0.0,100.0,100.0,48.17,0.0,0.0
2001-11-06,0.0,100.0,100.0,49.73,0.0,0.0
2001-11-13,0.0,100.0,100.0,49.73,0.0,0.0
2001-11-20,0.0,100.0,100.0,70.39,0.0,0.0
2001-11-27,0.0,100.0,100.0,70.39,0.0,0.0
2001-12-04,0.0,100.0,100.0,70.39,0.0,0.0
2001-12-11,0.0,100.0,100.0,70.39,0.0,0.0
2001-12-18,0.0,100.0,100.0,83.02,59.4,0.0
2001-12-25,0.0,100.0,100.0,83.02,59.4,0.0
2002-01-01,0.0,100.0,100.0,83.74,58.52,0.0
2002-01-08,0.0,100.0,100.0,99.29,61.67,0.0
2002-01-15,0.0,100.0,100.0,99.9,36.6,0.0
2002-01-22,0.0,100.0,100.0,99.47,34.92,0.0
2002-01-29,0.0,100.0,100.0,98.94,36.55,0.0
