Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,89.78,10.22,9.75,0.08,0.0,0.0
2000-01-11,83.08,16.92,15.99,0.08,0.0,0.0
2000-01-18,83.25,16.75,15.89,0.08,0.0,0.0
2000-01-25,38.95,61.05,8.43,0.08,0.0,0.0
2000-02-01,38.87,61.13,7.86,0.08,0.0,0.0
2000-02-08,38.87,61.13,7.86,0.67,0.0,0.0
2000-02-15,38.87,61.13,7.86,0.67,0.0,0.0
2000-02-22,38.87,61.13,7.86,0.67,0.0,0.0
2000-02-29,47.11,52.89,9.85,1.49,0.0,0.0
2000-03-07,47.11,52.89,11.85,1.49,0.0,0.0
2000-03-14,50.64,49.36,13.79,3.14,0.0,0.0
2000-03-21,40.77,59.23,13.79,3.14,0.0,0.0
2000-03-28,34.29,65.71,13.79,3.14,0.0,0.0
2000-04-04,27.74,72.26,25.49,3.93,0.0,0.0
2000-04-11,27.91,72.09,59.0,8.49,0.0,0.0
2000-04-18,27.12,72.88,56.72,12.73,0.0,0.0
2000-04-25,28.27,71.73,37.0,0.0,0.0,0.0
2000-05-02,28.27,71.73,38.15,0.0,0.0,0.0
2000-05-09,28.27,71.73,42.9,0.0,0.0,0.0
2000-05-16,0.21,99.79,43.05,0.0,0.0,0.0
2000-05-23,55.94,44.06,9.04,0.0,0.0,0.0
2000-05-30,57.52,42.48,10.06,0.0,0.0,0.0
2000-06-06,58.1,41.9,9.61,0.0,0.0,0.0
2000-06-13,58.49,41.51,9.61,0.0,0.0,0.0
2000-06-20,59.1,40.9,9.59,0.0,0.0,0.0
2000-06-27,66.0,34.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,76.54,23.46,0.0,0.0,0.0,0.0
2000-07-25,76.54,23.46,0.0,0.0,0.0,0.0
2000-08-01,83.39,16.61,0.0,0.0,0.0,0.0
2000-08-08,82.6,17.4,0.0,0.0,0.0,0.0
2000-08-15,88.14,11.86,0.0,0.0,0.0,0.0
2000-08-22,80.68,19.32,7.85,0.0,0.0,0.0
2000-08-29,80.68,19.32,7.85,0.0,0.0,0.0
