Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,10.49,89.51,10.79,3.58,0.0,0.0
2000-01-11,14.09,85.91,11.24,3.58,0.0,0.0
2000-01-18,14.37,85.63,11.24,3.58,0.0,0.0
2000-01-25,15.56,84.44,15.1,3.58,0.0,0.0
2000-02-01,15.56,84.44,72.12,3.3,0.0,0.0
2000-02-08,15.56,84.44,72.12,3.3,0.0,0.0
2000-02-15,15.56,84.44,72.12,3.3,0.0,0.0
2000-02-22,15.56,84.44,72.12,3.3,0.0,0.0
2000-02-29,4.23,95.77,80.42,5.42,0.0,0.0
2000-03-07,4.23,95.77,83.15,5.42,0.0,0.0
2000-03-14,8.06,91.94,51.14,5.42,0.0,0.0
2000-03-21,8.06,91.94,51.14,5.42,0.0,0.0
2000-03-28,7.93,92.07,51.14,5.42,0.0,0.0
2000-04-04,6.11,93.89,48.63,8.33,0.0,0.0
2000-04-11,22.03,77.97,33.79,6.56,0.0,0.0
2000-04-18,26.18,73.82,37.44,6.76,0.0,0.0
2000-04-25,12.98,87.02,35.46,6.77,0.0,0.0
2000-05-02,0.48,99.52,35.41,6.77,0.0,0.0
2000-05-09,0.48,99.52,35.41,6.56,0.0,0.0
2000-05-16,0.0,100.0,42.64,11.4,0.0,0.0
2000-05-23,69.19,30.81,0.0,0.0,0.0,0.0
2000-05-30,84.91,15.09,0.0,0.0,0.0,0.0
2000-06-06,88.11,11.89,0.0,0.0,0.0,0.0
2000-06-13,64.92,35.08,8.4,0.0,0.0,0.0
2000-06-20,90.97,9.03,0.0,0.0,0.0,0.0
2000-06-27,98.7,1.3,0.0,0.0,0.0,0.0
2000-07-04,99.95,0.05,0.0,0.0,0.0,0.0
2000-07-11,98.96,1.04,0.0,0.0,0.0,0.0
2000-07-18,97.7,2.3,0.24,0.0,0.0,0.0
2000-07-25,94.57,5.43,0.24,0.0,0.0,0.0
2000-08-01,94.57,5.43,0.66,0.0,0.0,0.0
2000-08-08,98.41,1.59,0.0,0.0,0.0,0.0
2000-08-15,98.41,1.59,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
