Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,29.27,70.73,6.82,0.0,0.0,0.0
2000-01-11,29.42,70.58,20.52,0.0,0.0,0.0
2000-01-18,0.0,100.0,32.64,0.0,0.0,0.0
2000-01-25,0.0,100.0,34.89,0.0,0.0,0.0
2000-02-01,0.0,100.0,38.7,0.09,0.0,0.0
2000-02-08,0.0,100.0,38.7,0.09,0.0,0.0
2000-02-15,0.0,100.0,38.7,0.09,0.0,0.0
2000-02-22,0.0,100.0,33.21,0.09,0.0,0.0
2000-02-29,36.73,63.27,39.88,1.99,0.0,0.0
2000-03-07,36.73,63.27,37.46,1.99,0.0,0.0
2000-03-14,39.05,60.95,37.46,2.31,0.0,0.0
2000-03-21,46.92,53.08,33.49,2.31,0.0,0.0
2000-03-28,41.5,58.5,30.47,2.3,0.0,0.0
2000-04-04,6.97,93.03,39.37,11.83,0.0,0.0
2000-04-11,9.52,90.48,80.49,14.51,0.0,0.0
2000-04-18,10.44,89.56,77.37,21.21,0.0,0.0
2000-04-25,2.61,97.39,81.38,46.11,0.0,0.0
2000-05-02,0.0,100.0,97.61,75.73,0.0,0.0
2000-05-09,1.44,98.56,92.9,70.64,0.0,0.0
2000-05-16,1.44,98.56,91.4,69.6,0.0,0.0
2000-05-23,1.19,98.81,96.81,76.4,4.64,0.0
2000-05-30,8.27,91.73,72.53,39.09,2.44,0.0
2000-06-06,6.55,93.45,77.69,44.68,10.6,0.0
2000-06-13,6.47,93.53,84.77,47.97,16.91,0.0
2000-06-20,17.94,82.06,59.75,33.89,6.93,0.0
2000-06-27,31.76,68.24,37.66,14.72,0.0,0.0
2000-07-04,64.46,35.54,14.16,0.0,0.0,0.0
2000-07-11,73.45,26.55,10.14,0.0,0.0,0.0
2000-07-18,68.34,31.66,0.22,0.0,0.0,0.0
2000-07-25,72.06,27.94,1.94,0.0,0.0,0.0
2000-08-01,86.99,13.01,1.12,0.0,0.0,0.0
2000-08-08,91.29,8.71,1.12,0.0,0.0,0.0
2000-08-15,86.32,13.68,1.14,0.0,0.0,0.0
2000-08-22,87.35,12.65,2.44,0.0,0.0,0.0
2000-08-29,77.37,22.63,3.88,0.0,0.0,0.0
2000-09-05,47.06,52.94,12.75,0.7,0.0,0.0
2000-09-12,42.45,57.55,28.4,2.25,0.0,0.0
2000-09-19,21.66,78.34,54.96,18.69,0.0,0.0
2000-09-26,37.53,62.47,20.72,9.05,0.22,0.0
2000-10-03,37.53,62.47,28.7,9.05,0.22,0.0
2000-10-10,57.65,42.35,28.7,8.75,0.0,0.0
2000-10-17,50.06,49.94,19.65,0.18,0.0,0.0
2000-10-24,58.73,41.27,17.3,3.19,0.44,0.0
2000-10-31,50.84,49.16,18.29,1.72,0.34,0.0
2000-11-07,59.61,40.39,5.69,1.53,0.17,0.0
2000-11-14,76.58,23.42,7.35,1.09,0.28,0.0
2000-11-21,74.42,25.58,7.05,1.06,0.28,0.0
2000-11-28,79.24,20.76,6.41,0.1,0.0,0.0
2000-12-05,81.86,18.14,5.57,0.1,0.0,0.0
2000-12-12,83.91,16.09,6.16,0.1,0.0,0.0
2000-12-19,83.32,16.68,4.74,0.0,0.0,0.0
2000-12-26,82.47,17.53,4.82,0.0,0.0,0.0
2001-01-02,82.47,17.53,4.97,0.0,0.0,0.0
2001-01-09,53.78,46.22,6.17,0.0,0.0,0.0
2001-01-16,53.78,46.22,6.17,0.0,0.0,0.0
2001-01-23,8.99,91.01,10.07,0.63,0.0,0.0
2001-01-30,67.28,32.72,4.25,0.0,0.0,0.0
2001-02-06,67.28,32.72,3.77,0.0,0.0,0.0
2001-02-13,90.8,9.2,1.69,0.69,0.0,0.0
2001-02-20,97.21,2.79,1.01,0.0,0.0,0.0
2001-02-27,98.37,1.63,0.0,0.0,0.0,0.0
2001-03-06,98.37,1.63,0.0,0.0,0.0,0.0
2001-03-13,98.36,1.64,0.0,0.0,0.0,0.0
2001-03-20,94.13,5.87,0.0,0.0,0.0,0.0
2001-03-27,86.18,13.82,0.0,0.0,0.0,0.0
2001-04-03,90.01,9.99,0.0,0.0,0.0,0.0
2001-04-10,94.88,5.12,0.0,0.0,0.0,0.0
2001-04-17,90.27,9.73,0.0,0.0,0.0,0.0
2001-04-24,81.98,18.02,5.88,0.0,0.0,0.0
2001-05-01,49.28,50.72,26.29,0.0,0.0,0.0
2001-05-08,49.07,50.93,29.12,18.07,0.0,0.0
2001-05-15,39.81,60.19,29.35,18.06,0.0,0.0
2001-05-22,69.84,30.16,23.75,8.99,0.0,0.0
2001-05-29,69.84,30.16,23.75,8.28,0.0,0.0
2001-06-05,74.01,25.99,17.09,8.28,0.0,0.0
2001-06-12,75.99,24.01,17.09,9.34,0.0,0.0
2001-06-19,78.69,21.31,15.19,6.85,0.0,0.0
2001-06-26,78.69,21.31,15.19,6.85,0.0,0.0
2001-07-03,77.96,22.04,15.19,6.85,0.0,0.0
2001-07-10,77.85,22.15,13.47,4.65,0.0,0.0
2001-07-17,77.85,22.15,13.47,4.65,0.0,0.0
2001-07-24,80.71,19.29,11.79,2.28,0.0,0.0
2001-07-31,82.53,17.47,4.17,2.26,0.0,0.0
2001-08-07,84.73,15.27,4.17,2.26,0.0,0.0
2001-08-14,98.46,1.54,0.75,0.0,0.0,0.0
2001-08-21,88.7,11.3,0.75,0.0,0.0,0.0
2001-08-28,86.44,13.56,0.98,0.0,0.0,0.0
2001-09-04,72.22,27.78,1.2,0.24,0.0,0.0
2001-09-11,95.06,4.94,0.98,0.24,0.0,0.0
2001-09-18,95.23,4.77,0.98,0.24,0.0,0.0
2001-09-25,97.01,2.99,0.98,0.24,0.0,0.0
2001-10-02,82.5,17.5,0.98,0.24,0.0,0.0
2001-10-09,83.37,16.63,0.98,0.24,0.0,0.0
2001-10-16,92.42,7.58,0.0,0.0,0.0,0.0
2001-10-23,92.42,7.58,0.0,0.0,0.0,0.0
2001-10-30,98.52,1.48,0.0,0.0,0.0,0.0
2001-11-06,98.52,1.48,0.0,0.0,0.0,0.0
2001-11-13,98.52,1.48,0.0,0.0,0.0,0.0
2001-11-20,91.17,8.83,0.0,0.0,0.0,0.0
2001-11-27,93.62,6.38,0.0,0.0,0.0,0.0
2001-12-04,90.68,9.32,0.0,0.0,0.0,0.0
2001-12-11,90.84,9.16,0.0,0.0,0.0,0.0
2001-12-18,98.39,1.61,0.0,0.0,0.0,0.0
2001-12-25,76.28,23.72,0.0,0.0,0.0,0.0
2002-01-01,74.22,25.78,0.32,0.0,0.0,0.0
2002-01-08,73.63,26.37,0.4,0.0,0.0,0.0
2002-01-15,74.73,25.27,0.43,0.0,0.0,0.0
2002-01-22,74.04,25.96,0.69,0.0,0.0,0.0
2002-01-29,74.43,25.57,0.18,0.0,0.0,0.0
2002-02-05,98.19,1.81,0.0,0.0,0.0,0.0
2002-02-12,99.65,0.35,0.0,0.0,0.0,0.0
2002-02-19,99.57,0.43,0.0,0.0,0.0,0.0
2002-02-26,97.44,2.56,0.0,0.0,0.0,0.0
2002-03-05,97.59,2.41,0.0,0.0,0.0,0.0
2002-03-12,99.01,0.99,0.0,0.0,0.0,0.0
2002-03-19,96.93,3.07,0.0,0.0,0.0,0.0
2002-03-26,97.49,2.51,0.0,0.0,0.0,0.0
2002-04-02,97.03,2.97,0.0,0.0,0.0,0.0
2002-04-09,96.93,3.07,0.54,0.0,0.0,0.0
2002-04-16,71.28,28.72,0.59,0.0,0.0,0.0
2002-04-23,98.87,1.13,0.0,0.0,0.0,0.0
2002-04-30,98.09,1.91,0.27,0.0,0.0,0.0
2002-05-07,99.63,0.37,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
