Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,47.02,6.53,0.0,0.0
2000-01-11,0.0,100.0,87.89,35.21,0.0,0.0
2000-01-18,0.0,100.0,87.85,49.38,0.0,0.0
2000-01-25,0.0,100.0,88.0,34.84,0.0,0.0
2000-02-01,0.0,100.0,89.08,25.83,0.0,0.0
2000-02-08,0.0,100.0,91.18,48.3,0.0,0.0
2000-02-15,0.0,100.0,91.18,48.3,0.0,0.0
2000-02-22,0.0,100.0,91.18,56.77,0.0,0.0
2000-02-29,0.0,100.0,89.18,38.3,0.0,0.0
2000-03-07,0.0,100.0,100.0,64.47,0.0,0.0
2000-03-14,0.0,100.0,95.66,80.41,0.0,0.0
2000-03-21,0.0,100.0,94.17,63.7,0.0,0.0
2000-03-28,0.0,100.0,83.32,34.67,0.0,0.0
2000-04-04,0.0,100.0,42.84,27.33,0.0,0.0
2000-04-11,57.79,42.21,20.85,13.1,0.0,0.0
2000-04-18,43.73,56.27,27.96,16.82,0.0,0.0
2000-04-25,58.38,41.62,16.04,7.95,0.0,0.0
2000-05-02,58.38,41.62,15.04,9.19,0.0,0.0
2000-05-09,58.76,41.24,20.82,10.24,0.0,0.0
2000-05-16,52.18,47.82,21.6,10.04,4.87,0.0
2000-05-23,40.04,59.96,21.6,10.04,4.87,0.0
2000-05-30,31.76,68.24,34.31,18.97,5.42,0.0
2000-06-06,34.26,65.74,36.05,18.97,5.43,0.68
2000-06-13,28.73,71.27,45.71,19.48,6.36,0.69
2000-06-20,26.78,73.22,45.71,19.48,6.36,0.69
2000-06-27,25.83,74.17,41.05,19.48,6.34,0.69
2000-07-04,35.74,64.26,35.06,17.5,6.56,0.0
2000-07-11,2.46,97.54,63.47,17.72,6.56,0.0
2000-07-18,0.0,100.0,98.89,28.98,14.92,5.16
2000-07-25,0.0,100.0,100.0,68.68,28.16,9.22
2000-08-01,0.0,100.0,100.0,72.4,28.16,9.22
2000-08-08,0.0,100.0,100.0,72.4,25.82,9.22
2000-08-15,0.0,100.0,100.0,85.41,18.74,3.67
2000-08-22,0.0,100.0,100.0,88.94,37.13,4.9
2000-08-29,0.0,100.0,100.0,95.78,69.92,6.05
2000-09-05,0.0,100.0,100.0,100.0,95.44,15.51
2000-09-12,0.0,100.0,100.0,100.0,99.69,9.2
2000-09-19,0.0,100.0,100.0,100.0,98.11,13.69
2000-09-26,0.0,100.0,100.0,100.0,99.71,12.49
2000-10-03,0.0,100.0,100.0,100.0,99.71,12.49
2000-10-10,0.0,100.0,100.0,100.0,78.67,0.26
2000-10-17,0.0,100.0,100.0,100.0,100.0,12.4
2000-10-24,0.0,100.0,100.0,100.0,100.0,33.25
2000-10-31,0.0,100.0,100.0,100.0,100.0,63.81
2000-11-07,0.0,100.0,100.0,100.0,79.66,22.69
2000-11-14,0.0,100.0,100.0,100.0,60.73,21.46
2000-11-21,0.0,100.0,100.0,79.57,25.69,0.0
2000-11-28,1.1,98.9,66.98,35.76,0.0,0.0
2000-12-05,1.1,98.9,66.98,35.8,0.0,0.0
2000-12-12,1.08,98.92,66.98,35.8,0.0,0.0
2000-12-19,20.76,79.24,51.85,22.8,0.0,0.0
2000-12-26,22.66,77.34,40.08,19.35,0.0,0.0
2001-01-02,22.66,77.34,28.54,7.04,0.0,0.0
2001-01-09,22.65,77.35,33.57,7.46,0.0,0.0
2001-01-16,22.65,77.35,33.57,7.46,0.0,0.0
2001-01-23,58.97,41.03,13.27,9.34,0.0,0.0
2001-01-30,66.62,33.38,12.4,1.34,0.0,0.0
2001-02-06,66.62,33.38,12.4,1.34,0.0,0.0
2001-02-13,69.48,30.52,1.6,0.0,0.0,0.0
2001-02-20,83.36,16.64,0.0,0.0,0.0,0.0
2001-02-27,84.02,15.98,0.0,0.0,0.0,0.0
2001-03-06,96.47,3.53,0.0,0.0,0.0,0.0
2001-03-13,95.27,4.73,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,99.76,0.24,0.0,0.0,0.0,0.0
2001-04-17,83.41,16.59,0.0,0.0,0.0,0.0
2001-04-24,79.72,20.28,0.0,0.0,0.0,0.0
2001-05-01,88.04,11.96,0.0,0.0,0.0,0.0
2001-05-08,48.31,51.69,6.98,0.0,0.0,0.0
2001-05-15,48.31,51.69,11.65,0.0,0.0,0.0
2001-05-22,35.86,64.14,25.45,0.0,0.0,0.0
2001-05-29,35.86,64.14,28.52,0.0,0.0,0.0
2001-06-05,72.97,27.03,12.92,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,82.98,17.02,0.0,0.0,0.0,0.0
2001-06-26,82.98,17.02,0.0,0.0,0.0,0.0
2001-07-03,82.98,17.02,0.0,0.0,0.0,0.0
2001-07-10,95.36,4.64,0.0,0.0,0.0,0.0
2001-07-17,95.36,4.64,0.0,0.0,0.0,0.0
2001-07-24,93.97,6.03,0.0,0.0,0.0,0.0
2001-07-31,64.38,35.62,4.4,0.0,0.0,0.0
2001-08-07,79.11,20.89,4.4,0.0,0.0,0.0
2001-08-14,91.15,8.85,0.02,0.0,0.0,0.0
2001-08-21,91.89,8.11,0.02,0.0,0.0,0.0
2001-08-28,92.3,7.7,0.06,0.0,0.0,0.0
2001-09-04,96.47,3.53,0.05,0.0,0.0,0.0
2001-09-11,91.36,8.64,0.05,0.0,0.0,0.0
2001-09-18,97.03,2.97,0.05,0.0,0.0,0.0
2001-09-25,97.03,2.97,0.05,0.0,0.0,0.0
2001-10-02,97.03,2.97,0.05,0.0,0.0,0.0
