Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,2.25,97.75,56.22,32.57,0.0,0.0
2000-01-11,2.32,97.68,63.82,48.33,0.0,0.0
2000-01-18,2.32,97.68,67.6,48.33,0.0,0.0
2000-01-25,0.0,100.0,67.6,48.33,0.0,0.0
2000-02-01,10.76,89.24,69.04,53.92,0.0,0.0
2000-02-08,10.76,89.24,69.04,53.92,0.0,0.0
2000-02-15,10.76,89.24,69.04,53.92,0.0,0.0
2000-02-22,10.76,89.24,69.04,53.92,0.0,0.0
2000-02-29,9.0,91.0,68.63,46.68,0.0,0.0
2000-03-07,9.0,91.0,63.56,46.68,0.0,0.0
2000-03-14,21.04,78.96,60.54,47.5,0.0,0.0
2000-03-21,21.04,78.96,60.54,47.5,0.0,0.0
2000-03-28,20.9,79.1,58.53,41.49,0.0,0.0
2000-04-04,21.04,78.96,67.63,60.79,0.0,0.0
2000-04-11,21.01,78.99,67.62,50.33,0.0,0.0
2000-04-18,4.92,95.08,70.09,57.53,0.0,0.0
2000-04-25,16.1,83.9,70.1,46.42,0.0,0.0
2000-05-02,27.09,72.91,65.72,39.47,0.0,0.0
2000-05-09,27.09,72.91,65.72,38.36,0.0,0.0
2000-05-16,27.1,72.9,65.75,39.8,0.0,0.0
2000-05-23,26.91,73.09,51.89,41.6,4.71,0.0
2000-05-30,35.3,64.7,50.02,31.3,2.83,0.0
2000-06-06,34.62,65.38,46.91,28.63,5.17,0.0
2000-06-13,34.35,65.65,48.31,38.7,7.04,0.0
2000-06-20,29.23,70.77,56.04,45.96,1.42,0.0
2000-06-27,14.33,85.67,65.29,46.8,0.0,0.0
2000-07-04,0.23,99.77,81.14,47.27,7.74,0.0
2000-07-11,0.36,99.64,78.21,33.73,7.74,0.0
2000-07-18,0.01,99.99,76.98,31.62,8.24,0.0
2000-07-25,0.01,99.99,66.03,30.95,6.64,0.0
2000-08-01,0.82,99.18,65.16,30.95,6.64,0.0
2000-08-08,4.09,95.91,63.11,28.31,6.64,0.0
2000-08-15,3.28,96.72,80.09,44.29,8.62,0.0
2000-08-22,3.28,96.72,75.16,41.68,8.62,0.0
2000-08-29,1.51,98.49,75.53,41.68,9.67,0.0
2000-09-05,0.08,99.92,80.49,46.18,9.67,0.0
2000-09-12,0.0,100.0,88.7,55.06,12.62,0.0
2000-09-19,0.0,100.0,91.97,74.25,16.09,0.0
2000-09-26,0.0,100.0,77.78,60.85,2.29,0.0
2000-10-03,0.09,99.91,77.59,60.85,3.41,0.0
2000-10-10,0.15,99.85,77.59,60.85,3.41,0.0
2000-10-17,0.14,99.86,98.69,65.07,15.34,0.0
2000-10-24,0.0,100.0,90.26,63.56,17.24,0.0
2000-10-31,0.0,100.0,89.95,29.99,6.28,0.0
2000-11-07,0.04,99.96,29.16,15.47,0.0,0.0
2000-11-14,0.02,99.98,21.74,9.34,0.0,0.0
2000-11-21,0.05,99.95,20.89,8.51,0.0,0.0
2000-11-28,0.05,99.95,20.89,8.51,0.0,0.0
2000-12-05,0.15,99.85,20.89,6.85,0.0,0.0
2000-12-12,0.1,99.9,20.89,6.97,0.0,0.0
2000-12-19,0.42,99.58,16.84,8.77,0.0,0.0
2000-12-26,1.42,98.58,16.56,10.88,0.0,0.0
2001-01-02,1.42,98.58,16.83,10.88,0.0,0.0
2001-01-09,1.44,98.56,16.83,10.88,0.0,0.0
2001-01-16,1.44,98.56,16.83,0.2,0.0,0.0
2001-01-23,1.09,98.91,18.56,1.28,0.0,0.0
2001-01-30,26.85,73.15,10.53,0.0,0.0,0.0
2001-02-06,38.33,61.67,10.53,0.0,0.0,0.0
2001-02-13,40.0,60.0,0.03,0.0,0.0,0.0
2001-02-20,40.0,60.0,0.03,0.0,0.0,0.0
2001-02-27,57.16,42.84,0.0,0.0,0.0,0.0
2001-03-06,57.05,42.95,0.0,0.0,0.0,0.0
2001-03-13,54.26,45.74,0.0,0.0,0.0,0.0
2001-03-20,55.43,44.57,0.0,0.0,0.0,0.0
2001-03-27,55.43,44.57,0.0,0.0,0.0,0.0
2001-04-03,57.26,42.74,0.0,0.0,0.0,0.0
2001-04-10,63.29,36.71,0.0,0.0,0.0,0.0
2001-04-17,83.14,16.86,0.0,0.0,0.0,0.0
2001-04-24,90.81,9.19,0.0,0.0,0.0,0.0
2001-05-01,90.81,9.19,0.0,0.0,0.0,0.0
2001-05-08,94.96,5.04,0.0,0.0,0.0,0.0
2001-05-15,94.96,5.04,0.0,0.0,0.0,0.0
2001-05-22,94.96,5.04,0.0,0.0,0.0,0.0
2001-05-29,94.96,5.04,0.0,0.0,0.0,0.0
2001-06-05,94.96,5.04,0.0,0.0,0.0,0.0
2001-06-12,94.96,5.04,0.0,0.0,0.0,0.0
2001-06-19,94.29,5.71,0.0,0.0,0.0,0.0
2001-06-26,83.3,16.7,0.0,0.0,0.0,0.0
2001-07-03,50.31,49.69,5.76,0.0,0.0,0.0
2001-07-10,76.27,23.73,4.5,0.0,0.0,0.0
2001-07-17,76.4,23.6,2.55,0.0,0.0,0.0
2001-07-24,78.82,21.18,2.55,0.0,0.0,0.0
2001-07-31,65.84,34.16,2.57,0.0,0.0,0.0
2001-08-07,60.23,39.77,2.57,0.0,0.0,0.0
2001-08-14,63.28,36.72,9.11,0.0,0.0,0.0
2001-08-21,74.47,25.53,4.77,0.0,0.0,0.0
2001-08-28,74.68,25.32,5.1,0.0,0.0,0.0
2001-09-04,47.93,52.07,8.63,0.0,0.0,0.0
2001-09-11,45.52,54.48,6.12,0.0,0.0,0.0
2001-09-18,57.72,42.28,2.81,0.0,0.0,0.0
2001-09-25,66.9,33.1,2.81,0.0,0.0,0.0
2001-10-02,67.29,32.71,2.81,0.0,0.0,0.0
2001-10-09,68.32,31.68,2.81,0.0,0.0,0.0
2001-10-16,68.32,31.68,2.81,0.0,0.0,0.0
2001-10-23,63.45,36.55,2.81,0.0,0.0,0.0
2001-10-30,62.84,37.16,2.81,0.0,0.0,0.0
2001-11-06,62.85,37.15,2.81,0.0,0.0,0.0
2001-11-13,21.72,78.28,2.81,0.0,0.0,0.0
2001-11-20,21.17,78.83,2.81,0.0,0.0,0.0
2001-11-27,70.78,29.22,0.0,0.0,0.0,0.0
2001-12-04,70.78,29.22,0.0,0.0,0.0,0.0
2001-12-11,70.78,29.22,0.0,0.0,0.0,0.0
2001-12-18,70.78,29.22,0.0,0.0,0.0,0.0
2001-12-25,70.78,29.22,0.0,0.0,0.0,0.0
2002-01-01,70.32,29.68,0.0,0.0,0.0,0.0
2002-01-08,70.25,29.75,0.0,0.0,0.0,0.0
2002-01-15,49.25,50.75,0.0,0.0,0.0,0.0
2002-01-22,48.17,51.83,0.0,0.0,0.0,0.0
2002-01-29,47.42,52.58,0.0,0.0,0.0,0.0
2002-02-05,44.16,55.84,15.36,0.0,0.0,0.0
2002-02-12,52.5,47.5,25.96,0.0,0.0,0.0
2002-02-19,52.42,47.58,25.7,0.0,0.0,0.0
2002-02-26,31.99,68.01,44.4,1.97,0.0,0.0
2002-03-05,35.84,64.16,43.94,1.65,0.0,0.0
2002-03-12,28.32,71.68,44.07,2.06,0.0,0.0
2002-03-19,28.19,71.81,41.96,0.69,0.0,0.0
2002-03-26,6.98,93.02,45.76,0.62,0.0,0.0
2002-04-02,0.0,100.0,39.95,0.9,0.0,0.0
2002-04-09,0.0,100.0,59.47,0.93,0.0,0.0
2002-04-16,0.0,100.0,70.58,5.42,0.0,0.0
2002-04-23,0.28,99.72,68.63,11.86,0.0,0.0
2002-04-30,1.64,98.36,68.26,14.75,0.0,0.0
2002-05-07,1.59,98.41,70.04,23.14,0.0,0.0
2002-05-14,19.76,80.24,57.9,20.63,9.6,0.0
2002-05-21,20.72,79.28,49.76,17.28,8.56,0.0
2002-05-28,24.91,75.09,47.57,18.03,6.45,0.0
2002-06-04,28.82,71.18,48.13,17.04,6.58,0.0
2002-06-11,21.2,78.8,48.22,16.73,6.47,0.0
2002-06-18,18.62,81.38,64.75,35.18,8.01,0.0
2002-06-25,6.7,93.3,61.53,43.95,23.48,0.0
2002-07-02,0.0,100.0,90.31,55.2,28.62,0.0
2002-07-09,0.0,100.0,92.48,46.56,22.78,0.0
2002-07-16,0.0,100.0,98.52,54.11,23.16,0.0
2002-07-23,0.0,100.0,100.0,98.4,37.8,6.91
2002-07-30,0.0,100.0,100.0,97.94,80.93,37.9
2002-08-06,0.0,100.0,98.76,92.72,73.76,43.55
2002-08-13,1.35,98.65,95.63,91.14,71.69,43.25
2002-08-20,1.19,98.81,95.71,88.32,70.27,43.34
2002-08-27,1.26,98.74,92.26,82.06,67.55,41.66
2002-09-03,1.18,98.82,87.5,74.98,62.3,23.72
2002-09-10,1.39,98.61,88.5,73.44,61.73,11.11
2002-09-17,1.24,98.76,88.21,71.68,58.89,11.3
2002-09-24,1.65,98.35,88.22,71.3,58.02,10.91
2002-10-01,0.13,99.87,96.26,77.76,56.37,9.62
2002-10-08,1.84,98.16,87.93,66.11,47.16,5.88
2002-10-15,1.99,98.01,87.03,76.88,57.19,6.05
2002-10-22,1.23,98.77,87.28,76.79,57.89,5.9
2002-10-29,1.2,98.8,87.34,76.05,57.54,5.18
2002-11-05,2.58,97.42,84.24,74.28,55.74,4.94
2002-11-12,2.96,97.04,83.75,74.32,54.35,4.81
2002-11-19,1.52,98.48,83.94,73.78,54.84,5.07
2002-11-26,1.9,98.1,84.15,73.95,54.86,4.51
2002-12-03,1.28,98.72,84.22,73.99,54.46,4.2
2002-12-10,0.73,99.27,87.64,74.39,61.12,4.8
2002-12-17,0.76,99.24,89.73,74.38,62.54,4.26
2002-12-24,0.83,99.17,87.76,74.34,62.07,4.76
2002-12-31,0.0,100.0,93.36,77.58,64.06,4.88
2003-01-07,0.0,100.0,94.78,77.91,64.58,4.71
2003-01-14,0.0,100.0,99.3,83.12,64.66,4.54
2003-01-21,0.0,100.0,99.94,83.01,63.27,4.0
2003-01-28,0.0,100.0,99.96,83.25,63.42,4.75
2003-02-04,0.0,100.0,99.96,83.76,63.03,4.78
2003-02-11,0.0,100.0,100.0,83.81,63.05,4.88
2003-02-18,0.0,100.0,92.11,79.35,63.39,5.07
2003-02-25,0.0,100.0,92.25,82.0,63.37,5.0
2003-03-04,0.0,100.0,93.15,84.46,71.33,11.46
2003-03-11,0.0,100.0,93.9,84.28,71.16,11.9
2003-03-18,0.0,100.0,97.27,84.18,72.14,12.0
2003-03-25,0.0,100.0,96.66,86.71,68.72,7.46
2003-04-01,3.03,96.97,94.38,86.05,63.36,7.51
2003-04-08,2.68,97.32,91.81,82.77,49.95,0.0
2003-04-15,2.62,97.38,92.95,82.42,47.61,0.0
2003-04-22,1.49,98.51,92.57,84.32,47.36,0.0
2003-04-29,0.52,99.48,97.16,91.1,38.57,0.0
2003-05-06,0.59,99.41,96.06,53.42,10.21,0.0
2003-05-13,5.65,94.35,73.78,34.36,0.0,0.0
2003-05-20,8.04,91.96,78.03,33.13,0.0,0.0
2003-05-27,7.75,92.25,78.58,26.77,0.0,0.0
2003-06-03,5.42,94.58,78.13,23.28,0.0,0.0
2003-06-10,12.14,87.86,66.93,15.4,0.0,0.0
2003-06-17,4.88,95.12,64.39,10.97,0.0,0.0
2003-06-24,18.06,81.94,52.77,10.81,0.0,0.0
2003-07-01,30.89,69.11,31.64,5.37,0.0,0.0
2003-07-08,26.14,73.86,32.82,5.72,0.0,0.0
2003-07-15,16.54,83.46,42.45,11.21,0.0,0.0
2003-07-22,5.99,94.01,68.88,31.59,0.0,0.0
2003-07-29,5.23,94.77,86.83,41.87,0.0,0.0
2003-08-05,4.58,95.42,87.24,40.13,0.0,0.0
2003-08-12,4.54,95.46,86.34,52.43,0.0,0.0
2003-08-19,0.0,100.0,84.81,57.8,11.61,0.0
2003-08-26,0.0,100.0,96.44,71.26,16.92,0.0
2003-09-02,0.0,100.0,94.3,70.31,17.92,0.0
2003-09-09,0.0,100.0,100.0,86.64,16.71,0.0
2003-09-16,3.71,96.29,87.11,66.94,10.17,0.0
2003-09-23,3.69,96.31,90.05,65.75,9.57,0.0
2003-09-30,3.43,96.57,90.21,65.38,9.74,0.0
2003-10-07,3.67,96.33,90.68,66.13,10.16,0.0
2003-10-14,3.65,96.35,90.09,68.54,9.35,0.0
2003-10-21,2.92,97.08,89.1,69.97,9.3,0.0
2003-10-28,2.84,97.16,91.83,71.71,12.57,0.0
2003-11-04,2.87,97.13,90.31,65.96,21.15,0.0
2003-11-11,2.81,97.19,91.96,65.56,21.42,0.0
2003-11-18,2.97,97.03,91.74,64.73,21.66,0.0
2003-11-25,3.28,96.72,91.84,64.68,21.29,0.0
2003-12-02,3.32,96.68,91.59,65.94,20.91,0.0
2003-12-09,3.2,96.8,90.92,66.07,20.57,0.0
2003-12-16,2.99,97.01,91.2,66.69,22.97,0.0
2003-12-23,0.0,100.0,90.89,65.87,21.87,0.0
2003-12-30,0.0,100.0,91.43,73.07,26.29,0.0
2004-01-06,0.0,100.0,90.79,70.32,24.59,0.0
2004-01-13,0.0,100.0,89.94,67.95,24.59,0.0
2004-01-20,0.0,100.0,91.77,70.42,32.31,0.0
