Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,54.19,45.81,1.72,0.1,0.0,0.0
2000-01-11,0.0,100.0,1.66,0.1,0.0,0.0
2000-01-18,0.0,100.0,1.66,0.1,0.0,0.0
2000-01-25,0.0,100.0,1.66,0.1,0.0,0.0
2000-02-01,0.08,99.92,9.2,0.12,0.0,0.0
2000-02-08,0.08,99.92,9.2,0.12,0.0,0.0
2000-02-15,0.08,99.92,29.41,0.12,0.0,0.0
2000-02-22,1.19,98.81,29.41,0.12,0.0,0.0
2000-02-29,1.35,98.65,45.96,5.95,0.0,0.0
2000-03-07,1.35,98.65,45.72,5.85,0.0,0.0
2000-03-14,8.34,91.66,49.25,5.85,0.0,0.0
2000-03-21,9.59,90.41,50.8,14.16,0.0,0.0
2000-03-28,35.55,64.45,39.1,10.76,0.0,0.0
2000-04-04,34.39,65.61,38.79,15.84,0.0,0.0
2000-04-11,33.33,66.67,40.27,15.84,0.0,0.0
2000-04-18,31.39,68.61,38.63,16.21,0.0,0.0
2000-04-25,32.38,67.62,38.63,16.21,0.0,0.0
2000-05-02,32.57,67.43,38.59,16.21,0.0,0.0
2000-05-09,32.57,67.43,38.58,16.21,0.0,0.0
2000-05-16,14.26,85.74,66.06,37.13,0.0,0.0
2000-05-23,14.25,85.75,66.11,37.12,0.0,0.0
2000-05-30,14.14,85.86,72.09,51.98,13.26,0.0
2000-06-06,11.6,88.4,69.57,51.1,13.1,0.0
2000-06-13,0.0,100.0,69.97,51.1,13.1,0.0
2000-06-20,0.0,100.0,69.97,49.55,12.21,0.0
2000-06-27,0.0,100.0,74.63,51.5,0.0,0.0
2000-07-04,4.15,95.85,19.37,0.0,0.0,0.0
2000-07-11,4.17,95.83,19.84,0.0,0.0,0.0
2000-07-18,39.54,60.46,11.63,0.0,0.0,0.0
2000-07-25,39.52,60.48,11.25,0.0,0.0,0.0
2000-08-01,39.52,60.48,11.37,0.0,0.0,0.0
2000-08-08,40.45,59.55,8.05,0.0,0.0,0.0
2000-08-15,53.27,46.73,8.4,0.0,0.0,0.0
2000-08-22,62.88,37.12,3.93,0.0,0.0,0.0
2000-08-29,24.91,75.09,11.62,3.06,0.0,0.0
2000-09-05,24.91,75.09,34.49,7.57,0.0,0.0
2000-09-12,24.91,75.09,39.56,12.5,0.0,0.0
2000-09-19,24.9,75.1,39.56,28.24,0.0,0.0
2000-09-26,20.71,79.29,45.63,29.67,0.0,0.0
2000-10-03,0.0,100.0,68.26,36.42,0.0,0.0
2000-10-10,0.0,100.0,60.67,35.34,0.71,0.0
2000-10-17,30.3,69.7,49.29,27.71,0.4,0.0
2000-10-24,35.71,64.29,44.17,13.95,0.0,0.0
2000-10-31,34.24,65.76,31.88,6.41,0.0,0.0
2000-11-07,55.65,44.35,7.02,0.0,0.0,0.0
2000-11-14,54.14,45.86,7.02,0.0,0.0,0.0
2000-11-21,51.97,48.03,6.27,0.0,0.0,0.0
2000-11-28,52.25,47.75,6.27,0.0,0.0,0.0
2000-12-05,53.52,46.48,6.27,0.0,0.0,0.0
2000-12-12,53.52,46.48,6.27,0.0,0.0,0.0
2000-12-19,55.98,44.02,6.92,0.0,0.0,0.0
2000-12-26,61.99,38.01,6.16,0.0,0.0,0.0
2001-01-02,61.99,38.01,6.16,0.0,0.0,0.0
2001-01-09,61.99,38.01,6.16,0.0,0.0,0.0
2001-01-16,61.99,38.01,6.16,0.0,0.0,0.0
2001-01-23,78.9,21.1,6.16,0.0,0.0,0.0
2001-01-30,79.4,20.6,0.0,0.0,0.0,0.0
2001-02-06,79.4,20.6,0.0,0.0,0.0,0.0
2001-02-13,79.4,20.6,0.0,0.0,0.0,0.0
2001-02-20,79.4,20.6,0.0,0.0,0.0,0.0
2001-02-27,79.4,20.6,0.0,0.0,0.0,0.0
2001-03-06,79.4,20.6,0.0,0.0,0.0,0.0
2001-03-13,79.4,20.6,0.0,0.0,0.0,0.0
2001-03-20,79.4,20.6,0.0,0.0,0.0,0.0
2001-03-27,79.37,20.63,0.0,0.0,0.0,0.0
2001-04-03,79.37,20.63,0.0,0.0,0.0,0.0
2001-04-10,79.37,20.63,0.0,0.0,0.0,0.0
2001-04-17,79.37,20.63,0.0,0.0,0.0,0.0
2001-04-24,79.37,20.63,0.0,0.0,0.0,0.0
2001-05-01,79.37,20.63,0.12,0.0,0.0,0.0
2001-05-08,79.37,20.63,0.12,0.0,0.0,0.0
2001-05-15,94.06,5.94,0.12,0.0,0.0,0.0
2001-05-22,94.06,5.94,0.12,0.0,0.0,0.0
2001-05-29,94.06,5.94,0.12,0.0,0.0,0.0
2001-06-05,94.06,5.94,0.12,0.0,0.0,0.0
2001-06-12,92.4,7.6,1.16,0.0,0.0,0.0
2001-06-19,84.69,15.31,3.07,0.0,0.0,0.0
