Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,76.0,24.0,0.0,0.0,0.0,0.0
2000-01-11,20.54,79.46,0.0,0.0,0.0,0.0
2000-01-18,1.88,98.12,0.0,0.0,0.0,0.0
2000-01-25,10.34,89.66,0.0,0.0,0.0,0.0
2000-02-01,23.86,76.14,0.0,0.0,0.0,0.0
2000-02-08,26.98,73.02,0.0,0.0,0.0,0.0
2000-02-15,27.06,72.94,0.0,0.0,0.0,0.0
2000-02-22,75.19,24.81,0.0,0.0,0.0,0.0
2000-02-29,82.09,17.91,0.0,0.0,0.0,0.0
2000-03-07,86.12,13.88,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,98.43,1.57,0.0,0.0,0.0,0.0
2000-06-13,98.69,1.31,0.0,0.0,0.0,0.0
2000-06-20,98.51,1.49,0.0,0.0,0.0,0.0
2000-06-27,95.41,4.59,0.0,0.0,0.0,0.0
2000-07-04,97.98,2.02,0.0,0.0,0.0,0.0
2000-07-11,97.98,2.02,0.0,0.0,0.0,0.0
2000-07-18,55.26,44.74,0.0,0.0,0.0,0.0
2000-07-25,31.23,68.77,0.0,0.0,0.0,0.0
2000-08-01,14.26,85.74,0.0,0.0,0.0,0.0
2000-08-08,2.89,97.11,0.0,0.0,0.0,0.0
2000-08-15,2.89,97.11,6.88,0.0,0.0,0.0
2000-08-22,2.89,97.11,16.02,0.0,0.0,0.0
2000-08-29,3.04,96.96,20.59,0.0,0.0,0.0
2000-09-05,45.32,54.68,7.09,0.0,0.0,0.0
2000-09-12,45.32,54.68,7.09,0.0,0.0,0.0
2000-09-19,45.32,54.68,7.09,0.0,0.0,0.0
2000-09-26,45.19,54.81,6.98,0.0,0.0,0.0
2000-10-03,45.19,54.81,6.98,0.0,0.0,0.0
2000-10-10,45.19,54.81,6.98,0.0,0.0,0.0
2000-10-17,58.99,41.01,9.13,0.0,0.0,0.0
2000-10-24,25.37,74.63,5.36,0.0,0.0,0.0
2000-10-31,58.85,41.15,0.0,0.0,0.0,0.0
2000-11-07,64.23,35.77,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,85.3,14.7,0.0,0.0,0.0,0.0
2001-01-16,85.31,14.69,0.0,0.0,0.0,0.0
2001-01-23,68.99,31.01,0.0,0.0,0.0,0.0
2001-01-30,69.12,30.88,0.0,0.0,0.0,0.0
2001-02-06,68.36,31.64,0.0,0.0,0.0,0.0
2001-02-13,68.24,31.76,1.91,0.0,0.0,0.0
2001-02-20,70.52,29.48,1.89,0.0,0.0,0.0
2001-02-27,60.15,39.85,2.43,0.0,0.0,0.0
2001-03-06,60.15,39.85,3.17,0.0,0.0,0.0
2001-03-13,60.15,39.85,3.17,0.0,0.0,0.0
2001-03-20,58.61,41.39,4.8,0.0,0.0,0.0
2001-03-27,58.61,41.39,4.8,0.0,0.0,0.0
2001-04-03,52.57,47.43,10.67,0.15,0.0,0.0
2001-04-10,54.1,45.9,30.48,0.15,0.0,0.0
2001-04-17,54.09,45.91,30.48,0.15,0.0,0.0
2001-04-24,54.09,45.91,30.48,0.15,0.0,0.0
2001-05-01,54.09,45.91,30.48,0.15,0.0,0.0
2001-05-08,54.09,45.91,30.48,0.15,0.0,0.0
2001-05-15,53.78,46.22,31.31,0.15,0.0,0.0
2001-05-22,53.78,46.22,31.31,0.15,0.0,0.0
2001-05-29,53.78,46.22,31.31,4.18,0.0,0.0
2001-06-05,22.6,77.4,50.21,5.18,0.0,0.0
2001-06-12,22.01,77.99,56.13,6.78,0.0,0.0
2001-06-19,15.25,84.75,58.04,25.42,0.0,0.0
2001-06-26,13.65,86.35,70.85,55.24,0.0,0.0
2001-07-03,0.0,100.0,70.85,64.94,44.13,0.0
2001-07-10,15.57,84.43,70.23,53.13,35.98,0.0
2001-07-17,15.56,84.44,70.27,55.35,35.98,0.0
2001-07-24,15.05,84.95,70.27,55.35,35.98,0.0
2001-07-31,15.05,84.95,70.27,55.35,37.35,0.0
2001-08-07,15.05,84.95,70.27,55.35,36.65,0.0
2001-08-14,14.91,85.09,70.27,55.35,39.81,0.0
2001-08-21,16.3,83.7,70.66,55.25,39.16,0.0
2001-08-28,15.59,84.41,71.66,55.22,39.91,0.0
2001-09-04,15.59,84.41,71.66,55.22,39.91,0.0
2001-09-11,5.74,94.26,82.26,55.22,40.28,0.0
2001-09-18,5.74,94.26,82.26,55.22,40.28,0.0
2001-09-25,5.74,94.26,82.26,55.22,40.28,0.0
2001-10-02,5.74,94.26,82.26,55.22,40.28,0.0
2001-10-09,5.74,94.26,82.26,55.22,40.28,0.0
2001-10-16,5.13,94.87,82.26,55.22,40.28,0.0
2001-10-23,5.13,94.87,82.26,55.22,40.28,0.0
2001-10-30,4.77,95.23,82.26,55.24,40.28,0.0
2001-11-06,4.81,95.19,82.26,55.24,40.28,0.0
2001-11-13,4.81,95.19,82.26,55.24,40.28,0.0
2001-11-20,4.81,95.19,82.26,54.55,40.28,0.0
2001-11-27,7.55,92.45,76.26,54.55,40.26,0.0
2001-12-04,7.14,92.86,76.26,49.88,33.57,0.0
2001-12-11,7.14,92.86,76.26,49.91,33.06,0.0
2001-12-18,7.14,92.86,76.26,49.91,30.52,0.0
2001-12-25,7.16,92.84,76.22,50.23,26.61,0.0
2002-01-01,7.61,92.39,72.82,49.77,23.54,0.0
2002-01-08,7.69,92.31,68.72,34.15,0.0,0.0
2002-01-15,7.31,92.69,64.36,25.99,0.0,0.0
2002-01-22,6.94,93.06,64.29,26.15,0.0,0.0
2002-01-29,6.57,93.43,58.31,23.67,0.0,0.0
2002-02-05,0.04,99.96,59.91,24.09,0.0,0.0
2002-02-12,0.01,99.99,60.78,24.14,0.0,0.0
2002-02-19,0.02,99.98,59.69,24.92,0.0,0.0
2002-02-26,0.06,99.94,61.29,24.19,0.0,0.0
2002-03-05,0.02,99.98,60.36,21.66,0.0,0.0
2002-03-12,0.92,99.08,83.0,19.93,0.0,0.0
2002-03-19,1.47,98.53,50.4,0.12,0.0,0.0
2002-03-26,1.2,98.8,47.44,10.11,0.0,0.0
2002-04-02,1.48,98.52,47.83,18.6,0.0,0.0
2002-04-09,1.47,98.53,48.44,19.61,0.0,0.0
2002-04-16,1.58,98.42,54.52,23.37,0.0,0.0
2002-04-23,1.93,98.07,63.3,26.06,0.0,0.0
2002-04-30,1.87,98.13,62.8,26.44,2.38,0.0
2002-05-07,2.04,97.96,65.23,26.51,2.09,0.0
2002-05-14,1.58,98.42,64.47,25.57,2.11,0.0
2002-05-21,2.13,97.87,65.01,26.2,2.07,0.0
2002-05-28,0.35,99.65,66.19,26.16,11.03,0.0
2002-06-04,0.0,100.0,74.62,25.93,10.7,0.0
2002-06-11,0.0,100.0,74.88,26.03,11.08,0.0
2002-06-18,0.0,100.0,83.82,25.84,12.35,0.0
2002-06-25,0.0,100.0,84.78,29.72,15.13,0.0
2002-07-02,0.0,100.0,86.19,28.62,15.01,0.0
2002-07-09,0.0,100.0,88.67,29.17,15.19,0.0
2002-07-16,0.0,100.0,100.0,32.24,16.4,0.0
2002-07-23,0.0,100.0,100.0,30.35,16.73,0.0
2002-07-30,0.0,100.0,99.98,43.05,14.74,0.0
2002-08-06,0.0,100.0,100.0,52.29,22.78,0.0
2002-08-13,0.0,100.0,100.0,52.84,22.31,0.0
2002-08-20,0.0,100.0,100.0,52.71,22.49,0.0
2002-08-27,0.0,100.0,100.0,68.42,23.17,0.0
2002-09-03,0.0,100.0,100.0,68.62,23.03,0.0
2002-09-10,0.0,100.0,100.0,76.01,22.94,0.0
2002-09-17,0.0,100.0,100.0,73.1,22.47,0.0
2002-09-24,0.0,100.0,100.0,73.35,22.37,0.0
2002-10-01,0.0,100.0,98.74,66.38,21.24,0.0
2002-10-08,0.0,100.0,99.3,57.44,20.85,0.0
2002-10-15,0.0,100.0,99.21,57.18,20.89,0.0
2002-10-22,0.0,100.0,99.03,58.07,20.71,0.0
2002-10-29,0.0,100.0,99.04,58.03,19.29,0.0
2002-11-05,0.0,100.0,100.0,71.57,19.1,0.0
2002-11-12,0.0,100.0,96.5,34.25,10.5,0.0
2002-11-19,0.0,100.0,96.63,34.19,10.73,0.0
2002-11-26,0.0,100.0,97.31,33.86,11.09,0.0
2002-12-03,0.0,100.0,96.6,34.03,11.07,0.0
2002-12-10,0.0,100.0,100.0,93.53,11.09,0.0
2002-12-17,0.35,99.65,97.95,89.24,11.26,0.0
2002-12-24,0.09,99.91,95.46,90.46,11.16,0.0
2002-12-31,0.34,99.66,95.25,90.23,10.78,0.0
2003-01-07,0.22,99.78,97.3,89.97,12.98,0.0
2003-01-14,2.02,97.98,92.95,85.81,13.48,0.0
2003-01-21,3.09,96.91,93.84,84.23,54.63,0.0
2003-01-28,1.95,98.05,94.08,85.02,68.71,0.0
2003-02-04,0.1,99.9,96.8,86.99,68.84,0.0
2003-02-11,0.0,100.0,99.96,95.05,67.86,0.0
2003-02-18,0.0,100.0,100.0,94.9,66.15,0.0
2003-02-25,0.0,100.0,100.0,94.9,66.09,0.0
2003-03-04,0.0,100.0,99.99,98.8,63.91,0.0
2003-03-11,0.0,100.0,100.0,98.71,66.78,0.0
2003-03-18,0.0,100.0,100.0,97.81,65.95,0.0
2003-03-25,0.0,100.0,99.93,98.12,65.93,0.0
2003-04-01,0.0,100.0,99.88,98.1,67.94,0.0
2003-04-08,0.0,100.0,99.93,97.87,67.54,0.0
2003-04-15,0.0,100.0,99.76,98.13,65.91,0.0
2003-04-22,0.0,100.0,99.93,95.88,63.73,0.0
2003-04-29,0.0,100.0,99.92,94.58,46.02,0.0
2003-05-06,0.0,100.0,99.93,94.82,46.51,0.0
2003-05-13,0.0,100.0,99.06,94.57,41.03,0.0
2003-05-20,0.0,100.0,98.85,94.49,41.9,0.0
2003-05-27,0.0,100.0,99.15,94.16,40.83,0.0
2003-06-03,0.0,100.0,99.35,94.51,43.09,0.0
