Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,95.44,4.56,0.0,0.0,0.0,0.0
2000-04-04,99.7,0.3,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,95.04,4.96,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,80.93,19.07,0.0,0.0,0.0,0.0
2001-01-30,82.82,17.18,0.0,0.0,0.0,0.0
2001-02-06,89.44,10.56,0.0,0.0,0.0,0.0
2001-02-13,89.44,10.56,0.0,0.0,0.0,0.0
2001-02-20,94.97,5.03,0.0,0.0,0.0,0.0
2001-02-27,89.56,10.44,0.0,0.0,0.0,0.0
2001-03-06,91.01,8.99,0.0,0.0,0.0,0.0
2001-03-13,91.01,8.99,0.0,0.0,0.0,0.0
2001-03-20,91.51,8.49,0.0,0.0,0.0,0.0
2001-03-27,98.93,1.07,0.0,0.0,0.0,0.0
2001-04-03,99.81,0.19,0.0,0.0,0.0,0.0
2001-04-10,98.2,1.8,0.0,0.0,0.0,0.0
2001-04-17,95.22,4.78,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,8.83,91.17,0.0,0.0,0.0,0.0
2001-05-15,8.83,91.17,0.41,0.0,0.0,0.0
2001-05-22,1.33,98.67,73.41,0.0,0.0,0.0
2001-05-29,0.0,100.0,55.78,0.0,0.0,0.0
2001-06-05,48.76,51.24,8.55,0.0,0.0,0.0
2001-06-12,64.29,35.71,8.55,0.0,0.0,0.0
2001-06-19,72.33,27.67,6.16,0.0,0.0,0.0
2001-06-26,76.38,23.62,0.0,0.0,0.0,0.0
2001-07-03,76.38,23.62,0.0,0.0,0.0,0.0
2001-07-10,70.46,29.54,0.0,0.0,0.0,0.0
2001-07-17,70.46,29.54,0.0,0.0,0.0,0.0
2001-07-24,72.07,27.93,8.5,0.0,0.0,0.0
2001-07-31,40.71,59.29,15.32,0.0,0.0,0.0
2001-08-07,31.01,68.99,17.39,0.0,0.0,0.0
2001-08-14,24.55,75.45,32.35,18.42,0.0,0.0
2001-08-21,27.73,72.27,29.13,17.57,0.0,0.0
2001-08-28,5.69,94.31,28.94,16.62,0.0,0.0
2001-09-04,28.06,71.94,17.48,8.33,0.0,0.0
2001-09-11,26.59,73.41,24.92,10.67,0.0,0.0
2001-09-18,6.63,93.37,19.29,10.67,0.0,0.0
2001-09-25,74.34,25.66,15.45,10.67,0.0,0.0
2001-10-02,77.98,22.02,11.69,0.0,0.0,0.0
2001-10-09,63.75,36.25,11.69,0.0,0.0,0.0
2001-10-16,63.91,36.09,11.69,0.0,0.0,0.0
2001-10-23,37.88,62.12,11.69,0.0,0.0,0.0
2001-10-30,47.14,52.86,8.73,0.0,0.0,0.0
2001-11-06,44.51,55.49,22.08,0.0,0.0,0.0
2001-11-13,44.31,55.69,22.08,0.0,0.0,0.0
2001-11-20,44.31,55.69,19.28,0.0,0.0,0.0
2001-11-27,43.78,56.22,25.33,0.0,0.0,0.0
2001-12-04,43.78,56.22,21.27,0.0,0.0,0.0
2001-12-11,43.78,56.22,21.68,0.0,0.0,0.0
2001-12-18,43.78,56.22,14.66,4.71,0.0,0.0
2001-12-25,58.55,41.45,14.66,4.72,0.0,0.0
2002-01-01,58.92,41.08,14.82,4.73,0.0,0.0
2002-01-08,65.98,34.02,14.78,4.63,0.0,0.0
2002-01-15,66.11,33.89,15.03,4.9,0.0,0.0
2002-01-22,67.93,32.07,13.57,4.28,0.0,0.0
2002-01-29,36.69,63.31,21.99,8.83,0.0,0.0
