Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,35.33,64.67,63.17,1.21,0.0,0.0
2000-01-11,28.76,71.24,43.04,1.21,0.0,0.0
2000-01-18,28.92,71.08,42.8,1.21,0.0,0.0
2000-01-25,12.11,87.89,39.2,1.21,0.0,0.0
2000-02-01,12.85,87.15,35.1,0.48,0.0,0.0
2000-02-08,12.85,87.15,35.37,8.95,0.0,0.0
2000-02-15,16.69,83.31,35.37,8.64,0.0,0.0
2000-02-22,55.74,44.26,27.26,8.64,0.0,0.0
2000-02-29,56.02,43.98,20.47,10.58,0.0,0.0
2000-03-07,48.48,51.52,22.64,10.58,0.0,0.0
2000-03-14,37.49,62.51,24.35,10.58,0.0,0.0
2000-03-21,37.56,62.44,24.35,10.25,0.0,0.0
2000-03-28,43.22,56.78,24.35,10.25,0.0,0.0
2000-04-04,41.38,58.62,27.65,11.85,0.0,0.0
2000-04-11,76.65,23.35,17.85,8.31,0.0,0.0
2000-04-18,74.02,25.98,21.3,12.42,0.0,0.0
2000-04-25,85.38,14.62,4.68,0.0,0.0,0.0
2000-05-02,85.38,14.62,6.85,0.0,0.0,0.0
2000-05-09,85.38,14.62,6.8,0.0,0.0,0.0
2000-05-16,82.0,18.0,6.8,0.0,0.0,0.0
2000-05-23,92.72,7.28,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,99.43,0.57,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,95.82,4.18,0.0,0.0,0.0,0.0
2000-11-07,95.89,4.11,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,77.71,22.29,0.0,0.0,0.0,0.0
2000-12-05,79.92,20.08,0.0,0.0,0.0,0.0
2000-12-12,81.59,18.41,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,98.69,1.31,0.0,0.0,0.0,0.0
2001-01-23,86.37,13.63,0.0,0.0,0.0,0.0
2001-01-30,99.97,0.03,0.0,0.0,0.0,0.0
2001-02-06,99.97,0.03,0.0,0.0,0.0,0.0
2001-02-13,99.96,0.04,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,6.45,93.55,0.0,0.0,0.0,0.0
2001-04-03,0.0,100.0,8.94,0.0,0.0,0.0
2001-04-10,39.92,60.08,3.58,0.0,0.0,0.0
2001-04-17,81.39,18.61,0.74,0.0,0.0,0.0
2001-04-24,80.02,19.98,0.94,0.0,0.0,0.0
2001-05-01,72.04,27.96,10.15,0.0,0.0,0.0
2001-05-08,7.05,92.95,18.97,0.0,0.0,0.0
2001-05-15,7.05,92.95,19.04,1.08,0.0,0.0
2001-05-22,69.58,30.42,2.52,0.0,0.0,0.0
2001-05-29,85.58,14.42,0.03,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,95.28,4.72,0.0,0.0,0.0,0.0
2001-07-17,75.1,24.9,0.0,0.0,0.0,0.0
2001-07-24,72.73,27.27,0.0,0.0,0.0,0.0
2001-07-31,61.7,38.3,3.52,0.0,0.0,0.0
2001-08-07,54.24,45.76,0.0,0.0,0.0,0.0
2001-08-14,55.31,44.69,8.56,0.44,0.0,0.0
2001-08-21,48.6,51.4,20.3,7.55,0.0,0.0
2001-08-28,50.89,49.11,20.19,8.6,0.0,0.0
2001-09-04,54.31,45.69,15.21,6.89,0.0,0.0
2001-09-11,65.09,34.91,15.21,6.93,0.0,0.0
2001-09-18,65.09,34.91,15.21,6.93,0.0,0.0
2001-09-25,67.22,32.78,15.28,6.93,0.0,0.0
2001-10-02,71.17,28.83,9.23,0.0,0.0,0.0
2001-10-09,66.25,33.75,8.53,0.0,0.0,0.0
2001-10-16,75.78,24.22,5.09,0.0,0.0,0.0
2001-10-23,76.02,23.98,5.09,0.0,0.0,0.0
2001-10-30,96.9,3.1,0.0,0.0,0.0,0.0
2001-11-06,96.9,3.1,0.0,0.0,0.0,0.0
2001-11-13,92.36,7.64,0.0,0.0,0.0,0.0
2001-11-20,92.36,7.64,0.0,0.0,0.0,0.0
2001-11-27,92.63,7.37,0.0,0.0,0.0,0.0
2001-12-04,92.63,7.37,0.0,0.0,0.0,0.0
2001-12-11,96.26,3.74,0.0,0.0,0.0,0.0
2001-12-18,99.99,0.01,0.0,0.0,0.0,0.0
2001-12-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-08,97.47,2.53,0.0,0.0,0.0,0.0
2002-01-15,98.86,1.14,0.0,0.0,0.0,0.0
2002-01-22,97.37,2.63,0.0,0.0,0.0,0.0
2002-01-29,99.68,0.32,0.0,0.0,0.0,0.0
2002-02-05,99.99,0.01,0.0,0.0,0.0,0.0
2002-02-12,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-19,99.6,0.4,0.0,0.0,0.0,0.0
2002-02-26,97.89,2.11,0.0,0.0,0.0,0.0
2002-03-05,97.3,2.7,0.0,0.0,0.0,0.0
2002-03-12,79.02,20.98,1.79,0.0,0.0,0.0
2002-03-19,71.64,28.36,0.14,0.0,0.0,0.0
2002-03-26,83.27,16.73,0.0,0.0,0.0,0.0
2002-04-02,99.76,0.24,0.0,0.0,0.0,0.0
2002-04-09,99.47,0.53,0.0,0.0,0.0,0.0
2002-04-16,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-23,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-30,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-07,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-11,100.0,0.0,0.0,0.0,0.0,0.0
