Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,80.49,19.51,0.0,0.0,0.0,0.0
2000-01-11,84.04,15.96,0.0,0.0,0.0,0.0
2000-01-18,0.0,100.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,100.0,0.0,0.0,0.0,0.0
2000-02-01,0.0,100.0,0.74,0.0,0.0,0.0
2000-02-08,0.0,100.0,0.74,0.0,0.0,0.0
2000-02-15,0.0,100.0,0.74,0.0,0.0,0.0
2000-02-22,0.0,100.0,0.75,0.0,0.0,0.0
2000-02-29,39.94,60.06,8.99,0.0,0.0,0.0
2000-03-07,51.28,48.72,0.85,0.0,0.0,0.0
2000-03-14,62.95,37.05,0.29,0.0,0.0,0.0
2000-03-21,75.66,24.34,0.22,0.0,0.0,0.0
2000-03-28,99.87,0.13,0.0,0.0,0.0,0.0
2000-04-04,91.19,8.81,0.0,0.0,0.0,0.0
2000-04-11,91.13,8.87,0.0,0.0,0.0,0.0
2000-04-18,89.94,10.06,0.0,0.0,0.0,0.0
2000-04-25,89.9,10.1,0.0,0.0,0.0,0.0
2000-05-02,88.5,11.5,0.0,0.0,0.0,0.0
2000-05-09,98.83,1.17,0.0,0.0,0.0,0.0
2000-05-16,98.83,1.17,0.0,0.0,0.0,0.0
2000-05-23,92.5,7.5,0.0,0.0,0.0,0.0
2000-05-30,98.51,1.49,0.0,0.0,0.0,0.0
2000-06-06,92.22,7.78,0.0,0.0,0.0,0.0
2000-06-13,97.2,2.8,0.0,0.0,0.0,0.0
2000-06-20,97.18,2.82,0.0,0.0,0.0,0.0
2000-06-27,97.06,2.94,0.0,0.0,0.0,0.0
2000-07-04,87.42,12.58,0.0,0.0,0.0,0.0
2000-07-11,87.27,12.73,0.0,0.0,0.0,0.0
2000-07-18,90.74,9.26,0.0,0.0,0.0,0.0
2000-07-25,90.74,9.26,0.0,0.0,0.0,0.0
2000-08-01,90.74,9.26,0.0,0.0,0.0,0.0
2000-08-08,91.43,8.57,0.0,0.0,0.0,0.0
2000-08-15,80.21,19.79,0.0,0.0,0.0,0.0
2000-08-22,77.19,22.81,0.26,0.0,0.0,0.0
2000-08-29,34.78,65.22,6.54,0.0,0.0,0.0
2000-09-05,0.0,100.0,39.17,7.6,0.0,0.0
2000-09-12,0.0,100.0,100.0,30.98,0.0,0.0
2000-09-19,0.0,100.0,100.0,45.73,0.0,0.0
2000-09-26,0.0,100.0,100.0,47.1,0.0,0.0
2000-10-03,0.0,100.0,100.0,97.65,0.0,0.0
2000-10-10,0.0,100.0,100.0,96.28,0.0,0.0
2000-10-17,0.0,100.0,100.0,66.56,0.0,0.0
2000-10-24,0.0,100.0,64.64,0.26,0.0,0.0
2000-10-31,50.94,49.06,3.5,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,98.22,1.78,0.0,0.0,0.0,0.0
2001-05-08,97.1,2.9,0.0,0.0,0.0,0.0
2001-05-15,97.24,2.76,0.0,0.0,0.0,0.0
2001-05-22,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,98.98,1.02,0.0,0.0,0.0,0.0
2001-06-26,85.9,14.1,0.0,0.0,0.0,0.0
2001-07-03,86.2,13.8,5.02,0.0,0.0,0.0
2001-07-10,26.21,73.79,16.02,0.0,0.0,0.0
2001-07-17,23.07,76.93,20.61,5.69,0.0,0.0
2001-07-24,3.5,96.5,41.09,10.81,0.0,0.0
2001-07-31,3.79,96.21,80.85,16.54,0.0,0.0
2001-08-07,3.33,96.67,81.54,33.33,0.0,0.0
2001-08-14,10.77,89.23,69.82,21.81,0.0,0.0
2001-08-21,8.22,91.78,55.14,11.7,0.0,0.0
2001-08-28,8.5,91.5,42.92,6.36,0.0,0.0
2001-09-04,4.92,95.08,53.23,7.3,0.0,0.0
2001-09-11,35.31,64.69,22.25,0.0,0.0,0.0
2001-09-18,43.39,56.61,21.1,0.0,0.0,0.0
2001-09-25,43.71,56.29,12.45,0.0,0.0,0.0
2001-10-02,43.71,56.29,12.45,0.0,0.0,0.0
2001-10-09,41.58,58.42,12.45,0.0,0.0,0.0
2001-10-16,52.58,47.42,7.92,0.0,0.0,0.0
2001-10-23,42.35,57.65,12.65,0.0,0.0,0.0
2001-10-30,37.48,62.52,50.58,0.0,0.0,0.0
2001-11-06,37.49,62.51,41.15,0.0,0.0,0.0
2001-11-13,37.49,62.51,41.64,0.0,0.0,0.0
2001-11-20,37.87,62.13,38.17,0.0,0.0,0.0
