Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,98.34,1.66,0.0,0.0,0.0,0.0
2000-01-11,94.26,5.74,0.0,0.0,0.0,0.0
2000-01-18,99.75,0.25,0.0,0.0,0.0,0.0
2000-01-25,90.65,9.35,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,99.7,0.3,0.0,0.0,0.0,0.0
2000-07-25,99.7,0.3,0.0,0.0,0.0,0.0
2000-08-01,94.33,5.67,0.0,0.0,0.0,0.0
2000-08-08,43.9,56.1,0.0,0.0,0.0,0.0
2000-08-15,43.9,56.1,0.0,0.0,0.0,0.0
2000-08-22,43.9,56.1,3.6,0.0,0.0,0.0
2000-08-29,37.73,62.27,14.9,0.0,0.0,0.0
2000-09-05,61.05,38.95,0.0,0.0,0.0,0.0
2000-09-12,93.9,6.1,0.0,0.0,0.0,0.0
2000-09-19,93.9,6.1,0.0,0.0,0.0,0.0
