Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,79.49,20.51,0.0,0.0,0.0,0.0
2000-01-18,78.64,21.36,0.0,0.0,0.0,0.0
2000-01-25,82.9,17.1,0.0,0.0,0.0,0.0
2000-02-01,89.07,10.93,0.0,0.0,0.0,0.0
2000-02-08,89.07,10.93,0.0,0.0,0.0,0.0
2000-02-15,88.66,11.34,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,99.73,0.27,0.0,0.0,0.0,0.0
2000-03-21,99.73,0.27,0.0,0.0,0.0,0.0
2000-03-28,90.28,9.72,0.0,0.0,0.0,0.0
2000-04-04,88.91,11.09,0.0,0.0,0.0,0.0
2000-04-11,99.36,0.64,0.0,0.0,0.0,0.0
2000-04-18,99.89,0.11,0.0,0.0,0.0,0.0
2000-04-25,99.63,0.37,0.0,0.0,0.0,0.0
2000-05-02,99.63,0.37,0.0,0.0,0.0,0.0
2000-05-09,99.85,0.15,0.0,0.0,0.0,0.0
2000-05-16,99.85,0.15,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,85.37,14.63,0.0,0.0,0.0,0.0
2000-11-07,50.49,49.51,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,67.28,32.72,0.0,0.0,0.0,0.0
2000-12-05,60.56,39.44,0.0,0.0,0.0,0.0
2000-12-12,49.62,50.38,0.0,0.0,0.0,0.0
2000-12-19,94.27,5.73,0.0,0.0,0.0,0.0
2000-12-26,94.27,5.73,0.0,0.0,0.0,0.0
2001-01-02,94.27,5.73,0.0,0.0,0.0,0.0
2001-01-09,94.27,5.73,0.0,0.0,0.0,0.0
2001-01-16,90.43,9.57,0.0,0.0,0.0,0.0
2001-01-23,29.15,70.85,0.0,0.0,0.0,0.0
2001-01-30,28.06,71.94,0.0,0.0,0.0,0.0
2001-02-06,45.88,54.12,0.0,0.0,0.0,0.0
2001-02-13,46.08,53.92,0.0,0.0,0.0,0.0
2001-02-20,59.33,40.67,0.0,0.0,0.0,0.0
2001-02-27,54.33,45.67,0.0,0.0,0.0,0.0
2001-03-06,61.89,38.11,0.0,0.0,0.0,0.0
2001-03-13,61.89,38.11,0.0,0.0,0.0,0.0
2001-03-20,70.08,29.92,0.0,0.0,0.0,0.0
2001-03-27,53.83,46.17,0.0,0.0,0.0,0.0
2001-04-03,60.42,39.58,0.0,0.0,0.0,0.0
2001-04-10,91.17,8.83,0.0,0.0,0.0,0.0
2001-04-17,93.59,6.41,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,0.0,100.0,0.0,0.0,0.0,0.0
2001-05-15,0.0,100.0,40.05,0.0,0.0,0.0
2001-05-22,0.0,100.0,95.67,0.0,0.0,0.0
2001-05-29,0.02,99.98,69.62,0.0,0.0,0.0
2001-06-05,29.81,70.19,13.75,0.0,0.0,0.0
2001-06-12,43.89,56.11,13.75,0.0,0.0,0.0
2001-06-19,71.55,28.45,4.74,0.0,0.0,0.0
2001-06-26,87.21,12.79,0.0,0.0,0.0,0.0
2001-07-03,87.21,12.79,0.0,0.0,0.0,0.0
2001-07-10,77.22,22.78,0.0,0.0,0.0,0.0
2001-07-17,75.94,24.06,0.0,0.0,0.0,0.0
2001-07-24,43.89,56.11,0.0,0.0,0.0,0.0
2001-07-31,36.14,63.86,4.49,0.0,0.0,0.0
2001-08-07,26.59,73.41,3.73,0.0,0.0,0.0
2001-08-14,31.14,68.86,31.37,7.97,0.0,0.0
2001-08-21,55.8,44.2,21.81,12.94,0.0,0.0
2001-08-28,37.75,62.25,30.54,4.88,0.0,0.0
2001-09-04,44.31,55.69,13.47,4.65,0.0,0.0
2001-09-11,40.19,59.81,34.31,10.25,0.0,0.0
2001-09-18,31.52,68.48,37.12,10.25,0.0,0.0
2001-09-25,38.76,61.24,28.98,10.25,0.0,0.0
2001-10-02,44.0,56.0,25.67,0.0,0.0,0.0
2001-10-09,38.63,61.37,27.97,0.0,0.0,0.0
2001-10-16,39.94,60.06,28.59,0.0,0.0,0.0
2001-10-23,21.93,78.07,28.59,0.0,0.0,0.0
2001-10-30,42.05,57.95,23.5,0.0,0.0,0.0
2001-11-06,37.16,62.84,27.99,0.0,0.0,0.0
2001-11-13,13.22,86.78,27.99,0.0,0.0,0.0
2001-11-20,13.22,86.78,27.81,0.0,0.0,0.0
2001-11-27,12.54,87.46,22.67,0.0,0.0,0.0
2001-12-04,12.54,87.46,23.58,0.0,0.0,0.0
2001-12-11,12.7,87.3,21.48,0.0,0.0,0.0
2001-12-18,25.9,74.1,18.61,1.89,0.0,0.0
2001-12-25,27.77,72.23,18.61,0.01,0.0,0.0
2002-01-01,28.09,71.91,20.31,0.2,0.0,0.0
2002-01-08,31.43,68.57,19.54,0.33,0.0,0.0
2002-01-15,33.75,66.25,19.44,0.08,0.0,0.0
2002-01-22,35.48,64.52,18.4,0.0,0.0,0.0
2002-01-29,15.26,84.74,28.61,6.96,0.0,0.0
2002-02-05,21.76,78.24,27.15,4.22,0.0,0.0
2002-02-12,20.07,79.93,46.14,19.51,0.0,0.0
2002-02-19,15.33,84.67,49.72,27.71,12.63,0.0
2002-02-26,15.62,84.38,53.14,31.62,13.02,0.0
2002-03-05,14.83,85.17,54.84,32.66,13.27,0.0
2002-03-12,12.34,87.66,55.66,33.49,12.45,0.0
2002-03-19,11.06,88.94,57.72,34.18,13.88,0.0
2002-03-26,12.08,87.92,57.46,33.26,13.93,0.0
2002-04-02,27.28,72.72,48.1,26.27,11.28,0.0
2002-04-09,26.73,73.27,48.76,27.51,11.66,0.0
2002-04-16,44.89,55.11,38.95,23.32,5.71,0.0
2002-04-23,44.41,55.59,29.5,16.37,6.24,0.0
2002-04-30,60.53,39.47,22.24,10.23,4.02,0.0
2002-05-07,60.31,39.69,25.63,12.9,6.38,0.0
2002-05-14,73.78,26.22,18.42,10.8,0.0,0.0
2002-05-21,75.11,24.89,10.37,6.65,0.0,0.0
2002-05-28,82.49,17.51,9.86,3.58,0.0,0.0
2002-06-04,85.25,14.75,8.45,3.55,0.0,0.0
2002-06-11,84.98,15.02,4.88,1.23,0.0,0.0
2002-06-18,88.05,11.95,4.21,0.84,0.0,0.0
2002-06-25,87.23,12.77,6.87,1.47,0.0,0.0
2002-07-02,88.07,11.93,6.3,1.11,0.0,0.0
2002-07-09,74.48,25.52,8.07,3.13,0.0,0.0
2002-07-16,47.62,52.38,8.63,3.77,0.0,0.0
2002-07-23,2.84,97.16,15.51,4.64,0.13,0.0
2002-07-30,3.14,96.86,24.45,6.19,0.85,0.0
2002-08-06,12.29,87.71,21.29,12.53,2.4,0.0
2002-08-13,9.28,90.72,24.59,12.24,1.81,0.0
2002-08-20,9.94,90.06,28.33,16.08,8.39,0.06
2002-08-27,50.13,49.87,21.84,13.78,6.32,0.0
2002-09-03,16.15,83.85,36.8,14.32,0.0,0.0
2002-09-10,0.0,100.0,79.79,25.49,0.0,0.0
2002-09-17,5.99,94.01,67.71,23.41,6.13,0.0
2002-09-24,6.64,93.36,59.92,18.03,8.04,0.0
2002-10-01,23.04,76.96,18.08,8.84,2.61,0.0
2002-10-08,19.59,80.41,28.39,10.63,3.83,0.0
2002-10-15,24.96,75.04,17.69,9.16,2.38,0.0
2002-10-22,78.6,21.4,13.86,3.74,0.0,0.0
2002-10-29,78.43,21.57,10.92,2.22,0.0,0.0
2002-11-05,79.66,20.34,6.94,0.0,0.0,0.0
2002-11-12,79.39,20.61,7.16,0.0,0.0,0.0
2002-11-19,94.93,5.07,0.0,0.0,0.0,0.0
2002-11-26,98.63,1.37,0.0,0.0,0.0,0.0
2002-12-03,98.23,1.77,0.0,0.0,0.0,0.0
2002-12-10,87.89,12.11,0.0,0.0,0.0,0.0
2002-12-17,88.55,11.45,0.0,0.0,0.0,0.0
2002-12-24,88.88,11.12,0.0,0.0,0.0,0.0
2002-12-31,91.72,8.28,0.0,0.0,0.0,0.0
2003-01-07,91.89,8.11,0.0,0.0,0.0,0.0
2003-01-14,91.99,8.01,0.0,0.0,0.0,0.0
2003-01-21,91.97,8.03,0.0,0.0,0.0,0.0
2003-01-28,94.59,5.41,0.0,0.0,0.0,0.0
2003-02-04,94.88,5.12,0.0,0.0,0.0,0.0
2003-02-11,94.25,5.75,0.0,0.0,0.0,0.0
2003-02-18,94.88,5.12,0.0,0.0,0.0,0.0
2003-02-25,95.04,4.96,0.0,0.0,0.0,0.0
2003-03-04,94.93,5.07,0.0,0.0,0.0,0.0
2003-03-11,94.84,5.16,0.0,0.0,0.0,0.0
2003-03-18,95.2,4.8,0.0,0.0,0.0,0.0
2003-03-25,87.25,12.75,0.0,0.0,0.0,0.0
2003-04-01,83.93,16.07,0.42,0.0,0.0,0.0
2003-04-08,93.63,6.37,0.0,0.0,0.0,0.0
2003-04-15,89.96,10.04,0.0,0.0,0.0,0.0
2003-04-22,88.86,11.14,0.0,0.0,0.0,0.0
2003-04-29,71.31,28.69,0.0,0.0,0.0,0.0
2003-05-06,70.68,29.32,0.01,0.0,0.0,0.0
2003-05-13,88.26,11.74,0.1,0.0,0.0,0.0
2003-05-20,75.51,24.49,2.83,0.0,0.0,0.0
2003-05-27,93.59,6.41,0.0,0.0,0.0,0.0
2003-06-03,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-10,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-17,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-24,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-12,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-19,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-26,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-02,100.0,0.0,0.0,0.0,0.0,0.0
