Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,17.59,82.41,37.58,0.0,0.0,0.0
2000-01-11,21.63,78.37,27.2,0.0,0.0,0.0
2000-01-18,21.53,78.47,27.2,0.0,0.0,0.0
2000-01-25,46.79,53.21,18.16,0.0,0.0,0.0
2000-02-01,72.45,27.55,5.02,0.0,0.0,0.0
2000-02-08,72.45,27.55,8.48,0.34,0.0,0.0
2000-02-15,77.76,22.24,8.48,0.34,0.0,0.0
2000-02-22,77.76,22.24,3.9,0.0,0.0,0.0
2000-02-29,47.11,52.89,9.25,0.0,0.0,0.0
2000-03-07,36.01,63.99,25.74,0.0,0.0,0.0
2000-03-14,21.52,78.48,25.74,0.0,0.0,0.0
2000-03-21,21.52,78.48,25.74,0.29,0.0,0.0
2000-03-28,20.48,79.52,16.16,0.21,0.0,0.0
2000-04-04,11.75,88.25,14.04,0.0,0.0,0.0
2000-04-11,11.43,88.57,25.81,0.0,0.0,0.0
2000-04-18,10.27,89.73,45.57,0.0,0.0,0.0
2000-04-25,10.37,89.63,45.58,0.0,0.0,0.0
2000-05-02,10.37,89.63,45.59,0.0,0.0,0.0
2000-05-09,10.37,89.63,45.8,0.0,0.0,0.0
2000-05-16,6.38,93.62,64.91,24.8,0.0,0.0
2000-05-23,0.0,100.0,75.11,29.35,0.0,0.0
2000-05-30,7.39,92.61,66.81,29.45,4.1,0.0
2000-06-06,12.21,87.79,70.52,47.94,11.77,0.0
2000-06-13,0.13,99.87,82.67,65.7,28.5,0.0
2000-06-20,0.75,99.25,83.84,69.96,25.71,0.0
2000-06-27,0.0,100.0,89.59,70.2,40.41,0.0
2000-07-04,0.0,100.0,89.47,58.92,38.45,0.0
2000-07-11,0.0,100.0,89.47,58.92,39.14,0.0
2000-07-18,0.0,100.0,98.48,83.19,61.06,4.44
2000-07-25,1.17,98.83,83.38,54.02,27.85,8.0
2000-08-01,9.9,90.1,70.4,50.69,22.08,3.95
2000-08-08,20.05,79.95,63.48,41.84,20.52,1.69
2000-08-15,31.87,68.13,56.06,41.18,14.96,1.67
2000-08-22,34.82,65.18,51.19,40.79,20.87,3.08
2000-08-29,35.61,64.39,51.19,39.91,20.72,3.08
2000-09-05,37.8,62.2,45.39,33.74,7.28,0.0
2000-09-12,35.8,64.2,45.39,33.94,8.27,0.0
2000-09-19,35.84,64.16,43.94,32.77,8.27,0.0
