Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,4.23,95.77,14.83,7.02,0.0,0.0
2000-01-11,4.15,95.85,15.22,7.01,0.0,0.0
2000-01-18,4.21,95.79,15.22,7.01,0.0,0.0
2000-01-25,0.0,100.0,16.28,7.01,0.0,0.0
2000-02-01,20.61,79.39,31.84,8.44,0.0,0.0
2000-02-08,20.61,79.39,31.84,8.44,0.0,0.0
2000-02-15,20.61,79.39,31.84,8.44,0.0,0.0
2000-02-22,20.61,79.39,31.84,8.44,0.0,0.0
2000-02-29,19.89,80.11,24.47,10.38,0.0,0.0
2000-03-07,19.89,80.11,23.59,10.38,0.0,0.0
2000-03-14,63.63,36.37,18.67,10.38,0.0,0.0
2000-03-21,63.63,36.37,18.67,10.38,0.0,0.0
2000-03-28,63.72,36.28,18.67,10.38,0.0,0.0
2000-04-04,61.99,38.01,16.5,10.67,0.0,0.0
2000-04-11,64.84,35.16,16.5,10.53,0.0,0.0
2000-04-18,37.51,62.49,15.19,7.06,0.0,0.0
2000-04-25,68.0,32.0,13.42,4.09,0.0,0.0
2000-05-02,67.55,32.45,13.51,4.09,0.0,0.0
2000-05-09,67.55,32.45,13.51,4.09,0.0,0.0
2000-05-16,75.69,24.31,14.65,4.09,0.0,0.0
2000-05-23,92.39,7.61,0.91,0.12,0.0,0.0
2000-05-30,96.11,3.89,0.13,0.0,0.0,0.0
2000-06-06,97.92,2.08,0.26,0.0,0.0,0.0
2000-06-13,98.24,1.76,0.26,0.0,0.0,0.0
2000-06-20,97.05,2.95,1.06,0.41,0.0,0.0
2000-06-27,94.42,5.58,1.23,0.0,0.0,0.0
2000-07-04,93.14,6.86,1.19,0.0,0.0,0.0
2000-07-11,87.72,12.28,1.52,0.0,0.0,0.0
2000-07-18,86.35,13.65,3.07,0.0,0.0,0.0
2000-07-25,85.81,14.19,3.07,0.0,0.0,0.0
2000-08-01,85.81,14.19,3.86,0.0,0.0,0.0
2000-08-08,95.63,4.37,1.32,0.0,0.0,0.0
2000-08-15,95.63,4.37,0.73,0.0,0.0,0.0
2000-08-22,98.01,1.99,0.1,0.0,0.0,0.0
2000-08-29,89.44,10.56,0.03,0.0,0.0,0.0
2000-09-05,66.5,33.5,0.38,0.0,0.0,0.0
2000-09-12,51.55,48.45,0.88,0.0,0.0,0.0
2000-09-19,41.14,58.86,8.19,0.01,0.0,0.0
2000-09-26,41.14,58.86,6.63,0.05,0.0,0.0
2000-10-03,41.14,58.86,6.63,0.05,0.0,0.0
2000-10-10,53.35,46.65,6.7,0.05,0.0,0.0
2000-10-17,27.08,72.92,27.39,2.01,0.0,0.0
2000-10-24,4.65,95.35,33.96,0.27,0.0,0.0
2000-10-31,19.29,80.71,38.31,0.0,0.0,0.0
2000-11-07,65.0,35.0,0.32,0.0,0.0,0.0
2000-11-14,73.57,26.43,0.04,0.0,0.0,0.0
2000-11-21,77.67,22.33,0.09,0.0,0.0,0.0
2000-11-28,77.67,22.33,0.09,0.0,0.0,0.0
2000-12-05,77.67,22.33,0.09,0.0,0.0,0.0
2000-12-12,78.94,21.06,0.09,0.0,0.0,0.0
2000-12-19,84.53,15.47,0.0,0.0,0.0,0.0
2000-12-26,94.85,5.15,0.0,0.0,0.0,0.0
2001-01-02,94.85,5.15,0.02,0.0,0.0,0.0
2001-01-09,94.71,5.29,0.02,0.0,0.0,0.0
2001-01-16,94.71,5.29,0.02,0.0,0.0,0.0
2001-01-23,82.14,17.86,0.02,0.0,0.0,0.0
2001-01-30,94.9,5.1,0.0,0.0,0.0,0.0
2001-02-06,94.9,5.1,0.0,0.0,0.0,0.0
2001-02-13,95.44,4.56,0.0,0.0,0.0,0.0
2001-02-20,95.36,4.64,0.0,0.0,0.0,0.0
2001-02-27,95.36,4.64,0.0,0.0,0.0,0.0
2001-03-06,95.36,4.64,0.0,0.0,0.0,0.0
