Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,90.19,1.93,0.0,0.0
2000-01-11,0.0,100.0,99.69,0.0,0.0,0.0
2000-01-18,0.0,100.0,99.69,0.0,0.0,0.0
2000-01-25,0.0,100.0,94.28,0.0,0.0,0.0
2000-02-01,0.0,100.0,88.81,0.0,0.0,0.0
2000-02-08,0.0,100.0,94.46,18.6,0.0,0.0
2000-02-15,0.03,99.97,94.46,18.6,0.0,0.0
2000-02-22,1.12,98.88,82.99,9.62,0.0,0.0
2000-02-29,3.53,96.47,81.2,0.56,0.0,0.0
2000-03-07,3.54,96.46,83.68,0.86,0.0,0.0
2000-03-14,3.45,96.55,83.68,0.86,0.0,0.0
2000-03-21,3.45,96.55,77.39,0.32,0.0,0.0
2000-03-28,11.9,88.1,51.67,0.0,0.0,0.0
2000-04-04,0.47,99.53,5.0,0.0,0.0,0.0
2000-04-11,38.26,61.74,4.84,0.0,0.0,0.0
2000-04-18,34.74,65.26,1.36,0.0,0.0,0.0
2000-04-25,30.69,69.31,1.39,0.0,0.0,0.0
2000-05-02,30.69,69.31,1.42,0.0,0.0,0.0
2000-05-09,44.16,55.84,0.34,0.0,0.0,0.0
2000-05-16,42.93,57.07,0.12,0.0,0.0,0.0
2000-05-23,4.37,95.63,0.09,0.0,0.0,0.0
2000-05-30,34.97,65.03,0.77,0.0,0.0,0.0
2000-06-06,34.97,65.03,1.69,0.0,0.0,0.0
2000-06-13,26.6,73.4,11.17,0.0,0.0,0.0
2000-06-20,14.77,85.23,11.16,0.0,0.0,0.0
2000-06-27,8.77,91.23,43.58,0.94,0.0,0.0
2000-07-04,24.87,75.13,37.82,0.41,0.0,0.0
2000-07-11,1.46,98.54,53.62,1.11,0.0,0.0
2000-07-18,0.0,100.0,83.58,13.63,0.0,0.0
2000-07-25,0.02,99.98,82.79,27.62,7.52,0.0
2000-08-01,1.79,98.21,82.68,26.17,6.4,0.0
2000-08-08,12.51,87.49,74.51,20.82,4.02,0.0
2000-08-15,18.3,81.7,72.31,20.84,4.03,0.0
2000-08-22,19.24,80.76,68.61,22.85,6.96,0.0
2000-08-29,19.07,80.93,68.61,23.29,7.9,0.0
2000-09-05,23.32,76.68,64.21,30.47,4.12,0.0
2000-09-12,23.32,76.68,69.37,53.86,6.35,0.0
2000-09-19,23.32,76.68,69.37,54.58,7.15,0.0
2000-09-26,23.5,76.5,60.91,37.82,3.29,0.0
2000-10-03,5.29,94.71,60.91,37.82,3.29,0.0
2000-10-10,0.98,99.02,78.15,37.82,2.98,0.0
2000-10-17,0.0,100.0,100.0,48.8,18.63,0.0
2000-10-24,0.0,100.0,100.0,73.97,22.39,0.86
2000-10-31,0.0,100.0,100.0,95.74,44.65,5.62
2000-11-07,0.0,100.0,100.0,95.7,74.69,6.31
2000-11-14,0.0,100.0,98.02,77.59,26.82,0.0
2000-11-21,0.0,100.0,97.2,79.78,20.47,0.0
2000-11-28,0.0,100.0,95.84,78.58,2.16,0.0
2000-12-05,0.0,100.0,95.84,78.55,2.16,0.0
2000-12-12,0.0,100.0,99.81,80.29,7.32,0.0
2000-12-19,0.0,100.0,68.56,34.85,4.41,0.0
2000-12-26,0.0,100.0,68.74,37.46,3.82,0.0
2001-01-02,0.0,100.0,68.74,37.46,4.32,0.0
2001-01-09,0.0,100.0,79.8,52.77,11.21,0.0
2001-01-16,0.0,100.0,79.8,52.77,11.21,0.0
2001-01-23,0.0,100.0,76.33,54.26,0.0,0.0
2001-01-30,0.0,100.0,76.31,37.35,0.0,0.0
2001-02-06,0.0,100.0,76.33,37.35,0.0,0.0
2001-02-13,0.0,100.0,79.64,23.64,0.3,0.0
2001-02-20,16.12,83.88,28.88,11.36,0.6,0.0
2001-02-27,43.58,56.42,27.27,11.36,0.35,0.0
2001-03-06,45.44,54.56,19.52,8.87,0.34,0.0
2001-03-13,47.7,52.3,20.13,4.21,0.35,0.0
2001-03-20,50.55,49.45,20.14,1.97,0.35,0.0
2001-03-27,44.65,55.35,19.84,1.97,0.35,0.0
2001-04-03,20.88,79.12,17.85,1.76,0.38,0.0
2001-04-10,15.0,85.0,19.26,1.76,0.38,0.0
2001-04-17,39.91,60.09,10.89,1.76,0.38,0.0
2001-04-24,39.92,60.08,13.84,1.92,0.38,0.0
2001-05-01,6.01,93.99,48.24,8.37,0.38,0.0
2001-05-08,0.0,100.0,93.72,30.13,0.3,0.0
2001-05-15,0.0,100.0,93.72,32.03,1.96,0.0
2001-05-22,0.0,100.0,84.76,21.89,0.14,0.0
2001-05-29,0.0,100.0,84.76,21.03,0.04,0.0
2001-06-05,10.62,89.38,68.2,12.24,0.06,0.0
2001-06-12,25.22,74.78,52.53,5.39,0.06,0.0
2001-06-19,4.79,95.21,56.86,11.94,1.16,0.0
2001-06-26,4.79,95.21,56.86,11.94,1.1,0.0
2001-07-03,4.79,95.21,25.77,5.32,0.0,0.0
2001-07-10,18.2,81.8,15.34,3.98,0.0,0.0
2001-07-17,18.2,81.8,15.34,3.98,0.0,0.0
2001-07-24,11.1,88.9,13.2,3.58,0.0,0.0
2001-07-31,44.84,55.16,19.63,2.39,0.0,0.0
2001-08-07,61.31,38.69,19.63,2.39,0.0,0.0
2001-08-14,80.7,19.3,2.06,0.0,0.0,0.0
2001-08-21,81.31,18.69,2.06,0.0,0.0,0.0
2001-08-28,79.24,20.76,0.84,0.0,0.0,0.0
2001-09-04,93.89,6.11,0.84,0.0,0.0,0.0
2001-09-11,44.48,55.52,0.84,0.0,0.0,0.0
2001-09-18,50.26,49.74,0.84,0.0,0.0,0.0
2001-09-25,82.49,17.51,0.84,0.0,0.0,0.0
2001-10-02,81.41,18.59,0.84,0.0,0.0,0.0
2001-10-09,80.45,19.55,0.84,0.0,0.0,0.0
2001-10-16,99.87,0.13,0.0,0.0,0.0,0.0
2001-10-23,71.87,28.13,0.0,0.0,0.0,0.0
2001-10-30,65.34,34.66,0.0,0.0,0.0,0.0
2001-11-06,65.03,34.97,0.0,0.0,0.0,0.0
2001-11-13,51.44,48.56,31.74,0.0,0.0,0.0
2001-11-20,51.44,48.56,33.48,11.57,0.0,0.0
2001-11-27,56.37,43.63,29.23,5.55,0.0,0.0
2001-12-04,56.37,43.63,31.36,12.54,0.0,0.0
2001-12-11,72.07,27.93,11.59,0.0,0.0,0.0
2001-12-18,75.64,24.36,13.08,0.04,0.0,0.0
2001-12-25,75.44,24.56,13.08,0.0,0.0,0.0
2002-01-01,75.88,24.12,12.75,0.0,0.0,0.0
2002-01-08,56.28,43.72,22.55,0.0,0.0,0.0
2002-01-15,56.09,43.91,22.82,0.0,0.0,0.0
2002-01-22,72.78,27.22,4.71,0.0,0.0,0.0
2002-01-29,95.69,4.31,1.67,0.0,0.0,0.0
2002-02-05,96.16,3.84,1.53,0.0,0.0,0.0
2002-02-12,96.45,3.55,1.55,0.0,0.0,0.0
2002-02-19,85.37,14.63,1.49,0.0,0.0,0.0
2002-02-26,68.35,31.65,4.17,0.0,0.0,0.0
2002-03-05,66.15,33.85,4.21,0.0,0.0,0.0
2002-03-12,58.41,41.59,21.26,2.58,0.0,0.0
2002-03-19,85.43,14.57,2.51,0.0,0.0,0.0
2002-03-26,89.03,10.97,1.14,0.0,0.0,0.0
2002-04-02,96.0,4.0,0.0,0.0,0.0,0.0
2002-04-09,96.14,3.86,0.0,0.0,0.0,0.0
2002-04-16,91.35,8.65,0.0,0.0,0.0,0.0
2002-04-23,76.15,23.85,0.0,0.0,0.0,0.0
2002-04-30,75.66,24.34,0.37,0.0,0.0,0.0
2002-05-07,91.38,8.62,0.0,0.0,0.0,0.0
2002-05-14,93.15,6.85,0.0,0.0,0.0,0.0
2002-05-21,92.93,7.07,0.0,0.0,0.0,0.0
2002-05-28,88.14,11.86,0.0,0.0,0.0,0.0
2002-06-04,82.35,17.65,0.0,0.0,0.0,0.0
2002-06-11,82.57,17.43,0.0,0.0,0.0,0.0
2002-06-18,64.16,35.84,2.39,0.0,0.0,0.0
2002-06-25,43.79,56.21,23.93,1.33,0.0,0.0
2002-07-02,59.18,40.82,19.71,1.29,0.0,0.0
2002-07-09,32.06,67.94,18.87,1.46,0.0,0.0
2002-07-16,47.27,52.73,5.53,0.69,0.0,0.0
2002-07-23,49.02,50.98,4.81,1.02,0.0,0.0
2002-07-30,44.05,55.95,1.14,0.0,0.0,0.0
2002-08-06,39.08,60.92,1.96,0.14,0.0,0.0
2002-08-13,17.05,82.95,24.4,0.28,0.0,0.0
2002-08-20,15.88,84.12,24.69,0.28,0.0,0.0
2002-08-27,26.68,73.32,24.35,0.09,0.0,0.0
2002-09-03,25.41,74.59,31.2,13.32,2.95,0.0
2002-09-10,15.13,84.87,52.31,27.88,5.62,0.0
2002-09-17,16.03,83.97,50.03,30.37,5.94,0.0
2002-09-24,35.58,64.42,31.28,14.99,3.97,0.0
2002-10-01,65.81,34.19,21.01,3.34,0.0,0.0
2002-10-08,66.87,33.13,18.96,5.22,0.13,0.0
2002-10-15,62.16,37.84,22.59,4.19,0.26,0.0
2002-10-22,71.39,28.61,13.21,0.0,0.0,0.0
2002-10-29,83.01,16.99,0.17,0.0,0.0,0.0
2002-11-05,84.79,15.21,1.36,0.0,0.0,0.0
2002-11-12,99.28,0.72,0.0,0.0,0.0,0.0
2002-11-19,99.15,0.85,0.0,0.0,0.0,0.0
2002-11-26,99.62,0.38,0.0,0.0,0.0,0.0
2002-12-03,98.09,1.91,0.0,0.0,0.0,0.0
2002-12-10,99.66,0.34,0.0,0.0,0.0,0.0
2002-12-17,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-24,100.0,0.0,0.0,0.0,0.0,0.0
2002-12-31,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-01-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-02-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,95.44,4.56,0.0,0.0,0.0,0.0
2003-04-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-04-29,99.91,0.09,0.0,0.0,0.0,0.0
2003-05-06,100.0,0.0,0.0,0.0,0.0,0.0
2003-05-13,100.0,0.0,0.0,0.0,0.0,0.0
2003-05-20,100.0,0.0,0.0,0.0,0.0,0.0
2003-05-27,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-03,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-10,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-17,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-24,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-12,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-19,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-26,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-17,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-24,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-02,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-09,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-16,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-23,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-04-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-04-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-04-20,96.8,3.2,0.0,0.0,0.0,0.0
2004-04-27,98.89,1.11,0.0,0.0,0.0,0.0
2004-05-04,98.92,1.08,0.0,0.0,0.0,0.0
2004-05-11,100.0,0.0,0.0,0.0,0.0,0.0
2004-05-18,99.51,0.49,0.0,0.0,0.0,0.0
2004-05-25,83.99,16.01,0.0,0.0,0.0,0.0
2004-06-01,95.25,4.75,0.0,0.0,0.0,0.0
2004-06-08,88.83,11.17,0.0,0.0,0.0,0.0
2004-06-15,89.43,10.57,0.0,0.0,0.0,0.0
2004-06-22,93.21,6.79,0.0,0.0,0.0,0.0
2004-06-29,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-17,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-24,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-31,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-07,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-14,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-21,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-28,92.92,7.08,0.0,0.0,0.0,0.0
2004-10-05,91.74,8.26,0.61,0.0,0.0,0.0
2004-10-12,94.79,5.21,0.61,0.0,0.0,0.0
2004-10-19,99.44,0.56,0.0,0.0,0.0,0.0
2004-10-26,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-02,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-09,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-16,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-23,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-07,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-14,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-21,100.0,0.0,0.0,0.0,0.0,0.0
