Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,56.65,43.35,11.43,0.0,0.0,0.0
2000-01-11,51.82,48.18,8.48,0.0,0.0,0.0
2000-01-18,50.65,49.35,8.48,0.0,0.0,0.0
2000-01-25,70.17,29.83,7.8,0.0,0.0,0.0
2000-02-01,77.44,22.56,6.65,0.0,0.0,0.0
2000-02-08,77.44,22.56,6.65,0.0,0.0,0.0
2000-02-15,78.16,21.84,6.65,0.0,0.0,0.0
2000-02-22,91.75,8.25,0.43,0.0,0.0,0.0
2000-02-29,59.27,40.73,2.31,0.0,0.0,0.0
2000-03-07,52.39,47.61,17.33,0.0,0.0,0.0
2000-03-14,42.2,57.8,17.33,0.0,0.0,0.0
2000-03-21,43.54,56.46,17.61,0.0,0.0,0.0
2000-03-28,56.17,43.83,14.79,0.0,0.0,0.0
2000-04-04,42.11,57.89,8.85,0.0,0.0,0.0
2000-04-11,55.19,44.81,8.85,0.0,0.0,0.0
2000-04-18,67.78,32.22,0.0,0.0,0.0,0.0
2000-04-25,66.41,33.59,0.0,0.0,0.0,0.0
2000-05-02,66.41,33.59,0.0,0.0,0.0,0.0
2000-05-09,66.41,33.59,0.0,0.0,0.0,0.0
2000-05-16,65.99,34.01,0.0,0.0,0.0,0.0
2000-05-23,65.55,34.45,0.0,0.0,0.0,0.0
2000-05-30,83.96,16.04,0.0,0.0,0.0,0.0
2000-06-06,83.96,16.04,0.0,0.0,0.0,0.0
2000-06-13,78.36,21.64,0.0,0.0,0.0,0.0
2000-06-20,78.69,21.31,0.0,0.0,0.0,0.0
2000-06-27,63.2,36.8,20.49,0.0,0.0,0.0
2000-07-04,78.38,21.62,2.05,0.0,0.0,0.0
2000-07-11,87.62,12.38,2.05,0.0,0.0,0.0
2000-07-18,87.03,12.97,1.09,0.0,0.0,0.0
2000-07-25,96.98,3.02,0.0,0.0,0.0,0.0
2000-08-01,98.53,1.47,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
