Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,99.93,0.07,0.0,0.0,0.0,0.0
2000-07-25,99.93,0.07,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,89.56,10.44,0.0,0.0,0.0,0.0
2000-08-15,89.56,10.44,0.0,0.0,0.0,0.0
2000-08-22,89.56,10.44,0.0,0.0,0.0,0.0
2000-08-29,79.68,20.32,0.0,0.0,0.0,0.0
2000-09-05,84.63,15.37,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,87.83,12.17,0.0,0.0,0.0,0.0
2001-01-16,87.83,12.17,0.0,0.0,0.0,0.0
2001-01-23,0.1,99.9,0.0,0.0,0.0,0.0
2001-01-30,0.02,99.98,5.3,0.0,0.0,0.0
2001-02-06,0.02,99.98,5.3,0.0,0.0,0.0
2001-02-13,0.0,100.0,99.93,0.0,0.0,0.0
2001-02-20,0.0,100.0,99.98,0.0,0.0,0.0
2001-02-27,0.0,100.0,100.0,0.0,0.0,0.0
2001-03-06,0.0,100.0,100.0,5.44,0.0,0.0
2001-03-13,0.0,100.0,100.0,45.1,0.0,0.0
2001-03-20,0.0,100.0,100.0,45.1,0.0,0.0
2001-03-27,0.0,100.0,100.0,45.1,0.0,0.0
2001-04-03,0.0,100.0,100.0,46.37,0.0,0.0
2001-04-10,0.0,100.0,100.0,46.37,0.0,0.0
2001-04-17,0.0,100.0,100.0,46.37,0.0,0.0
2001-04-24,0.0,100.0,100.0,46.37,0.0,0.0
2001-05-01,0.0,100.0,100.0,46.37,0.0,0.0
2001-05-08,0.0,100.0,100.0,46.37,0.0,0.0
2001-05-15,0.0,100.0,100.0,56.3,0.0,0.0
2001-05-22,0.0,100.0,100.0,56.3,0.0,0.0
2001-05-29,0.0,100.0,100.0,56.3,0.0,0.0
2001-06-05,0.0,100.0,97.29,54.71,0.0,0.0
2001-06-12,0.0,100.0,100.0,54.71,0.0,0.0
2001-06-19,0.0,100.0,100.0,62.53,0.0,0.0
2001-06-26,0.0,100.0,100.0,62.53,0.0,0.0
2001-07-03,0.0,100.0,100.0,74.22,0.0,0.0
2001-07-10,0.0,100.0,100.0,74.22,0.0,0.0
2001-07-17,0.0,100.0,100.0,74.22,0.0,0.0
2001-07-24,0.0,100.0,100.0,62.09,0.0,0.0
2001-07-31,0.0,100.0,100.0,62.09,0.0,0.0
2001-08-07,0.0,100.0,100.0,62.09,0.0,0.0
2001-08-14,0.0,100.0,100.0,61.4,0.0,0.0
2001-08-21,0.0,100.0,100.0,61.4,0.0,0.0
2001-08-28,0.0,100.0,100.0,60.32,0.0,0.0
2001-09-04,0.0,100.0,100.0,60.32,4.36,0.0
2001-09-11,0.0,100.0,100.0,68.03,5.81,0.0
2001-09-18,0.0,100.0,100.0,68.03,5.81,0.0
2001-09-25,0.0,100.0,100.0,68.03,5.81,0.0
2001-10-02,0.0,100.0,100.0,68.03,5.81,0.0
2001-10-09,0.0,100.0,100.0,68.03,5.81,0.0
2001-10-16,0.0,100.0,90.97,68.03,5.81,0.0
2001-10-23,0.0,100.0,90.97,68.03,5.81,0.0
2001-10-30,0.0,100.0,90.97,68.03,5.81,0.0
2001-11-06,0.0,100.0,90.97,68.03,5.81,0.0
2001-11-13,0.0,100.0,90.97,68.03,5.81,0.0
2001-11-20,0.0,100.0,85.77,67.87,5.81,0.0
2001-11-27,0.0,100.0,81.95,66.87,5.81,0.0
2001-12-04,18.09,81.91,65.88,46.7,1.06,0.0
2001-12-11,18.61,81.39,63.81,46.73,0.9,0.0
2001-12-18,22.98,77.02,63.81,46.73,0.9,0.0
2001-12-25,23.02,76.98,66.15,46.69,0.9,0.0
2002-01-01,22.17,77.83,66.87,43.49,1.49,0.0
2002-01-08,44.93,55.07,18.51,2.39,0.0,0.0
2002-01-15,47.14,52.86,7.45,0.64,0.0,0.0
2002-01-22,47.32,52.68,6.9,0.78,0.0,0.0
2002-01-29,63.69,36.31,3.52,0.0,0.0,0.0
