Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,63.12,36.88,3.18,0.0,0.0,0.0
2000-01-11,36.17,63.83,3.44,0.0,0.0,0.0
2000-01-18,35.5,64.5,3.44,0.0,0.0,0.0
2000-01-25,32.56,67.44,3.44,0.0,0.0,0.0
2000-02-01,32.56,67.44,3.51,0.0,0.0,0.0
2000-02-08,32.56,67.44,3.51,0.0,0.0,0.0
2000-02-15,32.56,67.44,3.51,0.0,0.0,0.0
2000-02-22,32.56,67.44,3.52,0.0,0.0,0.0
2000-02-29,16.83,83.17,24.26,0.0,0.0,0.0
2000-03-07,16.83,83.17,26.44,0.0,0.0,0.0
2000-03-14,44.18,55.82,18.44,0.0,0.0,0.0
2000-03-21,44.18,55.82,18.44,0.0,0.0,0.0
2000-03-28,44.02,55.98,18.44,0.0,0.0,0.0
2000-04-04,42.16,57.84,30.99,0.0,0.0,0.0
2000-04-11,22.13,77.87,38.33,0.0,0.0,0.0
2000-04-18,12.27,87.73,48.58,0.0,0.0,0.0
2000-04-25,19.07,80.93,21.76,0.0,0.0,0.0
2000-05-02,17.49,82.51,17.03,0.0,0.0,0.0
2000-05-09,17.49,82.51,19.64,0.0,0.0,0.0
2000-05-16,0.0,100.0,45.65,0.0,0.0,0.0
2000-05-23,57.41,42.59,0.0,0.0,0.0,0.0
2000-05-30,66.65,33.35,0.92,0.0,0.0,0.0
2000-06-06,84.55,15.45,0.09,0.0,0.0,0.0
2000-06-13,81.44,18.56,0.09,0.0,0.0,0.0
2000-06-20,94.74,5.26,0.05,0.0,0.0,0.0
2000-06-27,99.96,0.04,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,96.32,3.68,0.15,0.0,0.0,0.0
2000-10-10,92.31,7.69,0.36,0.0,0.0,0.0
2000-10-17,88.98,11.02,0.41,0.0,0.0,0.0
2000-10-24,42.02,57.98,1.48,0.0,0.0,0.0
2000-10-31,21.0,79.0,0.88,0.0,0.0,0.0
2000-11-07,87.0,13.0,0.0,0.0,0.0,0.0
2000-11-14,97.12,2.88,0.0,0.0,0.0,0.0
2000-11-21,99.84,0.16,0.0,0.0,0.0,0.0
2000-11-28,99.98,0.02,0.0,0.0,0.0,0.0
2000-12-05,99.98,0.02,0.0,0.0,0.0,0.0
2000-12-12,99.98,0.02,0.0,0.0,0.0,0.0
2000-12-19,99.98,0.02,0.0,0.0,0.0,0.0
2000-12-26,99.98,0.02,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-15,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-22,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,39.21,60.79,0.0,0.0,0.0,0.0
2001-07-24,4.45,95.55,0.0,0.0,0.0,0.0
2001-07-31,6.47,93.53,0.0,0.0,0.0,0.0
2001-08-07,62.01,37.99,0.0,0.0,0.0,0.0
2001-08-14,54.09,45.91,0.0,0.0,0.0,0.0
2001-08-21,76.13,23.87,0.0,0.0,0.0,0.0
2001-08-28,100.0,0.0,0.0,0.0,0.0,0.0
2001-09-04,83.06,16.94,0.0,0.0,0.0,0.0
2001-09-11,99.75,0.25,0.0,0.0,0.0,0.0
2001-09-18,99.75,0.25,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
