Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,39.84,60.16,21.64,0.0,0.0,0.0
2000-01-11,0.04,99.96,12.83,0.0,0.0,0.0
2000-01-18,0.06,99.94,12.83,0.0,0.0,0.0
2000-01-25,2.72,97.28,10.87,0.0,0.0,0.0
2000-02-01,4.49,95.51,7.15,0.0,0.0,0.0
2000-02-08,4.49,95.51,8.64,0.0,0.0,0.0
2000-02-15,4.33,95.67,8.64,0.0,0.0,0.0
2000-02-22,97.5,2.5,0.0,0.0,0.0,0.0
2000-02-29,98.69,1.31,0.0,0.0,0.0,0.0
2000-03-07,56.34,43.66,0.7,0.0,0.0,0.0
2000-03-14,56.34,43.66,0.7,0.0,0.0,0.0
2000-03-21,43.45,56.55,1.79,0.0,0.0,0.0
2000-03-28,45.59,54.41,0.46,0.0,0.0,0.0
2000-04-04,34.0,66.0,0.0,0.0,0.0,0.0
2000-04-11,47.13,52.87,0.0,0.0,0.0,0.0
2000-04-18,19.59,80.41,0.0,0.0,0.0,0.0
2000-04-25,56.67,43.33,0.0,0.0,0.0,0.0
2000-05-02,56.67,43.33,0.0,0.0,0.0,0.0
2000-05-09,56.95,43.05,0.0,0.0,0.0,0.0
2000-05-16,56.95,43.05,0.0,0.0,0.0,0.0
2000-05-23,56.49,43.51,0.0,0.0,0.0,0.0
2000-05-30,93.35,6.65,0.0,0.0,0.0,0.0
2000-06-06,93.35,6.65,0.0,0.0,0.0,0.0
2000-06-13,86.01,13.99,0.0,0.0,0.0,0.0
2000-06-20,84.2,15.8,0.0,0.0,0.0,0.0
2000-06-27,69.91,30.09,5.27,0.0,0.0,0.0
2000-07-04,93.05,6.95,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,85.67,14.33,0.0,0.0,0.0,0.0
2000-10-24,88.17,11.83,0.0,0.0,0.0,0.0
2000-10-31,1.98,98.02,8.0,0.0,0.0,0.0
2000-11-07,1.95,98.05,8.57,0.0,0.0,0.0
2000-11-14,70.68,29.32,8.6,0.0,0.0,0.0
2000-11-21,75.66,24.34,4.31,0.0,0.0,0.0
2000-11-28,3.02,96.98,5.09,0.0,0.0,0.0
2000-12-05,3.02,96.98,30.96,5.09,0.0,0.0
2000-12-12,2.95,97.05,50.82,9.44,0.0,0.0
2000-12-19,30.51,69.49,16.73,1.57,0.0,0.0
2000-12-26,32.07,67.93,16.73,1.57,0.0,0.0
2001-01-02,32.07,67.93,16.73,1.57,0.0,0.0
2001-01-09,32.07,67.93,18.26,5.27,0.0,0.0
2001-01-16,22.71,77.29,18.26,5.27,0.0,0.0
2001-01-23,14.66,85.34,5.8,0.0,0.0,0.0
2001-01-30,21.7,78.3,5.8,0.0,0.0,0.0
2001-02-06,24.99,75.01,5.8,0.0,0.0,0.0
2001-02-13,25.01,74.99,29.87,3.46,0.0,0.0
2001-02-20,65.24,34.76,2.24,0.0,0.0,0.0
2001-02-27,65.24,34.76,2.24,0.0,0.0,0.0
2001-03-06,67.88,32.12,2.24,0.0,0.0,0.0
2001-03-13,67.66,32.34,2.24,0.0,0.0,0.0
2001-03-20,67.96,32.04,2.08,0.0,0.0,0.0
2001-03-27,18.09,81.91,1.38,0.0,0.0,0.0
2001-04-03,19.94,80.06,0.34,0.0,0.0,0.0
2001-04-10,35.85,64.15,0.33,0.0,0.0,0.0
