Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,85.98,14.02,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,84.79,15.21,0.0,0.0,0.0,0.0
2000-04-18,63.93,36.07,0.0,0.0,0.0,0.0
2000-04-25,66.31,33.69,0.0,0.0,0.0,0.0
2000-05-02,66.31,33.69,0.0,0.0,0.0,0.0
2000-05-09,66.31,33.69,0.0,0.0,0.0,0.0
2000-05-16,66.31,33.69,0.0,0.0,0.0,0.0
2000-05-23,79.8,20.2,0.0,0.0,0.0,0.0
2000-05-30,87.27,12.73,0.0,0.0,0.0,0.0
2000-06-06,72.79,27.21,0.0,0.0,0.0,0.0
2000-06-13,49.84,50.16,0.0,0.0,0.0,0.0
2000-06-20,45.17,54.83,0.0,0.0,0.0,0.0
2000-06-27,36.94,63.06,0.0,0.0,0.0,0.0
2000-07-04,12.45,87.55,25.02,0.0,0.0,0.0
2000-07-11,12.56,87.44,25.18,0.0,0.0,0.0
2000-07-18,11.61,88.39,24.89,0.0,0.0,0.0
2000-07-25,11.61,88.39,24.9,0.0,0.0,0.0
2000-08-01,11.61,88.39,25.18,0.0,0.0,0.0
2000-08-08,25.29,74.71,24.44,0.0,0.0,0.0
2000-08-15,22.22,77.78,24.16,0.62,0.0,0.0
2000-08-22,21.86,78.14,32.52,1.05,0.0,0.0
2000-08-29,5.08,94.92,45.79,7.9,0.0,0.0
2000-09-05,6.29,93.71,46.71,5.82,0.0,0.0
2000-09-12,6.29,93.71,45.67,5.82,0.0,0.0
2000-09-19,6.29,93.71,46.95,5.82,0.0,0.0
2000-09-26,0.0,100.0,37.86,2.61,0.0,0.0
2000-10-03,0.43,99.57,37.81,2.53,0.0,0.0
2000-10-10,0.68,99.32,36.65,2.18,0.0,0.0
2000-10-17,0.69,99.31,6.5,0.0,0.0,0.0
2000-10-24,0.0,100.0,17.41,0.0,0.0,0.0
2000-10-31,0.0,100.0,11.38,0.0,0.0,0.0
2000-11-07,9.71,90.29,0.78,0.0,0.0,0.0
2000-11-14,5.64,94.36,1.81,0.0,0.0,0.0
2000-11-21,4.45,95.55,2.68,0.0,0.0,0.0
2000-11-28,4.45,95.55,2.68,0.0,0.0,0.0
2000-12-05,13.67,86.33,2.58,0.0,0.0,0.0
2000-12-12,23.32,76.68,2.58,0.0,0.0,0.0
2000-12-19,26.74,73.26,2.58,0.0,0.0,0.0
2000-12-26,41.25,58.75,0.0,0.0,0.0,0.0
2001-01-02,41.25,58.75,0.0,0.0,0.0,0.0
2001-01-09,70.65,29.35,0.0,0.0,0.0,0.0
2001-01-16,70.65,29.35,0.0,0.0,0.0,0.0
2001-01-23,20.31,79.69,0.0,0.0,0.0,0.0
2001-01-30,20.63,79.37,0.0,0.0,0.0,0.0
2001-02-06,20.98,79.02,0.0,0.0,0.0,0.0
2001-02-13,20.87,79.13,43.71,0.0,0.0,0.0
2001-02-20,20.17,79.83,42.09,0.0,0.0,0.0
2001-02-27,19.69,80.31,44.1,0.0,0.0,0.0
2001-03-06,19.69,80.31,43.98,0.0,0.0,0.0
2001-03-13,9.53,90.47,43.98,8.73,0.0,0.0
2001-03-20,9.48,90.52,46.54,8.73,0.0,0.0
2001-03-27,9.48,90.52,46.54,8.73,0.0,0.0
2001-04-03,9.32,90.68,28.32,5.71,0.0,0.0
2001-04-10,11.44,88.56,28.77,5.71,0.0,0.0
2001-04-17,15.26,84.74,28.78,5.71,0.0,0.0
2001-04-24,21.25,78.75,28.78,5.71,0.0,0.0
2001-05-01,33.06,66.94,28.78,5.71,0.0,0.0
2001-05-08,33.06,66.94,28.78,5.71,0.0,0.0
2001-05-15,29.84,70.16,39.85,9.1,0.0,0.0
2001-05-22,29.84,70.16,39.85,9.1,0.0,0.0
2001-05-29,29.84,70.16,39.85,9.1,0.0,0.0
2001-06-05,29.77,70.23,39.09,9.1,0.0,0.0
2001-06-12,19.37,80.63,50.83,11.6,0.0,0.0
2001-06-19,18.07,81.93,37.19,11.29,0.0,0.0
2001-06-26,8.85,91.15,57.47,21.16,0.0,0.0
2001-07-03,0.66,99.34,66.0,49.69,3.24,0.0
2001-07-10,2.7,97.3,66.0,49.14,3.42,0.0
2001-07-17,5.68,94.32,64.46,48.25,9.32,0.0
2001-07-24,8.03,91.97,64.26,48.25,9.32,0.0
2001-07-31,8.03,91.97,67.19,52.78,24.83,0.0
2001-08-07,0.59,99.41,68.56,52.78,24.83,0.0
2001-08-14,0.09,99.91,68.56,54.26,24.91,0.0
2001-08-21,0.08,99.92,73.93,47.02,35.68,0.0
2001-08-28,0.04,99.96,72.32,57.21,42.78,0.0
2001-09-04,0.26,99.74,72.53,57.02,43.5,0.0
2001-09-11,3.58,96.42,73.79,57.02,42.64,0.0
2001-09-18,1.84,98.16,73.79,57.02,42.64,0.0
2001-09-25,1.84,98.16,73.79,57.02,42.64,0.0
2001-10-02,1.95,98.05,73.77,57.02,42.54,0.0
2001-10-09,1.95,98.05,73.77,57.02,42.54,0.0
2001-10-16,1.94,98.06,73.77,57.02,42.54,0.0
2001-10-23,1.95,98.05,73.77,57.02,42.54,0.0
2001-10-30,2.48,97.52,73.77,56.65,42.54,0.0
2001-11-06,2.48,97.52,73.77,56.65,42.54,0.0
2001-11-13,2.48,97.52,71.94,56.65,42.54,0.0
2001-11-20,2.48,97.52,71.94,57.61,42.54,0.0
2001-11-27,2.48,97.52,70.31,56.92,42.54,0.0
2001-12-04,2.48,97.52,73.74,57.98,32.4,0.0
2001-12-11,2.48,97.52,73.74,55.87,32.0,0.0
2001-12-18,2.48,97.52,73.74,55.87,32.0,0.0
2001-12-25,2.48,97.52,73.74,55.87,28.41,0.0
2002-01-01,3.02,96.98,73.77,55.27,28.44,0.0
2002-01-08,0.0,100.0,88.26,63.38,28.42,0.0
2002-01-15,0.0,100.0,87.73,63.12,28.35,0.0
2002-01-22,0.0,100.0,88.33,63.46,28.03,0.0
2002-01-29,0.0,100.0,86.87,62.59,23.47,0.0
