Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,100.0,5.48,0.0,0.0
2000-01-11,0.0,100.0,100.0,5.48,0.0,0.0
2000-01-18,0.0,100.0,100.0,5.48,0.0,0.0
2000-01-25,0.0,100.0,100.0,5.48,0.0,0.0
2000-02-01,0.0,100.0,100.0,5.48,0.0,0.0
2000-02-08,0.0,100.0,100.0,1.8,0.0,0.0
2000-02-15,0.0,100.0,100.0,0.48,0.0,0.0
2000-02-22,0.0,100.0,100.0,0.48,0.0,0.0
2000-02-29,0.0,100.0,27.61,1.11,0.0,0.0
2000-03-07,0.0,100.0,31.6,1.1,0.0,0.0
2000-03-14,0.0,100.0,60.82,9.58,0.0,0.0
2000-03-21,0.0,100.0,60.82,9.58,0.0,0.0
2000-03-28,0.0,100.0,60.82,9.58,0.0,0.0
2000-04-04,0.0,100.0,100.0,36.26,0.0,0.0
2000-04-11,0.0,100.0,97.02,36.27,0.0,0.0
2000-04-18,0.0,100.0,100.0,30.7,0.0,0.0
2000-04-25,0.0,100.0,38.77,0.0,0.0,0.0
2000-05-02,0.0,100.0,38.29,0.0,0.0,0.0
2000-05-09,0.0,100.0,38.29,0.0,0.0,0.0
2000-05-16,0.0,100.0,38.29,0.0,0.0,0.0
2000-05-23,73.27,26.73,1.27,0.0,0.0,0.0
2000-05-30,76.15,23.85,0.0,0.0,0.0,0.0
2000-06-06,96.78,3.22,0.0,0.0,0.0,0.0
2000-06-13,97.57,2.43,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
