Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,86.16,17.08,0.0,0.0
2000-01-11,0.0,100.0,70.18,17.08,0.0,0.0
2000-01-18,0.0,100.0,70.18,17.08,0.0,0.0
2000-01-25,0.0,100.0,64.44,17.08,0.0,0.0
2000-02-01,0.0,100.0,64.89,15.4,0.0,0.0
2000-02-08,0.0,100.0,65.78,16.94,0.0,0.0
2000-02-15,0.0,100.0,65.78,13.38,0.0,0.0
2000-02-22,34.75,65.25,39.69,13.38,0.0,0.0
2000-02-29,50.99,49.01,33.12,11.27,0.0,0.0
2000-03-07,41.38,58.62,34.97,11.27,0.0,0.0
2000-03-14,41.3,58.7,34.97,11.5,0.0,0.0
2000-03-21,41.3,58.7,35.05,11.58,0.0,0.0
2000-03-28,48.31,51.69,33.36,11.58,0.0,0.0
2000-04-04,41.67,58.33,37.59,15.72,0.0,0.0
2000-04-11,59.28,40.72,28.39,14.49,0.0,0.0
2000-04-18,58.07,41.93,36.51,15.97,0.0,0.0
2000-04-25,59.23,40.77,28.88,11.33,0.0,0.0
2000-05-02,59.23,40.77,31.93,14.9,0.0,0.0
2000-05-09,55.0,45.0,26.0,12.2,0.0,0.0
2000-05-16,47.65,52.35,33.3,14.3,0.0,0.0
2000-05-23,66.9,33.1,14.2,0.24,0.0,0.0
2000-05-30,67.32,32.68,7.89,0.0,0.0,0.0
2000-06-06,69.71,30.29,5.34,0.0,0.0,0.0
2000-06-13,12.27,87.73,5.53,0.0,0.0,0.0
2000-06-20,70.6,29.4,0.0,0.0,0.0,0.0
2000-06-27,82.06,17.94,0.7,0.0,0.0,0.0
2000-07-04,81.51,18.49,0.0,0.0,0.0,0.0
2000-07-11,81.21,18.79,0.0,0.0,0.0,0.0
2000-07-18,68.42,31.58,9.62,0.0,0.0,0.0
2000-07-25,71.36,28.64,9.63,0.0,0.0,0.0
2000-08-01,75.84,24.16,8.79,0.0,0.0,0.0
2000-08-08,93.62,6.38,1.08,0.0,0.0,0.0
2000-08-15,93.95,6.05,1.08,0.0,0.0,0.0
2000-08-22,94.0,6.0,1.65,0.0,0.0,0.0
2000-08-29,94.6,5.4,1.65,0.0,0.0,0.0
2000-09-05,95.07,4.93,1.35,0.0,0.0,0.0
2000-09-12,94.57,5.43,1.35,0.0,0.0,0.0
2000-09-19,90.51,9.49,1.35,0.0,0.0,0.0
2000-09-26,99.4,0.6,0.0,0.0,0.0,0.0
2000-10-03,99.41,0.59,0.0,0.0,0.0,0.0
2000-10-10,99.36,0.64,0.0,0.0,0.0,0.0
2000-10-17,85.08,14.92,1.25,0.0,0.0,0.0
2000-10-24,73.74,26.26,2.16,0.0,0.0,0.0
2000-10-31,75.45,24.55,5.02,0.05,0.0,0.0
2000-11-07,75.58,24.42,4.65,0.05,0.0,0.0
2000-11-14,89.44,10.56,0.93,0.0,0.0,0.0
2000-11-21,87.34,12.66,1.32,0.0,0.0,0.0
2000-11-28,83.05,16.95,1.33,0.0,0.0,0.0
2000-12-05,79.92,20.08,3.43,0.26,0.0,0.0
2000-12-12,79.55,20.45,5.24,0.81,0.0,0.0
2000-12-19,94.83,5.17,0.71,0.0,0.0,0.0
2000-12-26,94.83,5.17,0.71,0.0,0.0,0.0
2001-01-02,94.83,5.17,0.71,0.0,0.0,0.0
2001-01-09,94.8,5.2,1.52,0.47,0.0,0.0
2001-01-16,94.65,5.35,1.52,0.47,0.0,0.0
2001-01-23,45.38,54.62,0.97,0.0,0.0,0.0
2001-01-30,69.3,30.7,0.78,0.0,0.0,0.0
2001-02-06,69.3,30.7,0.78,0.0,0.0,0.0
2001-02-13,72.35,27.65,0.78,0.0,0.0,0.0
2001-02-20,98.39,1.61,0.0,0.0,0.0,0.0
2001-02-27,98.39,1.61,0.0,0.0,0.0,0.0
2001-03-06,98.83,1.17,0.0,0.0,0.0,0.0
2001-03-13,98.74,1.26,0.0,0.0,0.0,0.0
2001-03-20,96.96,3.04,0.0,0.0,0.0,0.0
2001-03-27,28.16,71.84,0.0,0.0,0.0,0.0
2001-04-03,23.56,76.44,8.8,0.0,0.0,0.0
2001-04-10,32.51,67.49,6.59,0.0,0.0,0.0
2001-04-17,43.26,56.74,9.87,0.0,0.0,0.0
2001-04-24,21.59,78.41,26.86,0.0,0.0,0.0
2001-05-01,11.43,88.57,61.23,0.0,0.0,0.0
2001-05-08,0.13,99.87,83.6,37.29,0.0,0.0
2001-05-15,0.0,100.0,90.68,49.29,0.0,0.0
2001-05-22,8.26,91.74,69.96,15.66,0.0,0.0
2001-05-29,17.38,82.62,65.18,11.66,0.0,0.0
