Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,95.68,6.86,0.0,0.0
2000-01-11,0.0,100.0,95.81,0.0,0.0,0.0
2000-01-18,0.0,100.0,95.81,0.0,0.0,0.0
2000-01-25,0.0,100.0,90.08,0.0,0.0,0.0
2000-02-01,0.5,99.5,82.21,0.0,0.0,0.0
2000-02-08,0.5,99.5,83.5,5.05,0.0,0.0
2000-02-15,3.53,96.47,83.5,5.05,0.0,0.0
2000-02-22,7.77,92.23,71.32,2.47,0.0,0.0
2000-02-29,5.44,94.56,76.42,4.26,0.0,0.0
2000-03-07,4.88,95.12,87.58,13.66,0.0,0.0
2000-03-14,4.77,95.23,87.58,13.6,0.0,0.0
2000-03-21,4.77,95.23,86.5,9.71,0.0,0.0
2000-03-28,10.2,89.8,67.37,0.0,0.0,0.0
2000-04-04,4.88,95.12,11.01,0.0,0.0,0.0
2000-04-11,40.91,59.09,11.6,0.0,0.0,0.0
2000-04-18,52.69,47.31,2.43,0.0,0.0,0.0
2000-04-25,47.1,52.9,2.43,0.0,0.0,0.0
2000-05-02,47.1,52.9,2.43,0.0,0.0,0.0
2000-05-09,58.73,41.27,2.58,0.0,0.0,0.0
2000-05-16,48.74,51.26,3.14,0.0,0.0,0.0
2000-05-23,10.8,89.2,3.14,0.0,0.0,0.0
2000-05-30,20.33,79.67,13.11,0.0,0.0,0.0
2000-06-06,20.33,79.67,15.66,0.0,0.0,0.0
2000-06-13,6.86,93.14,31.29,6.84,0.0,0.0
2000-06-20,5.14,94.86,31.25,6.44,0.0,0.0
2000-06-27,2.47,97.53,61.19,10.62,0.01,0.0
2000-07-04,4.33,95.67,47.63,8.62,0.64,0.0
2000-07-11,0.38,99.62,63.25,15.94,3.83,0.0
2000-07-18,0.48,99.52,76.18,28.55,8.25,0.0
2000-07-25,4.85,95.15,75.61,39.8,16.35,0.0
2000-08-01,7.34,92.66,74.68,35.33,12.17,0.0
2000-08-08,20.6,79.4,63.65,31.51,10.14,0.0
2000-08-15,25.53,74.47,56.29,25.34,9.87,0.0
2000-08-22,26.56,73.44,55.88,28.3,13.1,2.91
2000-08-29,27.58,72.42,55.88,28.6,14.94,2.93
2000-09-05,32.94,67.06,47.92,29.39,12.93,2.93
2000-09-12,32.37,67.63,52.55,38.91,15.95,4.16
2000-09-19,31.55,68.45,52.58,38.89,15.95,3.73
2000-09-26,38.2,61.8,46.92,28.52,9.44,1.41
2000-10-03,22.51,77.49,46.92,28.58,9.44,1.41
2000-10-10,16.22,83.78,64.78,28.58,9.76,0.72
2000-10-17,0.22,99.78,91.39,41.86,23.56,0.0
2000-10-24,0.0,100.0,93.47,65.24,28.12,6.39
2000-10-31,0.0,100.0,95.98,82.73,45.16,12.92
2000-11-07,0.0,100.0,95.38,82.79,67.33,6.75
2000-11-14,0.58,99.42,88.37,71.21,19.36,0.0
2000-11-21,0.29,99.71,89.09,74.12,15.4,0.0
2000-11-28,0.16,99.84,88.4,73.98,3.89,0.0
2000-12-05,0.16,99.84,88.59,74.94,3.89,0.0
2000-12-12,0.12,99.88,94.02,77.0,10.9,0.0
2000-12-19,6.25,93.75,67.2,40.16,5.23,0.0
2000-12-26,6.25,93.75,67.2,41.2,4.47,0.0
2001-01-02,6.25,93.75,67.2,41.2,5.02,0.0
2001-01-09,6.21,93.79,75.42,56.99,17.65,0.0
2001-01-16,6.23,93.77,75.42,56.99,17.65,0.0
2001-01-23,0.0,100.0,71.39,44.06,0.0,0.0
2001-01-30,0.0,100.0,70.63,33.09,0.0,0.0
2001-02-06,0.0,100.0,70.58,33.08,2.67,0.0
2001-02-13,0.29,99.71,64.94,24.5,5.26,0.0
2001-02-20,30.69,69.31,31.33,20.8,10.05,0.0
2001-02-27,51.62,48.38,31.33,20.8,7.29,0.0
2001-03-06,54.16,45.84,31.22,18.34,6.54,0.0
2001-03-13,51.14,48.86,32.87,13.83,5.89,0.0
2001-03-20,49.88,50.12,31.04,11.15,5.96,0.0
2001-03-27,42.77,57.23,30.38,11.15,5.96,0.0
2001-04-03,22.11,77.89,28.27,5.56,1.52,0.0
2001-04-10,20.55,79.45,29.37,5.56,1.52,0.0
2001-04-17,35.92,64.08,23.77,5.57,1.52,0.0
2001-04-24,35.83,64.17,25.32,8.3,1.52,0.0
2001-05-01,14.13,85.87,60.25,16.23,1.52,0.0
2001-05-08,0.0,100.0,84.84,35.04,5.27,0.0
2001-05-15,0.0,100.0,84.89,38.11,9.6,0.0
2001-05-22,2.63,97.37,83.05,26.17,5.1,0.0
