Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,1.92,98.08,67.71,27.3,0.0,0.0
2000-01-11,2.24,97.76,87.32,47.11,0.0,0.0
2000-01-18,0.0,100.0,87.32,59.74,0.0,0.0
2000-01-25,0.0,100.0,87.41,48.95,0.0,0.0
2000-02-01,0.0,100.0,88.58,46.73,0.0,0.0
2000-02-08,0.0,100.0,89.51,60.23,0.0,0.0
2000-02-15,0.0,100.0,89.51,60.23,0.0,0.0
2000-02-22,0.0,100.0,92.1,64.35,0.0,0.0
2000-02-29,0.0,100.0,93.45,49.64,0.0,0.0
2000-03-07,0.0,100.0,94.97,69.46,0.0,0.0
2000-03-14,0.0,100.0,94.97,74.32,0.0,0.0
2000-03-21,0.0,100.0,88.0,56.16,0.0,0.0
2000-03-28,0.35,99.65,78.28,20.91,0.0,0.0
2000-04-04,0.0,100.0,27.73,13.64,0.0,0.0
2000-04-11,51.25,48.75,11.45,5.11,0.0,0.0
2000-04-18,41.82,58.18,15.49,8.16,0.0,0.0
2000-04-25,53.54,46.46,6.08,2.09,0.0,0.0
2000-05-02,53.54,46.46,13.28,2.78,0.04,0.0
2000-05-09,64.37,35.63,7.5,2.91,0.04,0.0
2000-05-16,57.87,42.13,7.48,2.91,0.64,0.0
2000-05-23,64.43,35.57,7.47,2.91,0.64,0.0
2000-05-30,69.12,30.88,9.76,6.52,0.82,0.0
2000-06-06,70.69,29.31,10.16,6.52,0.82,0.29
2000-06-13,68.35,31.65,10.49,5.79,0.93,0.28
2000-06-20,70.35,29.65,10.49,5.79,0.93,0.28
2000-06-27,69.74,30.26,11.52,5.79,0.91,0.28
2000-07-04,74.53,25.47,11.76,4.87,1.28,0.0
2000-07-11,51.71,48.29,23.16,4.87,1.28,0.0
2000-07-18,26.3,73.7,51.94,8.35,3.65,0.19
2000-07-25,22.01,77.99,57.54,29.09,5.79,1.76
2000-08-01,19.46,80.54,57.53,30.93,5.79,1.76
2000-08-08,12.16,87.84,57.53,30.93,5.22,1.76
2000-08-15,0.0,100.0,72.51,43.14,6.99,0.28
2000-08-22,0.0,100.0,77.24,55.1,16.79,0.28
2000-08-29,0.0,100.0,83.16,64.81,38.11,0.28
2000-09-05,0.0,100.0,100.0,84.69,60.58,0.96
2000-09-12,0.0,100.0,100.0,100.0,67.87,0.3
2000-09-19,0.0,100.0,100.0,100.0,71.89,1.21
2000-09-26,0.0,100.0,100.0,100.0,71.87,0.91
2000-10-03,0.0,100.0,100.0,100.0,71.87,0.91
2000-10-10,0.0,100.0,100.0,85.82,50.59,0.0
2000-10-17,0.0,100.0,100.0,80.33,68.6,0.0
2000-10-24,0.0,100.0,100.0,79.95,71.4,10.66
2000-10-31,0.0,100.0,100.0,97.87,76.24,26.98
2000-11-07,5.08,94.92,75.14,64.11,33.66,4.89
2000-11-14,17.97,82.03,72.19,62.43,24.66,4.39
2000-11-21,29.12,70.88,59.0,33.99,5.97,0.0
2000-11-28,50.98,49.02,21.93,6.7,0.0,0.0
2000-12-05,50.98,49.02,21.93,6.78,0.0,0.0
2000-12-12,51.09,48.91,21.93,6.78,0.0,0.0
2000-12-19,68.1,31.9,14.28,4.89,0.0,0.0
2000-12-26,69.58,30.42,10.82,4.9,0.0,0.0
2001-01-02,69.58,30.42,8.66,3.25,0.0,0.0
2001-01-09,69.58,30.42,8.98,3.26,0.0,0.0
2001-01-16,69.58,30.42,8.98,3.26,0.0,0.0
2001-01-23,88.01,11.99,5.64,3.96,0.0,0.0
2001-01-30,89.62,10.38,5.26,0.0,0.0,0.0
2001-02-06,89.62,10.38,5.26,0.0,0.0,0.0
2001-02-13,90.04,9.96,0.4,0.0,0.0,0.0
2001-02-20,96.45,3.55,0.0,0.0,0.0,0.0
2001-02-27,96.59,3.41,0.0,0.0,0.0,0.0
2001-03-06,99.73,0.27,0.0,0.0,0.0,0.0
2001-03-13,99.7,0.3,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,99.93,0.07,0.0,0.0,0.0,0.0
2001-04-17,92.03,7.97,0.0,0.0,0.0,0.0
2001-04-24,90.34,9.66,0.0,0.0,0.0,0.0
2001-05-01,94.6,5.4,0.0,0.0,0.0,0.0
2001-05-08,62.93,37.07,5.96,0.0,0.0,0.0
2001-05-15,62.93,37.07,8.76,0.0,0.0,0.0
2001-05-22,52.5,47.5,18.33,0.0,0.0,0.0
2001-05-29,52.5,47.5,19.11,0.0,0.0,0.0
2001-06-05,69.79,30.21,9.23,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,81.63,18.37,0.0,0.0,0.0,0.0
2001-06-26,81.63,18.37,0.0,0.0,0.0,0.0
2001-07-03,81.63,18.37,0.0,0.0,0.0,0.0
2001-07-10,90.34,9.66,0.0,0.0,0.0,0.0
2001-07-17,90.34,9.66,0.0,0.0,0.0,0.0
2001-07-24,65.96,34.04,0.0,0.0,0.0,0.0
2001-07-31,31.27,68.73,4.69,0.0,0.0,0.0
2001-08-07,41.69,58.31,4.69,0.0,0.0,0.0
2001-08-14,61.84,38.16,0.0,0.0,0.0,0.0
2001-08-21,66.36,33.64,0.0,0.0,0.0,0.0
2001-08-28,69.56,30.44,1.48,0.0,0.0,0.0
2001-09-04,86.77,13.23,0.01,0.0,0.0,0.0
2001-09-11,92.69,7.31,0.01,0.0,0.0,0.0
2001-09-18,95.81,4.19,0.01,0.0,0.0,0.0
2001-09-25,95.81,4.19,0.01,0.0,0.0,0.0
2001-10-02,95.81,4.19,0.01,0.0,0.0,0.0
2001-10-09,95.81,4.19,0.01,0.0,0.0,0.0
2001-10-16,99.9,0.1,0.0,0.0,0.0,0.0
2001-10-23,99.9,0.1,0.0,0.0,0.0,0.0
2001-10-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-11-20,99.09,0.91,0.0,0.0,0.0,0.0
2001-11-27,99.39,0.61,0.0,0.0,0.0,0.0
2001-12-04,99.96,0.04,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-08,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-15,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-22,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-29,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-05,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-12,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-19,98.36,1.64,0.0,0.0,0.0,0.0
